{'短评内容': '适合带孩子', '短评打分': 5}
{'短评内容': '酒店很不错，地理位置非常好，我们去的时候酒店的前台服务也很棒，总的来说值得推荐给大家，下次去还会选择住在这里的', '短评打分': 5}
{'短评内容': '给朋友定的，还不错！', '短评打分': 5}
{'短评内容': '哪都挺好的', '短评打分': 5}
{'短评内容': '入住時間可能比較晚，整個酒店大部份的燈都沒開，走道也暗，感覺怪恐怖的，房間乾淨，但床很硬', '短评打分': 3}
{'短评内容': '除了位置离公司近外，别的都挺垃圾，京东跟艺龙合作的，开票流程复杂，还要收10元发票邮寄费', '短评打分': 1}
{'短评内容': '房间很干净，服务也满意', '短评打分': 5}
{'短评内容': '服务不错，就是酒店楼层有装修，上午和下午都听到电钻声音，其他还不错。赞', '短评打分': 5}
{'短评内容': '房间特别干净，设施齐全，每个毛巾都用消毒袋子包着，卫生间灯是感应的特别方便，地理位置优越，交通便利，重要的是餐厅的饭很好吃哦', '短评打分': 5}
{'短评内容': '很好！交通方便，环境好！', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '酒店很好。就是浴缸和洗脸池不知为什么都没有塞子？服务员特别周到！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '暖气不开', '短评打分': 4}
{'短评内容': '性价比不错，自驾去北海中途休息了一晚，到的时间太晚，没过多的体验。', '短评打分': 4}
{'短评内容': '广西最老牌的五星级酒店，位于黄金地段，交通方便，就是房间有点小，早餐不错，服务不错。', '短评打分': 5}
{'短评内容': '很不错的五星级酒店，很喜欢它的装修风格，地点也适中。推荐！', '短评打分': 5}
{'短评内容': '设施、服务都很好，每次去南宁都会住哪里。推荐！', '短评打分': 5}
{'短评内容': '酒店位于五象广场傍边，环境很好，周边吃饭，购物很方便。房间干净，安静，整个酒店都有淡淡的香味。', '短评打分': 5}
{'短评内容': '不错，离广西移动、广西联通可以步行过去，很古色古香的酒店', '短评打分': 5}
{'短评内容': '位置在琅东区，五象广场附近，房间环境清雅，香皂很好用。比较舒适。服务不错。', '短评打分': 5}
{'短评内容': '入住2001、2009两间房一晚，入住人张晓俊，李艳', '短评打分': 3}
{'短评内容': '酒店很不错 以红酒文化为主题 装修很新 值得推荐', '短评打分': 3}
{'短评内容': '总体感觉不错，服务周到', '短评打分': 3}
{'短评内容': '酒店设施完备，房间温馨。服务员热情周到，特别是大堂管家助理李助理，为我们介绍酒店情况，还帮助我们预定了吃晚饭的位置。谢谢你们！！', '短评打分': 5}
{'短评内容': '酒店有几场巴士，硬件不错，如果能价格优惠些就更好了！', '短评打分': 5}
{'短评内容': '五象广场边上，装修中西结合，还不错,二楼就有喝早茶的。', '短评打分': 5}
{'短评内容': ' 23楼房间舒适,服务态度好', '短评打分': 3}
{'短评内容': '很不错的酒店！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '该酒店地段好,设施好,讲究环保,值得推荐.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '这是我第三次入住该酒店，酒店的软件服务没的说。尤其增添加专职管家服务，使出差在外的人有回家的感觉。希望酒店不断创新，让我们每次入住都有新感觉。', '短评打分': 5}
{'短评内容': '强烈不推荐。作为一家五星级的酒店，应该绝对要做到以人为本，顾客至上的。但桂景大酒店竟然在晚上10点多开始一直在酒店施工，11点多联系一次前台，前台说马上就好了，但一直还在施工，严重影响客人的休息，到12点再次联系后，仍不停止，最后硬是和前台吵了一架，无奈可施，报110了。酒店的工作人员才停止下来。可恶，没见过这样的五星级酒店。', '短评打分': 1}
{'短评内容': '酒店位置好，很干净，很舒适，交通很方便啦。', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通方便，干净卫生，性价比高。但是，酒店附属的二楼餐厅文山镇极差，有价格欺诈，菜单价格与结帐价格不一致，大家要小心。', '短评打分': 5}
{'短评内容': ' 不错！', '短评打分': 3}
{'短评内容': '地理位置及酒店设施都不错，下次去还会入住！！！！！！ ', '短评打分': 5}
{'短评内容': '也算是南宁最好饭店了，位置很好，出行方便，希望报价里面含上早餐', '短评打分': 5}
{'短评内容': '宣称五星级酒店，但事实上许多条件达不到五星级标准，但总体来说还是不错。', '短评打分': 1}
{'短评内容': '总体不错，下次去还是会选择的。', '短评打分': 5}
{'短评内容': '很不错的酒店，值得推荐：）', '短评打分': 3}
{'短评内容': '服务相当不错~！', '短评打分': 5}
{'短评内容': '酒店不错，只是周边环境景观稍差，房间窗户对面就是小街对面的写字楼窗户，很压抑，作为5星酒店不应该。', '短评打分': 1}
{'短评内容': '不错，性价比可以', '短评打分': 5}
{'短评内容': '与五星级的标准还是有差距的,好在价格也是较低, 还算是平衡.', '短评打分': 1}
{'短评内容': '经常去南宁，也经常住这个酒店，地理位置很方便，出租车司机一般都知道五象广场的桂景酒店。作为一个五星级酒店最大的缺点就是门脸太小了，停车不是很方便，但是房间还是很温馨的至少很干净。我最讨厌的是在浴缸中洗淋浴，这个酒店很不错淋浴和浴缸分开了。还有就是2楼的餐厅很便宜，比较超值。', '短评打分': 5}
{'短评内容': '细节做得很好', '短评打分': 5}
{'短评内容': '不过网费为什么要另外算呢，应该免费的', '短评打分': 5}
{'短评内容': '早餐的性价比不高，两人份早餐费用过高', '短评打分': 5}
{'短评内容': '性价比很高。', '短评打分': 5}
{'短评内容': '和前面评论差不多，面积太小，硬件一般&#183;&#183;&#183;赶上大型会议价格太高！', '短评打分': 1}
{'短评内容': '房间太小，不够20平米！五星级很勉强！', '短评打分': 5}
{'短评内容': '酒店的位置和价格都不错', '短评打分': 5}
{'短评内容': '房间小，床垫硬。不是很喜欢。', '短评打分': 1}
