{'descr': '说还行的话是骗我自己，只能说差', 'star': 2}
{'descr': '挺好', 'star': 5}
{'descr': '强烈不推荐 毫无性价比可言 没早餐 没电梯 卫生差 只能说地理位置还不错 ', 'star': 2}
{'descr': '房间还可以，价格同房间成正比、赞一个', 'star': 5}
{'descr': '没有热水，没有电视，还是个大包电视，闹着玩啊！', 'star': 2}
{'descr': '更大好好好好的', 'star': 5}
{'descr': '整体而言比较超值。不太满意的地方，一是上五楼没电梯。二是卫生间是竹拉门，不隔味儿', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '挺好的，位置也比较方便，卫生不错。', 'star': 5}
{'descr': '挺好的住宿体验，下次还会去的。', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '周边离商城比较近，老楼改的，比较一般，房间到是不小', 'star': 3}
{'descr': '总体感觉不错，房间大，环境好，交通方便！', 'star': 5}
{'descr': '总体感觉不错，房间大，环境好，交通方便！', 'star': 5}
{'descr': '下次再说吧！！！！！！！！！！！！', 'star': 2}
{'descr': '服务不错，特别前台小帅哥态度非常好', 'star': 5}
{'descr': '挺好', 'star': 4}
{'descr': '酒店位置还可以，看布尔哈通河大桥不错，吃参鸡汤大约1公里之内。但是酒店没有电梯，隔音较差，下水有问题，房间不是电视不能用就是网线不能用。我觉得，应该可以找到更好些的。对了，我去的时候，为了迎接93建州，外立面在维修，脚手架搭的乱七八糟……', 'star': 1}
{'descr': '酒店有点旧，地理位置不错，价位也可以，而且是当地的做的很好的连锁酒店，估计其他的店应该不错，这个是第一家所以旧了一些', 'star': 1}
{'descr': '住的是靠楼梯的豪标，位置很好晚上不吵，离肯德基近早上可以吃肯德基早餐，就是没有电脑不太方便，房间宽敞比较干净，虽然晚上有入住的有些吵不过稍微影响睡眠，总体来说不错，下次去延吉还会入住吧，感觉比较实惠。', 'star': 5}
{'descr': '订酒店的时候上面写的有网线，到了宾馆就没有了。', 'star': 1}
{'descr': '一般，设施陈旧，屋的面积比较小，环境也一般，楼层比较高，没电梯', 'star': 5}
{'descr': '不是我住的，给别人定的，这个价钱也就那样吧！', 'star': 5}
{'descr': '＋服务很好~挺满意~', 'star': 3}
{'descr': '没有电梯呀！酒店位置不错，交通很方便，被子超大，房间暖和，呵呵。', 'star': 3}
{'descr': '隔音效果不是很好  设施也很老旧了....  下次去别的店悄悄', 'star': 1}
{'descr': '房间还算大，网线不好用，设施比较陈旧了，该重新装修了！', 'star': 5}
{'descr': '浪漫大床房，空间很大，房间也很干净，服务人员的态度超级好', 'star': 5}
{'descr': '地方不是很大，但是酒店很干净，睡得很舒适，交通也很方便', 'star': 5}
{'descr': ' 金洲旅馆挺好的，就是空间不太大', 'star': 3}
{'descr': '这个价格，房间够大 ，真的很不错，性价比高，硬件都不错，推荐', 'star': 5}
{'descr': '房间一般', 'star': 3}
{'descr': '地理位置还算可以，就是房间的硬件设施很一般，服务还可以。电视只要10几个台，连cctv5都没有，想看男篮都没看上。房间电话不好用。', 'star': 1}
{'descr': '房间的隔音太差，我住的是3楼，天天晚上有很晚住进来的，一会就开始嘿咻嘿咻，声音很大，到是天天能听到免费的嘿咻。\n', 'star': 1}
{'descr': '如果是旅游，不介意设施还可以，服务人员到很好！', 'star': 1}
{'descr': '...还不错。。住这去那玩还是比较方便的', 'star': 3}
{'descr': '整体感觉还算干静。就是隔音太差。还有最后结账时等查房等了三十多分钟。 服务质量还需改善。不过柜台的服务态度还不错。', 'star': 5}
{'descr': '房间普通，地段还行，靠近火车站附近，住一晚基本可以，适合修整。', 'star': 5}
{'descr': '位置好，房间比较干净\n能看韩国的电视频道\n服务员虽然热情但是对周围的景点不熟悉，问什么都不知道\n还有防音太差呢', 'star': 5}
{'descr': '住宿条件不如如家等经济型酒店,我所住屋内洗澡水水流很小,毛巾好像也不大干净,有一股放久了的灰尘味.但该店地理位置不错,附近就有大超市,KFC和药店,交通也算便利.', 'star': 1}
{'descr': '实在差劲，电话坏、热水器坏。毛巾看着不卫生', 'star': 1}
{'descr': '设备太差，没有电梯。其他服务人员还可以。门外的声音听得非常清楚，没有按摩。', 'star': 1}
{'descr': '这个酒店不怎么样,没有电梯，住三楼来回搬行李十分不便,酒店前面修桥很吵, 房间不隔音,连张书桌都没有,上网在电视机旁边的一点点位置,服务态度可以.卫生状况一般.\n', 'star': 1}
{'descr': '网络不好，下半夜比较吵，房间不隔音，有线电视没有几个台。', 'star': 1}
{'descr': '这家酒店还不错，暖气可以，电视 、洗澡，大床都可以，到火车站和飞机场比较近。就是隔音条件不太好。', 'star': 5}
{'descr': '必须要在中午12点之前退房，老客户想要延迟一会也不行，网络老是掉线。', 'star': 1}
{'descr': '洗手间里面的拖鞋不是很好，由于地上有水，加上拖鞋不防滑，摔倒了', 'star': 1}
