{'短评内容': '导游讲解的很棒', '短评打分': 5}
{'短评内容': '没早餐，干净卫生', '短评打分': 5}
{'短评内容': '#ud83d#udc4c，不错的公寓', '短评打分': 5}
{'短评内容': '比较宽敞！', '短评打分': 4}
{'短评内容': '比较宽敞！', '短评打分': 4}
{'短评内容': '老板人很好，很热情，其次住的房间还不错，向阳，关键是交通方便。', '短评打分': 5}
{'短评内容': '实惠！！！很大？！！', '短评打分': 5}
{'短评内容': '很好的一次入住', '短评打分': 5}
{'短评内容': '房子大，45平米左右，居民小区楼，安静，安全，干净。要求不高，还是很合适的。毕竟在市区，网购价120还是可以的！', '短评打分': 5}
{'短评内容': '房间真的大，暖气也很好！交通方便，位置不错，好找。', '短评打分': 5}
{'短评内容': 'This was such a wonderful hostel!! They created a really lovely environment and the location was central and staff assisted you with any questions about the local area.', '短评打分': 5}
{'短评内容': '房间大 设施齐全 老板人好 出行也方便', '短评打分': 4}
{'短评内容': '服务挺好的，就是床有点吱吱呀呀的。', '短评打分': 4}
{'短评内容': '首先，位置好难找。其次，酒店真的不值得这么贵的房费啊，国庆298标间，环境真的很差，桌子上板凳上只要看的到都是灰尘，都不敢坐，被子这些看起也不太好，真的总体真的不要住， 在心酸了', '短评打分': 3}
{'短评内容': '房子比较老旧，绝非新装修的。好在服务态度比较好，挺热心的。房间灯也太暗了点，设施也比较老旧，总体还可以。', '短评打分': 4}
