{'短评内容': '前台服务态度好', '短评打分': 4}
{'短评内容': '环境非常不错，又是新装修的，睡觉特别舒适，大家值得来一次', '短评打分': 5}
{'短评内容': '有停车场，很不错', '短评打分': 5}
{'短评内容': '很好，喜欢汉庭，干净舒适，价格也合适', '短评打分': 5}
{'短评内容': '非常好的酒店，服务热情周到', '短评打分': 5}
{'短评内容': '还行把。条件还可以。交通还算方便', '短评打分': 5}
{'短评内容': '已经不是第一次入住了，还是一如既往的好，环境卫生，赞?', '短评打分': 5}
{'短评内容': '性价比很高，附近很热闹', '短评打分': 4}
{'短评内容': '还行吧，性价比很高，环境一般', '短评打分': 4}
{'短评内容': 'Service could be better, but otherwise good hotel. Clean and comfortable.', '短评打分': 3}
{'短评内容': '酒店位置很好，距离丛台公园非常近，步行几分钟即到，房间还比较干净，比农家院的房子强多了，美中不足就是停车不方便，门口只有几个底商共用的停车位，先到先得。', '短评打分': 5}
{'短评内容': '差评，必须差评！房间隔音不好，最让人恶心的就是卫生间竟然没有打扫！马桶脏，纸篓浴巾毛巾没换，打电话给总服务台竟然还信誓旦旦的承诺入住前都会有负责人打扫检查的？！尽管后来又派保安上来打扫！我质疑就这样的快捷连锁怎么经营下去！窝心！', '短评打分': 1}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '卫生可以安静', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 5}
{'短评内容': '房间干净，出差居住舒适。', '短评打分': 3}
{'短评内容': '该店不错，服务和卫生很好。529的淋浴头有问题，购买的产品不好，产品质量差。', '短评打分': 3}
{'短评内容': '很不错  交通方便  价格合理 环境舒适 服务态度很好  我是经常出差的  可不是托哦', '短评打分': 5}
