{'短评内容': '房间宽敞，位置好，但是建议酒店定时开窗通风', '短评打分': 5}
{'短评内容': '服务态度很好。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '早餐不错 前台小哥很帅', '短评打分': 5}
{'短评内容': '非常好，早餐丰富，酒店附近是理想的驻地，面朝大海春暖花开，距离奥帆中心很近，下次一定会再次入住。再来青岛。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，就在市区，出行非常方便，附近出门就是奥帆中心，可以看到海里的帆船，景色超级美，而且酒店卫生很好，服务很是热情，早餐种类也很多，吃住都非常舒心，很愉快的一次入住体验，如果下次还来青岛出差还是会选择这个酒店入住的。也推荐大家入住。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '房间老旧', '短评打分': 1}
{'短评内容': '非常好，干净整洁，是很不错的入住体验。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '性价比不是很高，一般情况吧', '短评打分': 3}
{'短评内容': '环境很好，房间很干净，好评', '短评打分': 5}
{'短评内容': '还不错，餐厅味道不错', '短评打分': 5}
{'短评内容': '服务周到。', '短评打分': 5}
{'短评内容': '环境好，卫生好', '短评打分': 5}
{'短评内容': '非常干净，整洁！', '短评打分': 5}
{'短评内容': '非常的舒适', '短评打分': 5}
{'短评内容': '房间整洁，干净，卫生！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '酒店外部环境非常好！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '靠近海边，交通方便，步行到海信广场才用15分钟左右。', '短评打分': 5}
{'短评内容': '公寓楼标间，有两个房间，适合一家人住，离海近，穿过公园就到', '短评打分': 4}
{'短评内容': '周末带着孩子去海边玩，订的海情大酒店，位置稍微有些偏，竟然被出租拒载，不过公交很方便，倒了一次车。酒店非常漂亮，服务特别好，感谢B座前台提供的帮助，非常喜欢这里的环境，离海边非常近，晚餐在阳光假日吃的海鲜，非常好。以后还会常来！', '短评打分': 5}
{'短评内容': '真便宜，环境真好！交通太方便，还是旺季，真是够漂亮，可以看到大海，太棒了！', '短评打分': 5}
{'短评内容': '这酒店我订的是C座单人间，其卫生间特别干净，房间很整洁，床上用品很清爽！', '短评打分': 3}
{'短评内容': '价格有点高，不过地理位置很好，离海边很近，而且相对比较安静。一般的四星酒店，A栋比B栋新一点。C栋的公寓楼就不要住了。', '短评打分': 5}
{'短评内容': '帮别人定的，正好他们是一家五口，住一个大套间还是不错的', '短评打分': 5}
{'短评内容': '不错，希望今后可以带上早餐。不错，希望今后可以带上早餐。不错，希望今后可以带上早餐。不错，希望今后可以带上早餐。', '短评打分': 5}
{'短评内容': '非常不错的酒店 住得相当舒服 离极地海洋世界和石老人浴场不远 以后来了还会住这儿', '短评打分': 3}
