{'descr': '非常喜欢，以后还会买的', 'star': 5}
{'descr': '还好，环境不错', 'star': 5}
{'descr': '在小区里头，不好找。但是安静，舒适。宾馆提供优惠价的自助餐，在三环以内，离地铁几站地。前台服务员态度好，积极，热情。', 'star': 3}
{'descr': '房间整洁，卫生好，服务好！', 'star': 5}
{'descr': '位置不好找，设施一般，不如之前去过的那个店好', 'star': 3}
{'descr': '酒店服务较好，但希望周边环境需要改善', 'star': 4}
{'descr': '位置不错，交通便利，就是门口的马路车有点多，偶尔小堵。 酒店性价比相对较高，周围吃的也多，适合低消费人群。', 'star': 3}
{'descr': '非常满意', 'star': 5}
{'descr': '提干净的 但是我住的是附楼 不知道为什么这么安排 窗子是暗窗 几乎没有阳光。就这点不好。', 'star': 5}
{'descr': '一般吧，信价比还可以。卫生做的不彻底，床下全是垃圾，望改进', 'star': 5}
{'descr': '很好的和家，有家的味道。\n环境设施很好，出门也很方便，便利店也很给力。\n和家服务态度很好。很赞~', 'star': 5}
{'descr': '很好的和家，有家的味道。\n环境设施很好，出门也很方便，便利店也很给力。\n和家服务态度很好。很赞~', 'star': 5}
{'descr': '自己的感觉用一个字形容值,我订的是大床房两间2|8元/间,早/中/晚餐10/20/20,父母和我都满意', 'star': 3}
{'descr': '考雅思的强烈推荐去。不足之处是没有吹风。', 'star': 5}
{'descr': '房间简陋了一点 但一家三口住还是不错的  交通也很方便', 'star': 5}
{'descr': '环境和交通还行，大床房有点闷，服务态度蛮好，总体还不错。', 'star': 5}
{'descr': '价格低，服务好，吃的挺好，房间还可以，下次还是何家了！适合出差自助人士！不错！', 'star': 5}
{'descr': '我住的复式房，真的很不错。环境，服务，餐厅饮食都行，我感觉在北京对得起这房费了。', 'star': 5}
{'descr': '酒店的价格很实惠，餐厅的自助餐饭菜的品种很多，味道还可以，入住的客人很多，不过酒店的房间也很多，听说有近五百间客房。', 'star': 5}
{'descr': '不错，就是早上入住等待太久', 'star': 3}
{'descr': '宾馆地理位置好,服务热情,设施满意,值得推荐!', 'star': 3}
{'descr': '   不知道前面怎么会有这么多好评，难道是刷出来的！！！缺点：1.热水说是有50升，实际肯定远远小于这个数，因为洗10分钟水就变冷了。2.我在这住了5天，隔2天热水器坏一次，最气人的是有一天回得晚，居然热水器又不能加热，害得我第2天才洗的澡。3.饮水机里的水不知放了有多久，不敢喝。 优点：1.饭菜比较实惠。2.态度较好。\n    总结：不推荐住这家宾馆，无法让你舒服的洗澡，这还叫宾馆？有一天，去海', 'star': 1}
{'descr': '在周围相比较还是算便宜的，网上预订返现后比和家会员价还划算', 'star': 5}
{'descr': '酒店服务态度好，前台很热情。房间还干净，设施简单一些，配有电脑方便住客，不错。快餐安排挺好，服务也可以。酒店周边有商店，交通也算便利，但离地铁稍远，搭地铁要转车。在北京该酒店性价比算不错了。', 'star': 5}
{'descr': '离雅思的考点非常近,走路就3分钟吧.室内环境挺好的,干净整洁,还有可以上网的电脑,收费的平价自助餐,早餐10元,晚餐20元.比较推荐考生来住.', 'star': 5}
{'descr': '因为去考试的·离考试的地方也很近· 服务态度很好· 房间还过得去· 但总有股味道~', 'star': 5}
{'descr': '因为靠近考试中心所以周围的房价都偏贵，房间不算大，服务一般，就当成如家一般的快捷连锁酒店住吧', 'star': 5}
{'descr': '因为靠近考试中心所以周围的房价都偏贵，房间不算大，服务一般，就当成如家一般的快捷连锁酒店住吧', 'star': 5}
{'descr': '交通方便，设施还行，相对性价比高。就是该享受的电话费没用上。', 'star': 5}
{'descr': '前台态度非常好，隔音一般，装修比较老了，电脑还可以，就是没电影，饮水机声音太大了，一烧水晚上睡不着，房间总体还可以', 'star': 5}
{'descr': '这次住和家安外店大床房十分压抑窗户全被广告牌挡上了见不到阳光十分郁闷下次都不想在此家住了其它很好', 'star': 3}
{'descr': '凌晨已入住，电脑房，不错', 'star': 3}
{'descr': '环境还可以，位置也不错 ，下次还会入住。', 'star': 5}
{'descr': '这家店规模挺大的，至少有三处房，主楼，对面的平房，和南面的二层楼。。上次住的主楼大床房不舒心，楼较破，关键窗户全被广告牌全挡上了。。这次住得很好啊，台前的服务也超好，知道我是来考试的，专门给我找个了很安静，采光很好的南面小二楼。。谢谢前台啊。。', 'star': 5}
{'descr': '有电脑很好。屋子设施比较一般。屋里味道较重。。白天的时候有点吵。。。', 'star': 5}
{'descr': '只是还行，屋里带电脑，我是没有用。。考试的最近不要来，附近在装修，非常吵。。而且，特别喜欢窗户的不要选择大床房，虽然有窗户，但是是被巨大广告牌遮住的，这个让人很不爽很不爽。。', 'star': 5}
{'descr': '隔音不太好，前台服务非常热情，自助餐挺美味的，但是感觉青菜做的不如前几次入住时的好了，数量也减少了', 'star': 5}
{'descr': '舒适，方便，下次还想去', 'star': 3}
{'descr': '预定以后前台居然没有订单！！！让客人就那么等着！！！坚决不推荐入住！！！', 'star': 1}
{'descr': '定的大床房，房间很干净，床是2米乘2米2的，很大很舒适，房间带电脑，可以免费上网。总体来说性价比很高', 'star': 3}
{'descr': '房间大小还可以，比较干净。值得表扬的是前台服务人员态度很热情，宾馆的自助餐很实惠。缺点就是2号楼的房间普遍有空调外机或者泵的嗡嗡声，有点影响睡眠。有的房间卫生间有股霉味。', 'star': 5}
{'descr': '不错，干净，家具也不错，缺点就是热水容量小，用不一会就没水了', 'star': 5}
{'descr': '不错，住了两晚，暖和，安静，适合考试，推荐考生来住。', 'star': 5}
{'descr': '设施齐全 服务态度特别好 地理位置不错 交通方便', 'star': 5}
{'descr': '自助很划算，味道也不错，就是隔音效果差了一点，晚上楼道里开门和说话的声音很打扰睡眠。隔壁房间人的打鼾声都能听到，建议改进隔音', 'star': 5}
{'descr': '房间好大', 'star': 3}
