{'短评内容': '可惜今年早餐没有黄泥螺和蟹糊了', '短评打分': 5}
{'短评内容': '卫生干净，早餐丰富', '短评打分': 5}
{'短评内容': '自助餐很丰富，酒店的位置很好，周边很方便的，下次有机会再订这家酒店。酒店停车比较方便，停车位还是比较多的', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '帮人代订', '短评打分': 4}
{'短评内容': '来沈家门基本选择舟山海中洲，交通便利，床品舒服，干净！', '短评打分': 4}
{'短评内容': '酒店有点旧了，早餐不错', '短评打分': 5}
{'短评内容': '房间很好！', '短评打分': 5}
{'短评内容': '很好，服务细致', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便，附近商场购物方便，就是早餐没有以前丰富了', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '下次还住', '短评打分': 5}
{'短评内容': '酒店房间挺大 楼下的KTV很吵 早餐不错', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '非常好的一个酒店', '短评打分': 5}
{'短评内容': '还不错 前台入住速度不错 房间挺大的', '短评打分': 5}
{'短评内容': '。酒店大堂非常气派，前台服务非常好。住的标准间，房间大小还行', '短评打分': 5}
