{'短评内容': '还不错，，', '短评打分': 4}
{'短评内容': '离老街很近，走路五分钟', '短评打分': 4}
{'短评内容': '位置好，离老街一个胡同', '短评打分': 5}
{'短评内容': '第二次入住酒店，周围方便', '短评打分': 5}
{'短评内容': '环境好，非常干净', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '去北海你值得拥有。', '短评打分': 5}
{'短评内容': '可以，我喜欢，有海边的景色，离老街近', '短评打分': 5}
{'短评内容': '高级，。。。。。。', '短评打分': 5}
{'短评内容': '到老街比较近，附件的海边停车场不让停', '短评打分': 3}
{'短评内容': '非常方便，住的很舒服', '短评打分': 5}
{'短评内容': '地理位置好，环境好，下次还住', '短评打分': 5}
{'短评内容': '一般般吧，印象不深', '短评打分': 3}
{'短评内容': '该酒店位置很好，适合自由行。', '短评打分': 4}
{'短评内容': '各方面都很好！看了点评选择的！赞一个！', '短评打分': 5}
{'短评内容': '整体感觉很好！特别是停车场的小伙子热情！主动帮忙拿行李！房间空调好，热水好！', '短评打分': 5}
{'短评内容': '酒店的位置临近老街，海湾边上，但其实老街真没什么好逛的，路那头是外沙桥，那边卖海鲜带加工，价格还可以，不算贵。缺点是酒店离公交站牌都挺远。2路去火车站，3路去银滩。前台服务员态度很好。总之，在路线熟悉之后还可以，如果路线不熟会觉得不方便。毕竟不是市中心。', '短评打分': 5}
{'短评内容': '酒店以前没有住过，现在发现也不错，房间很新，有洗衣机和烘干机，而且性价比很高，缺点就是烘干衣服说是送过来结果要自己去取，只是感觉有点，呵呵呵', '短评打分': 5}
{'短评内容': '价格有点贵，卫生还可以，有停车场', '短评打分': 4}
{'短评内容': '酒店很好，住的很开心，离海很近，可以在海边散步，就是交通不大方便！', '短评打分': 5}
