{'descr': '房间挺好的，如果你要是想吃早餐得早点去。', 'star': 5}
{'descr': '前台服务很多，房间也不错，还有水果送。。。。。。', 'star': 5}
{'descr': '不得分也不加分的酒店，品牌效应，不过服务还可以', 'star': 5}
{'descr': '还可以吧，老酒店，老牌子。。。。。。。。。', 'star': 5}
{'descr': '整洁卫生，交通便利，服务周到，环境优良，舒适安静', 'star': 5}
{'descr': '整洁卫生，交通便利，服务周到，环境优良，舒适安静', 'star': 5}
{'descr': '房间较大，沿街有些吵，早餐不错，推荐入住', 'star': 5}
{'descr': '房间较大，沿街有些吵，早餐不错，推荐入住', 'star': 5}
{'descr': '坏境不错   空间较大  总体感觉还是很不错的  值得入住 下次继续入住  只是价钱稍微偏高', 'star': 5}
{'descr': '坏境不错   空间较大  总体感觉还是很不错的  值得入住 下次继续入住  只是价钱稍微偏高', 'star': 5}
{'descr': '环境、地理位置、卫生条件都不错，但服务态度差点。', 'star': 5}
{'descr': '环境、地理位置、卫生条件都不错，但服务态度差点。', 'star': 5}
{'descr': '整体不错，如家一贯的风格都还不错的。不满的是在展会期间涨价啊~~~', 'star': 5}
{'descr': '整体不错，如家一贯的风格都还不错的。不满的是在展会期间涨价啊~~~', 'star': 5}
{'descr': '干净卫生，位置交通方便，但费用貌似较高，隔音不太好', 'star': 5}
{'descr': '干净卫生，位置交通方便，但费用貌似较高，隔音不太好', 'star': 5}
{'descr': '酒店整体还不错，比较好找，卫生不错，就是服务稍差，早餐差。', 'star': 5}
{'descr': '酒店整体还不错，比较好找，卫生不错，就是服务稍差，早餐差。', 'star': 5}
{'descr': '房间从开业到现在从没装修过，我住过很多河北地区的酒店，不知道为什么打扫都是不干净，房间有污渍等等，这个如家更是糟糕，房间不下水，然后往事反污水，真的让人没话说了，下次还是住汉庭吧，那里比这好多的多，，，，。', 'star': 1}
{'descr': '房间从开业到现在从没装修过，我住过很多河北地区的酒店，不知道为什么打扫都是不干净，房间有污渍等等，这个如家更是糟糕，房间不下水，然后往事反污水，真的让人没话说了，下次还是住汉庭吧，那里比这好多的多，，，，。', 'star': 1}
{'descr': '酒店很干净，房间很大，服务人员态度也很好，就是有点偏，吃饭不是很方便，喜欢烧烤的可以到酒店西面的一家新疆烧烤，味道不错，', 'star': 5}
{'descr': '酒店很干净，房间很大，服务人员态度也很好，就是有点偏，吃饭不是很方便，喜欢烧烤的可以到酒店西面的一家新疆烧烤，味道不错，', 'star': 5}
{'descr': '很好非常想到好~希望以后加油继续完善服务细节~不要放松', 'star': 5}
{'descr': '很好非常想到好~希望以后加油继续完善服务细节~不要放松', 'star': 5}
{'descr': '价格较同档次酒店高了点,餐馆的菜样少了点.房间隔音不好.', 'star': 5}
