{'短评内容': '非常不错，值得入住。', '短评打分': 5}
{'短评内容': '酒店很不错，环境很好很干净', '短评打分': 5}
{'短评内容': '酒店卫生环境很好，很舒服的一次入住', '短评打分': 5}
{'短评内容': '经济适惠', '短评打分': 5}
{'短评内容': '早餐花样不多，能吃饱，营养也够。有一个停车场不太大，淡季够用。估计不能加床，带孩子可以。', '短评打分': 4}
{'短评内容': '还行，停车方便', '短评打分': 5}
{'短评内容': '酒店装修还不错，就是床单上留下杂物，叫来服务员换了，心里总有说不出的不舒服。价格合适，还行吧！还行吧！', '短评打分': 4}
{'短评内容': '酒店装修还不错，就是床单上留下杂物，叫来服务员换了，心里总有说不出的不舒服。价格合适，还行吧！', '短评打分': 4}
{'短评内容': '还行还不错 可以可以', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设备陈旧，不是很满意', '短评打分': 3}
{'短评内容': '只能说是一个非常老的酒店，拿来睡觉没有其他太大要求', '短评打分': 3}
{'短评内容': '    酒店环境优美，安静怡人！服务态度良好，值得推荐。', '短评打分': 5}
{'短评内容': '服务很冷淡', '短评打分': 3}
{'短评内容': '一开始说我订好的房间没有了，有些不愉快，还好最后解决了。关于大家说的隔音效果不好，我是觉得是客房门那里有点不好，对面房客轻轻开个门都听得很清楚，过个人动静很大。总得来说，房间环境比较好，设施也比较好。\n', '短评打分': 5}
{'短评内容': '很干净.服务也很热情。', '短评打分': 3}
{'短评内容': '房间干静、安静。如果有纱窗就更好了,酒店不提供餐钦,有宵夜习惯的朋友,要自已准备', '短评打分': 5}
{'短评内容': '服务态度非常好，酒店设施齐全，干净，房间宽敞，是我这个国庆住宿去满意的一家酒店', '短评打分': 3}
{'短评内容': '酒店本身设施还行，床铺和淋浴比较舒服，液晶电视，还配了吹风机，接待人员也很热情，旁边是国税停车场，方便停车。\n墙壁隔音效果不太好，我们入住的晚上，后面小区有人养公鸡，每一小时打鸣，这个够受的。\n', '短评打分': 5}
