{'短评内容': '非常差', '短评打分': 1}
{'短评内容': 'Enjoyed my stay at this hotel. It was a good choice that I am happy that I made.', '短评打分': 3}
{'短评内容': '酒店位置不错，卫生可以，交通方便.', '短评打分': 4}
{'短评内容': '朋友感觉不错，位置也好.', '短评打分': 4}
{'短评内容': '偏贵，在香格里拉应该还算好的吧。', '短评打分': 3}
{'短评内容': '总台服务员态度差！中午12点钟前退房太坑人！', '短评打分': 4}
{'短评内容': '位置、环境、设施、早饭都不错，唯一美中不足的就是洗澡的热水……特别散，洗澡可费劲了', '短评打分': 5}
{'短评内容': '网上看说明是可以刷卡,可是去到酒店说不能刷卡,什么卡也不能刷,因为酒店根本就没有安刷卡的机器,而房间比在香格里拉的酒店一百多快的那种还差,设施一般', '短评打分': 1}
{'短评内容': '酒店设施很新，服务态度也好，走的时候老板亲自送到汽车站，就是位置有点偏，不过离独克宗古城很近，步行十分钟就可到。', '短评打分': 5}
{'短评内容': '进房间有一股杀虫剂的味道！而且苍蝇不少！一进去感觉不行！服务乐情不高', '短评打分': 1}
{'短评内容': '酒店不错，房间很漂亮', '短评打分': 3}
