{'短评内容': '环境可以，性价比高。', '短评打分': 5}
{'短评内容': '还行，不错 ，希望能更好咯&hellip;加油，喜欢在京东订酒店', '短评打分': 5}
{'短评内容': '停车场，可以自驾前往。酒店感觉住的人不太多，卫生情况还可以。酒店位置还可以。早餐没有，在外面找当地特色早餐吃的。', '短评打分': 4}
{'短评内容': '床和卫浴都不错，房间很干净，只是电视不能看，只有床头和厕所的插头有电', '短评打分': 4}
{'短评内容': '房间很干净，就是有股烟味很重，然后住的人太杂乱了，半夜四点多有人来敲门，白天一大早又有人来拧门把手，感觉没锁好分分被破门而入。', '短评打分': 4}
{'短评内容': '你再配以末日一样', '短评打分': 5}
{'短评内容': '在嘉兴学院旁边，交通方便，环境优美。晚上很安静，比周边其他临街酒店棒多啦！！', '短评打分': 5}
{'短评内容': '环境很好，设施齐全', '短评打分': 5}
{'短评内容': '挺干净的，房间大。', '短评打分': 4}
{'短评内容': '房间后面是垃圾房，窗外不能开，空气环境一般般。', '短评打分': 3}
{'短评内容': '房间好大，太棒了。', '短评打分': 5}
{'短评内容': '酒店人员态度好，服务好，就在嘉应学院一墙之隔，很方便', '短评打分': 4}
