{'短评内容': '房间空间大', '短评打分': 5}
{'短评内容': '挺不错的，有个阳台挺透气，早餐简单但是也还可以，我是订的商务大床房给我换了个豪华大床房', '短评打分': 5}
{'短评内容': '未住，不知条件如何，房间订错了日期，让往后推迟一天再去入住，跟携程，还有酒店协商半天不同意，最后依然按照入住的扣了费，觉得他们没有人性化所以奉劝各位订房间时一定看好日期，环境，主要还有酒店的服务！', '短评打分': 1}
{'短评内容': '嗯。。我的充电宝忘记带走了。。', '短评打分': 5}
{'短评内容': '房间还好？推荐！', '短评打分': 5}
{'短评内容': '非常好。下次还来哦。。。。。。', '短评打分': 5}
{'短评内容': '很不错啊，价格实惠，品质也信赖京东。一直都在京东购物。希望一如既往的好。', '短评打分': 5}
{'短评内容': '还可以，京东很实惠。便宜一部分的呢。就是有些事情！', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错，蛮干净的。。。也很清静。。', '短评打分': 5}
{'短评内容': 'APP', '短评打分': 5}
{'短评内容': '房間很好，很乾淨舒適，還有個小客廳，性價比很高', '短评打分': 5}
{'短评内容': '酒店不错，相当满意', '短评打分': 5}
{'短评内容': '整体很不错，性价比超级高的，还带早餐，床也很大，还有沙发，还有大阳台，采光很好，卫生间也很干净，交通距离轻轨站也就5分钟的样子～', '短评打分': 5}
{'短评内容': '挺好的，性价比超高', '短评打分': 5}
{'短评内容': '典式楼，环境不错。', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '很好下次再来', '短评打分': 5}
{'短评内容': '卫生不错，服务员也很热情', '短评打分': 5}
{'短评内容': '商务酒店呗，就这个样子。', '短评打分': 4}
{'短评内容': '该酒店离重庆北站比较近出行方便，卫生和设备都不错！', '短评打分': 4}
{'短评内容': ' 整体感觉不错，但空调有问题，冷气明显不足！', '短评打分': 3}
{'短评内容': '个人喜欢温馨的感觉，反正雅高给我的感觉不是怎么温馨，如果可能的话，楼下的七天也许是个更好的选择', '短评打分': 1}
{'短评内容': '酒店在火车北站对面，对于出行的人来说很方便，酒店还不错。', '短评打分': 3}
{'短评内容': ' 重庆雅高商务酒店，房间很宽敞，上网极其方便，房内有台式电脑，区位不错，交通便利；服务一般，早餐一般，淋浴水压不大。', '短评打分': 3}
