{'短评内容': '哦', '短评打分': 5}
{'短评内容': '很好很喜欢，信赖京东，这个东西买来不后悔，装出来很好看。家人很满意，有机会还会来光顾的。', '短评打分': 5}
{'短评内容': '每次回桐城都选定这家，也就象家一样温馨，前台美女更美，热忱优质，美！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离火车站还是比较近的，应该是老城区，周边洗脚，吃饭的很多，宾馆感觉是比较早的，房间不大，但卫生间还是蛮大的。', '短评打分': 5}
{'短评内容': '订的内宾房，小小的隔间，洗手间上方已经发霉脱落，电视遥控躺床上咋按都没用，还得起来。', '短评打分': 3}
{'短评内容': '内部环境差，被子又旧又发黄。', '短评打分': 2}
{'短评内容': '酒店又旧又老，被子等都很脏。', '短评打分': 2}
{'短评内容': '总体还可以的！', '短评打分': 4}
{'短评内容': '还不错的房间，位置很好，停车方便，还会来的。', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 4}
{'短评内容': '在这住过多次，対得起这个价格了。', '短评打分': 5}
{'短评内容': '性价比很高，环境也不错，好评', '短评打分': 3}
{'短评内容': '还好，价格偏高点，在外漂泊实惠', '短评打分': 3}
{'短评内容': '还可以，出行方便，周边吃的比较多', '短评打分': 3}
