{'短评内容': '环境不错，早餐不太好', '短评打分': 4}
{'短评内容': '总体还不错，房间超大，淋浴房很大，热水足，周边没什么配套，酒店附楼可以吃饭喝茶，还不错值得推荐。', '短评打分': 4}
{'短评内容': '我觉得床头没有插座的酒店，不算好酒店', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '可能开业久了，设施有点旧，员工态度一般，不太像一间4星酒店。普通住一两晚，这价钱可算可以了！', '短评打分': 4}
{'短评内容': '豪双房间很宽敞，干净整洁，服务员态度也可以，唯一点就是自助早餐有待在品种上改善一下。', '短评打分': 5}
{'短评内容': '性价比挺高，自助早餐也很不错，很喜欢！', '短评打分': 5}
{'短评内容': '离出差的地方很近，交通很便利，环境很好，也挺干净的，早餐很丰盛，只是由于我自身的原因，肚子不太舒服，所以只能干看着，真的是超级郁闷啊！下次出差还会继续定这个的。', '短评打分': 5}
{'短评内容': '酒店房间大，自助餐丰富', '短评打分': 5}
{'短评内容': '好，舒服', '短评打分': 5}
{'短评内容': '不错，房间还可以', '短评打分': 5}
{'短评内容': '离办事的公司比较近，总体还不错', '短评打分': 4}
{'短评内容': '交通方便，酒店服务好，早餐丰富', '短评打分': 5}
{'短评内容': '在高新区，距离工作的地方比较近，周边比较冷清', '短评打分': 3}
{'短评内容': '设施有点旧，有热水有wifi，总体效果不错', '短评打分': 3}
{'短评内容': '距离出差的目的地很近，酒店不错，一直是首选；干净、安静；服务到位。餐饮配套很好。', '短评打分': 5}
{'短评内容': '卫生不错，早餐不错。', '短评打分': 4}
{'短评内容': '一般的酒店', '短评打分': 4}
{'短评内容': '地理位置好，环境也不错！对面就是城东汽车站，回广州很方便。房间设施可以，早餐很好。', '短评打分': 4}
{'短评内容': '地理位置好，环境也好。对面就是城东汽车站，服务态度很好，设施也好，就是家具有的气味。', '短评打分': 4}
{'短评内容': '酒店外观大气，地理位置好，对面就是长途汽车站，房间设施还可以，早餐不错，服务挺好。', '短评打分': 4}
{'短评内容': '完全不像四星级酒店，早餐服务员态度不好，特别是做汤粉的，好像别人欠他一样。\n房间设施也不像高档的酒店，非常普通，就是交通比较便利，靠近开发区的城东车站。', '短评打分': 1}
{'短评内容': '卫生、安静、舒适，性价比高，出行还算方便，值得选择。', '短评打分': 5}
{'短评内容': '这家酒店不能住！！！各位请注意甄别----管理有漏洞，硬件、软件都有大问题！且极其不尊重入住的客人，以下很不愉快的亲身经历两段----\n\n1、足浴中心晚上11多时（近半夜11点！！！），打电话到同事A房间问有在足浴中心消费吗，得到否定的答复后，一个男服务员和女服务员竟然到房间敲门，说有4个人作了足浴，要付款并签字确认，面对子虚乌有的事，当然严词拒绝并表达不满后，这对男女才悻悻离开。严重影响了个人的', '短评打分': 1}
{'短评内容': '还可以，睡的比较踏实，周围相对比较安静，还行吧！', '短评打分': 5}
{'短评内容': '开发区最好的，不用选择了。', '短评打分': 3}
{'短评内容': '周边比较安静,出租车比较少,不是很便利,不是很好', '短评打分': 1}
{'短评内容': '入住点评;房间宽敞、舒服。缺点是;枕头太热上火。商务中心服务超好。早餐味道不纯正', '短评打分': 3}
{'短评内容': '平时住还可以，这次是室内同卫生间清洁没做好', '短评打分': 5}
{'短评内容': '早餐太简单了，四星级这样的早餐太简单。其他的还不错', '短评打分': 5}
{'短评内容': '在中山这个地方，该酒店还是不错的。。。。。', '短评打分': 5}
{'短评内容': '很好，下次有机会还会回来住。', '短评打分': 3}
{'短评内容': '酒店很安静，靠近汽车站，周围除了麦当劳没什么店。', '短评打分': 3}
{'短评内容': '第一次订这个酒店，总体感觉还不错，酒店很干净，环境设施可以，以后还会来的。。。。', '短评打分': 5}
{'短评内容': '还行，帮朋友定的，房间挺干净的，下次还会选择', '短评打分': 5}
{'短评内容': '性价比极高 可能是因为在中山吧 强烈推荐', '短评打分': 5}
{'短评内容': ' hotel room ok,food not bad', '短评打分': 3}
{'短评内容': '环境不错，位置还是在经济开发区里很好的，到周边的公司还是挺方便的。在附近来看算性价比比较高的酒店了。', '短评打分': 5}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '位置不错，干净卫生，早餐也还不错，希望早餐能够延长点时间。还会住！', '短评打分': 5}
{'短评内容': '酒店房间比较大，但是因为是新开酒店，所以气味比较大。又因在火炬开发区，打车比较麻烦。早餐比较丰富。', '短评打分': 5}
{'短评内容': '我入住的房间厕所的马桶有点问题，抽水力量比较小，让服务员修理后仍没改善。并且电梯也有点小问题，进到电梯门关后，电梯不运行。其他还可以。', '短评打分': 5}
{'短评内容': '我的朋友第一次如住，。感到非常满意，下次还会来住 ,xjbbuc!\n', '短评打分': 5}
{'短评内容': '早餐一般，品种少.晚上出去吃饭不是很方便。', '短评打分': 5}
{'短评内容': '装修还可以，但房间的隔音效果不是很好，对面房间关门时，能听到声音', '短评打分': 5}
{'短评内容': '总体还可以，前台服务不是很理想，我提前告诉前台打印发票，结果没打，还推卸责任', '短评打分': 5}
{'短评内容': '酒店不错，就是新装修有味道。', '短评打分': 3}
{'短评内容': '就出差而言 还是不错的~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，主要是离办事的地方近~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '还不错。如果是一般性的商务需要住几天。还算合适。', '短评打分': 5}
{'短评内容': '地点适中，比较清静，适合旅游或出差租用。', '短评打分': 5}
{'短评内容': '在工业区最好的酒店了，设施一流，服务一流', '短评打分': 5}
{'短评内容': '这家酒店在工业区是最好的了，设施不错，服务也非常好，价格也不贵，才两百多，算很实惠了！', '短评打分': 5}
{'短评内容': '酒店硬件设施一般，只是离火炬开发区比较近。早餐不是很好，品种不多。', '短评打分': 5}
{'短评内容': '位置距开发区近，价格合适，条件也不错。以后来还住。', '短评打分': 5}
{'短评内容': '宾馆位于开发区，离市区远，离中山港码头近。酒店的餐厅和足浴不都不错，可以一住。', '短评打分': 5}
{'短评内容': '在民众镇。交通条件一般，但住宿条件不错的。自助早餐非常不错。', '短评打分': 5}
{'短评内容': '\u3000我们住的是豪华房,房间不错,也很够大.没觉得像之前有人说的房间装修味很重.不过倒是隔音效果一般般.但总的来说还是满意的', '短评打分': 3}
{'短评内容': '还可以。位置有点偏。不过在那个区，也没有其它更多选择。', '短评打分': 5}
{'短评内容': '房间干净卫生，虽然不大但是整洁，特别推荐2楼的自助餐，非常美味，推荐！', '短评打分': 5}
{'短评内容': '新酒店，有的房间里气味比较大。距离市区有些距离。', '短评打分': 5}
{'短评内容': '下次还会入住，离开发区近，房间价格合理，建议更换枕头', '短评打分': 5}
{'短评内容': '酒店干净，整洁，就是枕头太高了，不太好睡。建议可以多备一套供客人选择', '短评打分': 5}
{'短评内容': '酒店很干净，环境不错', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '比其它酒店较新，干净，服务较好，浴室花洒水压较好，早餐不错！', '短评打分': 5}
{'短评内容': '离开发区很近，很方便，房间也不错，就是里面一股类似发霉的味道让人受不了', '短评打分': 1}
{'短评内容': '新开业的酒店，硬件设施很棒，很新，一应俱全，服务很好，周到热情，整体感觉还算不错的酒店。', '短评打分': 5}
{'短评内容': '整体感觉酒店的住宿环境还是不错的，服务很细心，态度好，房间的硬件设施很齐全，还是比较满意的', '短评打分': 5}
{'短评内容': '酒店的装修风格时尚，环境舒适优雅。值得推荐入住。', '短评打分': 5}
{'短评内容': '房间干净舒适，配置也很齐全达标，整体来讲算是很好的酒店。', '短评打分': 5}
{'短评内容': '酒店的管理很棒，服务人员素质非常高，专业热情。', '短评打分': 5}
{'短评内容': '酒店的服务人员态度很好，周到热情，性价比较高。', '短评打分': 5}
{'短评内容': '还不错了算是很舒适的一家酒店，配置设施都很达标。卫生服务也都很棒值得推荐。', '短评打分': 5}
{'短评内容': '酒店安静舒适，隔音效果很不错，房间干净服务一流。', '短评打分': 5}
{'短评内容': '酒店新开业的设施配置都非常新，住着很舒适。', '短评打分': 5}
{'短评内容': ' 早餐很豐富, 服務員的sop做的很有系統, 連收盤子都有規定既定流程, 表示管理上道, 房間高樓view很好,衛生, 設備很新住起來挺爽的, 且對面就是城東車站, 去珠三角的任何一城鎮都有車, 非常方便. 惜有大量的旅行社簽約旅遊團, 早餐時千萬要避開0700~0900. 以免享受不到該有的美食與服務. ', '短评打分': 5}
{'短评内容': '服务不错，交通便利，餐厅的样式还要增加，可以推荐！', '短评打分': 3}
{'短评内容': '非常好！', '短评打分': 5}
