{'短评内容': '垃圾，', '短评打分': 2}
{'短评内容': '并不怎么样', '短评打分': 2}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '酒店位置挺好', '短评打分': 4}
{'短评内容': '还不错的 第二次来了', '短评打分': 5}
{'短评内容': '被退了，没订到房', '短评打分': 5}
{'短评内容': '环境不错，价廉物美。', '短评打分': 5}
{'短评内容': '第一次入住该酒店，位于东风大桥附近，靠近春熙路步行街，交通方便，。该酒店硬件设施陈旧，属于老酒店，整体还算可以。值得推荐。', '短评打分': 4}
{'短评内容': '预订方便，入住简洁，出入自在，打车超级方便！', '短评打分': 5}
{'短评内容': '每次出差必选的酒店，去哪都方便，吃饭也不贵，各种成都小吃包揽其中，稍微有点贵，其他，赞??', '短评打分': 5}
{'短评内容': '大房间，早餐自助，各种舒适，不在乎价位的，可以放心入住，客官里面请！', '短评打分': 5}
{'短评内容': '还可以。还会考虑入住', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '性价比很好...................', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '吵，特服扰民', '短评打分': 3}
{'短评内容': '不错，推荐入住！\n位置很好，早餐不错，只是房间有点旧哦。', '短评打分': 5}
{'短评内容': '糖酒会结束了价格终于降下来了', '短评打分': 3}
{'短评内容': '还不错，早餐太次，太次，太次，太次，太次，太次，太次', '短评打分': 5}
{'短评内容': '出差选择,离工作地点挺近的,方便.选择的218元大床房,还不错.房间挺大,蛮干净.下次应该还会选择', '短评打分': 5}
{'短评内容': ' 很乾淨', '短评打分': 3}
{'短评内容': '酒店装修还可以，挺干净，交通也方便，只是附件吃饭不太方便', '短评打分': 5}
{'短评内容': '酒店地段交通较便利。酒店内部设施和环境还是比较干净的。而且价格合理，如果下次出差，还是会选择这家酒店。', '短评打分': 5}
{'短评内容': '位置还可以，房间大小也合适，晚上比较安静，价格还实惠', '短评打分': 5}
{'短评内容': '房间装修不错，空间很大，挺干净的，美中不足的是信用卡不能预授权', '短评打分': 5}
{'短评内容': '服务不太好,两个人住要两个门卡也不行。房间又暗又脏，地毡上有烟灰和纸碎, 原来忘记吸尘.设施还是简单了些,厕所没装门,抽气扇坏了,叫我等到第二天,后坚持要换房,才来换抽气扇.洗澡排水也不好,房间有怪味,虽然设备不算旧,但是用得很残。毛巾也很旧的样子,令人不舒服.', '短评打分': 1}
{'短评内容': '酒店还不错，以后来还会住的！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '什么都好，可连起码的茶叶都没有，放在桌上的茶叶最后还收了费。', '短评打分': 5}
{'短评内容': '感觉还行,只是房里连纸都要收费,太吝啬了', '短评打分': 3}
{'短评内容': '很好找，环境不错，价钱也不贵。值得一去', '短评打分': 3}
{'短评内容': '总的来讲，服务还不错。房间干净、整洁，只是没有想象中的好，设施还是简单了些。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '十月三日入住，四日一早退房，匆忙中把钱包漏到房间里，幸亏服务员查房时靠知，否则接下来的行程不仅没有钱，连证件也没有，非常感谢这位服务员，下次有机会还会入住该酒店！', '短评打分': 5}
{'短评内容': '服务很好，房间宽敞干净舒适，硬件不错，但是晚上有骚扰电话。地点方便好找离春熙路很近。', '短评打分': 5}
{'短评内容': '很实惠不过改名叫川茶宾馆了', '短评打分': 3}
{'短评内容': '房间大小合适，硬件设施齐全，服务比较细心周到，也很规范，卫生条件还好', '短评打分': 5}
{'短评内容': '酒店位置不错，出行方便，安全做的很到位，都要用有效证件核实登记的，房间卫生条件还好比较干净，服务比较一般', '短评打分': 3}
