{'短评内容': '很好', '短评打分': 5}
{'短评内容': '汪红梅很不错，房间里冷，主动给我拿了一个取暖器', '短评打分': 5}
{'短评内容': '不错，服务很好。谢谢送牛奶的小姑娘', '短评打分': 5}
{'短评内容': '服务员向小莉服务很热情哦', '短评打分': 5}
{'短评内容': '服务很棒，刚入住给准备了红景天，睡前还给准备了热牛奶。谢谢李萍，很细心很周到', '短评打分': 5}
{'短评内容': '非常好住了二天，紧邻尼洋河，环境很好，交通便利', '短评打分': 5}
{'短评内容': '非常舒适，宽敞明亮，紧邻尼洋河，打开窗帘就看到美丽的尼洋河', '短评打分': 5}
{'短评内容': '该酒店位置极佳，就在尼洋河畔，酒店的服务人员态度和蔼可亲，一一告知到高原地区的注意事项，问寒问暖，号主动帮我们房间加取暖器，很贴心，明年还会入住。', '短评打分': 4}
{'短评内容': '代人预订的', '短评打分': 5}
{'短评内容': '在藏区有这样的宾馆，还是非常不错，一贯珉山的服务水准，这是岷山的风格！美中不足的是藏族故娘还是要多学会一点服务意识！', '短评打分': 4}
{'短评内容': '酒店位置不错，出门就是尼洋河，景色还不错。但硬件非常一般，设施很老，房间很小，不够四星的标准。', '短评打分': 3}
{'短评内容': '房间不大，但比较干净。早上醒来看窗外，外面就是尼罗河，挺美的', '短评打分': 4}
{'短评内容': '在当地算不错、就在河边', '短评打分': 4}
{'短评内容': '干净卫生、入住时都是十月底了、价格偏高', '短评打分': 4}
{'短评内容': '酒店网速超级慢，还没手机3G网速快，电视也不能看，没有有线电视', '短评打分': 3}
