{'短评内容': '交通还行，销售部的服务员态度不行。预定后打电话叫确认，说没收到订单', '短评打分': 4}
{'短评内容': '刚进屋子。。。。居然发现好多烟头在地上，确认房间有打扫？', '短评打分': 3}
{'短评内容': '位置很棒。适合带孩子', '短评打分': 5}
{'短评内容': '早餐不太好。有停车场', '短评打分': 5}
{'短评内容': '很不错，只要不是暑期价格还是很实惠的屋子很大，卫生也很好', '短评打分': 5}
{'短评内容': '隔音太差了', '短评打分': 5}
{'短评内容': '京东胜在有券，比其他家方便优惠。', '短评打分': 5}
{'短评内容': '酒店感觉还可以', '短评打分': 5}
{'短评内容': '666666666966666666666', '短评打分': 5}
{'短评内容': '酒店除了有些嘈杂。其它一切还好。', '短评打分': 5}
{'短评内容': '地理位置不错，旁边有家乐福，购物方便，吃饭也很方便，酒店是商务楼，有办公楼层，人显得比较多，电梯噪音大，餐厅在28楼，样品过于简单，458的酒店配这样的早餐，实在有点掉价', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间很干净，面积也够大，公司招待，亲朋来访都住这里……', '短评打分': 5}
{'短评内容': '第一次对酒店做差评，应该说酒店房间很大，感觉还不错，可是住下来慢慢才发现，房间里灯有两处是坏的，这个可以忍，大冬天的房间里空调没有热风，开了半宿还是凉风，这还不算，风机叶片沙沙响，夜深人静的时候，那效果大家自己想想吧，最不能容忍的是，居然没有热水，早上起来放了半个小时水还是温的，仅仅是不冰手，根本没法洗澡，更正一下，在放了一个多小时的时候终于有热水了，可是我们也要出发了。本人男，自己住的标间，床上', '短评打分': 3}
{'短评内容': '房间除了大没什么特色，另外看到其他朋友说这家酒店早餐不错，我想说您有没有吃过真正4星级酒店的早班呢？太差劲了，还不如宁波三星级酒店的早餐好呢！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': 'Stay there for one night with my friend. Average hotel but ok.', '短评打分': 3}
{'短评内容': 'Its a good hotel for short and long stay. The rooms and the bathrooms are very spacious, beds are big. Almost centrally located. Nice hotel, i enjoyed my stay.', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境还可以。就是冬天热水太慢了', '短评打分': 5}
{'短评内容': '性价比不错,房间叫干净，电梯略显拥挤，餐厅一般，特别是早餐，', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，三楼的餐也不错，量很大。地下有车库免费停车。很好下次还会定这里。', '短评打分': 3}
{'短评内容': '酒店挺棒的 房间特别大  楼下餐厅也不错  美中不足的就是房间有点味儿，可能新装的缘故吧', '短评打分': 5}
{'短评内容': '挺好的，就是首日入住时，前台服务人员的态度给我感觉不好', '短评打分': 5}
{'短评内容': '很好，房间很大，就是入住第一天，前台服务员给我留下的任象不好，不太热情', '短评打分': 5}
{'短评内容': '酒店房间相当宽敞 40平左右 配置和服务都很到位 入住的是 25层 一览秦皇岛 距火车站乘出租6、7分钟的路程 很方便 酒店是去年开始营业的 部分房间还得通风 ', '短评打分': 5}
{'短评内容': '地方够大40平的，挺干净，今年新开的设施好，电话暂时不能用，卫生间够大，1.4×2米的单人床不错', '短评打分': 5}
