{'短评内容': '酒店周边环境还可以、交通方便。清洁卫生！', '短评打分': 4}
{'短评内容': '环境不好～设备老旧', '短评打分': 3}
{'短评内容': '马桶和卫生间的问题，希望可以整改。', '短评打分': 3}
{'短评内容': '卫生间老旧，马桶盖坏的，希望酒店可以修修，床还算干净，中评。', '短评打分': 3}
{'短评内容': '离火车站近，不错，实惠。', '短评打分': 3}
{'短评内容': '也就那样吧。比较偏僻的地方', '短评打分': 3}
{'短评内容': '还行吧，交通挺方便，价格不贵，哈哈哈哈！', '短评打分': 3}
{'短评内容': '很陈旧的一家酒店，周边也有很多类似的酒店！ 如果下次来，可能还会选择这家酒店，性价比不错。在这个位置能住到这种价格的酒店已经是不错了。', '短评打分': 3}
{'短评内容': '价格经济实惠，没有瓶装水，装修较久门锁不好用，餐厅不能挂账要另外付款比较麻烦，不能预授权得付现金做押金，插座太少充电不方便，不过有wifi可用。停车位太少。毛巾太旧。', '短评打分': 4}
{'短评内容': '服务员服务态度一般，卫生条件良好，电话不好用。', '短评打分': 5}
{'短评内容': '一般吧。价格实惠', '短评打分': 1}
