{'短评内容': '老酒店了', '短评打分': 5}
{'短评内容': '还行，', '短评打分': 4}
{'短评内容': '经常住，性价比不高。那个地方只能这样了。', '短评打分': 3}
{'短评内容': 'It is a good 3* hotel nearby the airport. I would like to choose it next time.', '短评打分': 3}
{'短评内容': '住了好几次 感觉还不错设施有点老了早餐非常好 种类很多！', '短评打分': 4}
{'短评内容': '该装修了', '短评打分': 4}
{'短评内容': '酒店位置环境不错，装修旧了', '短评打分': 4}
{'短评内容': '离公园近，机场可送，有点贵了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老宾馆了离机场近，方便，设备陈旧了一些', '短评打分': 4}
{'短评内容': '前台服务和好，卫生条件也不错，热水温度有点低，靠近路边有点汽车杂音，总体来说经济实惠，比较满意的一次入住！', '短评打分': 5}
{'短评内容': '最老的那种三星级酒店。房间还算大。', '短评打分': 3}
{'短评内容': '最老的那种三星级酒店。房间还算大。', '短评打分': 3}
{'短评内容': '房间设施还不错，干净卫生无噪音。坐车去机场需要十几分钟，免费的送机服务要早上六点才有，我的航班六点多与送机服务无缘。', '短评打分': 5}
{'短评内容': '交通便利，离机场很近，但设施一般，赶飞机的人适合', '短评打分': 5}
{'短评内容': '房间不错，挺大的，服务态度很好。', '短评打分': 3}
{'短评内容': '服务不错，房间比较干净，总体感觉挺好的，双人间空间还可以，就是无线网络信号不好，小遗憾吧', '短评打分': 3}
{'短评内容': '条件不错，干净卫生，特别是楼下的饭店（叫什么鱼馆，但好像跟酒店不是一家的）的水煮鱼特好吃，我们点的微辣的对我们南京人来说已够辣了。酒店还提供免费车送机场。不足的是房间隔音效果不好，走廊没有空调温度较高。机场免费接送是我们问了才知道有此服务，建议此项服务能在网上明示。', '短评打分': 5}
{'短评内容': '新华酒店内部和外部环境都不错，交通便利，周围既可以去附近碧津公园休闲，又可以在附近购物，去机场很近。酒店内部设置也不错，就是房间挤了点，来个客户没地方坐。房间光线暗，照片也拍不了了。', '短评打分': 3}
{'短评内容': '优点：交通便利\n缺点：\n1.电视不清晰\n2.洗澡水出水小', '短评打分': 5}
{'短评内容': '酒店环镜还可以，服务态度一般，电视信号较差', '短评打分': 3}
{'短评内容': '还不错，房间大 交通方便', '短评打分': 3}
{'短评内容': '酒店豪华单人间房间有点老，不过空间挺大的。', '短评打分': 3}
{'短评内容': '离机场蛮近的，原先以为很偏僻，入住后发现周围还不错。有一家鱼锅很好吃…', '短评打分': 5}
{'短评内容': '方便 性价比高。早餐很不错。临近街区房间还是很干净地 ....', '短评打分': 5}
{'短评内容': '酒店优点：离轻轨和机场都很近。房间很大，有沙发和茶几。早餐不错。服务员热情，专业；不足处：临街有点吵，电视机太老旧。', '短评打分': 5}
{'短评内容': '环境不错，附近交通也很方便，酒店房间整洁、宽敞、明亮，总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '这个位置我认为是性价比最好的酒店了，三星级不到300元。而且距离机场也很近。', '短评打分': 5}
{'短评内容': '查看的网评虽然差，但介于这个位置很方便，我还是抱着试试的态度订了这家酒店，服务态度真的很差。。。', '短评打分': 1}
{'短评内容': '晚上很安静，卫生条件不错，特别是早餐，太丰盛了，有机会还过来', '短评打分': 5}
{'短评内容': '要是招牌大点就好找了，还可以……', '短评打分': 3}
{'短评内容': '多行不义，服务不好，和周边的比较不好。服务人员想得就是如何挣钱。', '短评打分': 1}
{'短评内容': '总的还来还不错，以前还送水果呢，现在没送了', '短评打分': 5}
{'短评内容': '总体不错.地理位置方便,附近吃饭娱乐都很方便.主要是离机场近.', '短评打分': 5}
{'短评内容': '每天会送小食品，早餐也还不错！就是前台服务有待改进！', '短评打分': 3}
{'短评内容': '设施陈旧，冷热水龙头标识和实际是反的，空调不灵', '短评打分': 1}
{'短评内容': '房间比奥蓝的大，早餐也不错，就是网速太慢，电视很旧。而且到处都是收费的东东，一不小心就用了。', '短评打分': 5}
{'短评内容': '酒店环境干净整洁，单人间也非常宽敞舒适。最便利的一点，更在于它离江北机场只有起步价的距离，非常便捷。本人已再次入住，感觉很不错。另外，该酒店的早餐也相当丰盛，中式和西式兼而有之，一个字：值。', '短评打分': 5}
{'短评内容': '位置还不错，酒店比较老旧了，设施需要更新。适合商务出差', '短评打分': 1}
{'短评内容': '还是老观点，设施陈旧，服务一般，只是因为价格实惠又离福特和机场比较近，所以入住', '短评打分': 1}
{'短评内容': '主要还是价格实惠，离福特比较近，设施很陈旧，服务也很一般。希望有所改进，其次，送餐服务种类太少，打电话咨询价格，两天两个人说的都不一样，早餐说是10点结束，9点钟去基本已经没什么吃的了。', '短评打分': 1}
{'短评内容': '自从到重庆出差，这里一直是我的下榻之地，推荐一下啦\n环境好，房间的空间也叫人满意，早餐的开放时间很好，还可以睡个懒觉\n有送机服务，这点也不错，这也是有些酒店没有的服务\n不错，介绍朋友来住', '短评打分': 5}
{'短评内容': '还不错，干净，环境不吵闹，送机服务很好。就是前台的服务差了点，总的来说是不错的选择。。。下次还会来住的，也会介绍朋友来住。', '短评打分': 5}
{'短评内容': '这家酒店实在是太吵了。下次不会再选这家了。', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '房间很干净，服务态度非常好，包括送机的师傅（我当天早上是一个人坐的车去机场，结完帐就出发了），早餐也还算丰富。\n美中不足，电视老了些，网速略慢', '短评打分': 5}
{'短评内容': '已入住新华酒店。', '短评打分': 3}
{'短评内容': '离机场比较近，交通方便，早餐不错，房间也比较大。。。', '短评打分': 5}
{'短评内容': '这家酒店在属国营酒店吧，酒店离机场站不远，交通方便，房间大！酒店服务态度传统的国营态度 \n', '短评打分': 5}
{'短评内容': '每次来重庆必住的酒店，很喜欢这里，环境、服务、餐饮都很不错，也介绍给了不少的朋友', '短评打分': 5}
{'短评内容': '酒店环境还可，设施一般，床上用品比较差。有送机场的车，这点比较方便，如果是赶早班飞机的话，住这个酒店还是比较好的。', '短评打分': 5}
{'短评内容': '房间设计我很喜欢，环形的卫生间，空间很大', '短评打分': 5}
{'短评内容': '已经是第二次入住啦，和朋友一起，环境很好，服务也不错，以后这里就是我来重庆的首选', '短评打分': 5}
{'短评内容': '环境很好，价格也很合理，加之提供免费的机场的士，很方便，早餐也不错的，下次还来这里住，也会向朋友推荐', '短评打分': 5}
{'短评内容': '不错的地方，虽然看上去有点久，但还算挺干净', '短评打分': 3}
{'短评内容': '十房间干净，并有免费送机场。', '短评打分': 3}
{'短评内容': 'good,and welcome to live', '短评打分': 5}
{'短评内容': '服务很好。', '短评打分': 3}
{'短评内容': '<重庆渝北新华酒店>不错，房间里边空调暖和，因为早上要坐飞机，所以选择了这里，但是意外的是，酒店居然有送机服务，很好！', '短评打分': 5}
{'短评内容': '房间内设施不错，卫生也还可以\n就是宽带不能用', '短评打分': 5}
{'短评内容': ' 可以免费送机场，周围有超市，很方便', '短评打分': 3}
{'短评内容': '还是不错哦。便宜的房间一般。宾馆免费送机场，推荐一下。 ', '短评打分': 5}
{'短评内容': '性价比比较高，而且有送机服务，赶早机的话挺不错的', '短评打分': 5}
{'短评内容': '酒店还不错，我朋友住下来以后表示比较满意', '短评打分': 5}
{'短评内容': '还是那个问题啊，太靠近马路了，有点吵，睡眠可能会有影响&#183;', '短评打分': 3}
{'短评内容': '客房都太靠近马路，有点吵，总是有大卡车驶过的声音', '短评打分': 1}
{'短评内容': '还是不错哦。便宜的房间一般。有些没有窗户。', '短评打分': 5}
{'短评内容': '离机场近，方便，还有小车免费送机场，特别适合赶早班机的人入住。', '短评打分': 5}
{'短评内容': '这家酒店是三星级的，还不错，房间比较大，内部设施也比较齐全，总的来说比较满意，离机场比较近，去沃尔玛、重百也不算远，可以预定送机时间，宾馆免费送机场，推荐一下。', '短评打分': 5}
{'短评内容': '宾馆环境不错，房间也比较安静', '短评打分': 5}
{'短评内容': '总体来说原本设施是不错的，大概卫生不好是客人弄的，但为什么酒店不更换新的咧？', '短评打分': 1}
{'短评内容': ' 酒店装修略旧 与老牌三星实力相符 个别前台人员服务意识还需加强', '短评打分': 5}
{'短评内容': '很不错，应该是机场附近价格合理的较高档酒店了，硬件软件都比较不错', '短评打分': 5}
{'短评内容': '为了赶第二天早上的航班，选择了这家离机场只有10分钟路程的酒店，酒店比我们想象中的要好多了，大堂中间挑空，感觉还算气派。而且早上还有车子可以免费送到机场。总体来说，还算是不错的，性价比也蛮高。', '短评打分': 5}
{'短评内容': '房间大,干净。临街有点吵,要关双层窗。', '短评打分': 5}
{'短评内容': '性价比还可以，比皓思强多了，建议可以考虑入住，', '短评打分': 5}
{'短评内容': '还不错，离机场近，方便是最大的好处。房间内设施不错，卫生也还可以', '短评打分': 5}
{'短评内容': '条件不错，性价比很高。', '短评打分': 5}
{'短评内容': '感觉还可以，下次还可以入住。', '短评打分': 5}
{'短评内容': '总体感觉非常好，离江北机场仅仅5分钟的车程，并且有免费送机场的服务。210的价格也不高，早餐在同等价位的酒店里面也不错。', '短评打分': 5}
{'短评内容': '前台小姐态度不好普通话不标准是真的很讨厌。', '短评打分': 3}
{'短评内容': '豪华标间与普通标间只差二十块左右，所以我认为住豪华标间更划算，床比较宽房间也干净整洁。', '短评打分': 5}
{'短评内容': '可再来', '短评打分': 3}
{'短评内容': '可再来', '短评打分': 5}
