{'短评内容': '下单就确认，还是比较方便的。房间还不错，毕竟价格不算贵。', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '还不错，住的挺舒服，性价比比较高', '短评打分': 5}
{'短评内容': '每次出差都选择华住美达，很放心！', '短评打分': 5}
{'短评内容': '不錯不錯的', '短评打分': 4}
{'短评内容': '早餐中规中矩，房间较大。周边挺方便。', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '非常好，入住当天生日，收到了酒店前台的祝福，和生日蛋糕，就这一点就值得', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较LJ的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。', '短评打分': 4}
{'短评内容': '还可以，房间挺大', '短评打分': 5}
{'短评内容': '不错了。', '短评打分': 5}
{'短评内容': '设施齐全，房间干净，周边购物娱乐齐全，就是老城区出行较不方便', '短评打分': 5}
{'短评内容': '设施齐全，房间干净，周边购物娱乐齐全，就是老城区出行较不方便', '短评打分': 5}
{'短评内容': '位置不错，房间也好，就是有些细节没做好', '短评打分': 5}
{'短评内容': '酒店不错，就是店里不能开发票，要携程提供比较麻烦，而且还要扣除2000积分。不是很合理，希望改进！！！', '短评打分': 5}
{'短评内容': '差，真的差，不知道怎么形容。态度极差，卫生也差。', '短评打分': 1}
{'短评内容': '还不错了。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '住在市中心，饮食、逛街都方便。', '短评打分': 5}
{'短评内容': '今年第四次入住了，一如既往的好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
