{'descr': ' 环境还不错，下次还来', 'star': 3}
{'descr': '位置比较偏，难找，卫生条件不好，木地板开裂，床塌陷，环境不好，', 'star': 1}
{'descr': '环境一般般啦', 'star': 3}
{'descr': '房间还行，就是太偏。卫生状况不是太好。应该不会再去住了。', 'star': 5}
{'descr': '还行，物美价廉。距离市中心不算远。如果自己有车的话，就更方便了', 'star': 5}
{'descr': '非常好，干净舒适，地点离旅游地点近，房间宽敞，没有噪音', 'star': 5}
{'descr': '小了点，有点旧服务还行', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '很满意。', 'star': 3}
{'descr': '在市中心还算是比较划算的一家吧，比较安静，就是房间有点小！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '价格便宜，地段稍偏离夫子庙20分钟', 'star': 3}
{'descr': '交通还行，到火车站一部车就到了，到夫子庙或新街口也蛮近的。只是离地铁站远了点，坐车要坐3站左右。房间设施比较旧，也比较小，灯是坏的，浴室的下水道不通畅的，牙刷也没有，不知道是忘记了还是本来就没有。不过商家的服务态度还是蛮好的，赞下！', 'star': 5}
{'descr': '环境太差,去看房的时候房间居然是没打扫的', 'star': 3}
{'descr': '太差了，厕所臭死了，根本不能睡', 'star': 3}
{'descr': '整体设施比较老，服务态度蛮好', 'star': 3}
{'descr': ' 一般般…唯一的优势就是价格还可以吧…', 'star': 3}
{'descr': '太偏僻了，不太好找。\n其实还可以的。住着还凑合。', 'star': 1}
{'descr': '在南京找到120块的这样的房还真不容易，设施齐全，边上有个苏果超市，走2分钟看见了水西门车站~下次去南京还会住，老板人也很好~', 'star': 5}
{'descr': '服务人员的态度还是不错的，显得格外的可爱可亲，对我们也特别照顾.', 'star': 5}
{'descr': '性价比高，价格便宜，而且房间干净整洁，住着特别舒服.', 'star': 5}
{'descr': '挺好的，干净又便宜，去南京最满意的地方就是住的地方了，交通也很方便', 'star': 5}
{'descr': '采光不错，住着舒服，而且服务好，挺热情的.', 'star': 5}
{'descr': '客房的空间还是不大不小正合适，就是房间有点冷，感觉暖气不太有用.这点希望再提高.', 'star': 5}
{'descr': '其它都满意，就是浴室的水不行，水温忽冷忽热，一会儿冷得半死，一会儿热得要脱层皮。', 'star': 1}
{'descr': '一般', 'star': 3}
{'descr': '酒店位置好，闹中取静，而且舒适度也特别好，不吵，休息很好', 'star': 5}
{'descr': '价格便宜 房间蛮干净 主要不在沿街 没那么吵。。 就是服务生少了点 老板给让自助了都。', 'star': 5}
{'descr': '物美价廉！', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '真是这样的：空间比较冷，空调么用，洗澡水忽冷忽热，不能接受！服务态度还可以。。。', 'star': 1}
{'descr': '空间比较冷，空调么用，洗澡水忽冷忽热，不能接受！服务态度还可以。。。', 'star': 1}
{'descr': '还行吧，虽然住的不是我预定的房间，但是总的来说还可以，因为我是要到其附近的设计院去的，所以就在网上找到了这家，希望里面环境还需该善啊！急需改善！', 'star': 5}
