{'短评内容': '哪都挺好，就是早餐种类太少了', '短评打分': 5}
{'短评内容': '花600多的豪华大床房跟400多的商务大床房没有任何区别，只是不在一栋楼，房间设施一样的，空调声音超大，感觉真的好坑', '短评打分': 3}
{'短评内容': '酒店性价比好', '短评打分': 4}
{'短评内容': '挺不错的，周边环境安全又安静，去景点也方便。', '短评打分': 5}
{'短评内容': '老顾客了，下次还会来光顾的。', '短评打分': 5}
{'短评内容': '给领导订的，每次去拉萨出差都住这里，各方面条件都不错，性价比比较高，大家反应都不错，以后来出差还会再预订的。', '短评打分': 5}
{'短评内容': '拉萨之行共住了4家宾馆，本人感觉一个酒店不能住超过3天，否则很腻歪，早餐也不想吃什么了。香格里拉第二晚没订上，换成这家，没想到很不错。房间相比五星酒店没那么大但很标准干净也无异味，不喜欢香格里拉，包括瑞吉酒店藏香缭绕的味道，价格比香格里拉便宜了一半，早餐更合口。淡季330很划算,下次来拉萨还会再来住。', '短评打分': 5}
{'短评内容': '环境好！非常安全，就和武警总队相邻！', '短评打分': 5}
{'短评内容': '挺不错的。只是周边没啥吃的', '短评打分': 4}
{'短评内容': '挺不错的。只是可能周边没啥吃的', '短评打分': 4}
{'短评内容': '在武警总队边上，安全有保障，是武警原来的招待所。房间大，有加湿器和制氧机。早餐还行。晚餐在餐厅吃，川菜，味道一般。', '短评打分': 5}
{'短评内容': '在武警总队边上，安全有保障，是武警原来的招待所。房间大，有加湿器和制氧机。早餐还行。晚餐在餐厅吃，川菜，味道一般。', '短评打分': 5}
{'短评内容': '在武警总队边上，安全有保障，是武警原来的招待所。房间大，有加湿器和制氧机。早餐还行。晚餐在餐厅吃，川菜，味道一般。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间很大 性价比很高 有免费停车场 是军队的酒店 很安全', '短评打分': 5}
{'短评内容': '未入住，看网上评价不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
