{'短评内容': '酒店应该是很古老的酒店 要不是离考场近 说什么也不会选择的  房间里边竟然还有苍蝇 特别讨厌 空调也不是很好 住了一晚上 都冻感冒了 ', '短评打分': 2}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '店内无早餐（属于原来的维利多得酒店贵宾楼，现在分包出去了，需要到前楼一个浴馆的二楼自助餐厅吃），不能加床（老式三星级宾馆装修，没有加床的地方），不太适合带孩子（老式装修，地面地毯，卫生情况一般）。酒店坐标位置非常好找，但是实际位置是后楼，需进院绕到后面，没有指示牌，必要时需要致电前台问。停车场非常大。', '短评打分': 4}
{'短评内容': '不咋样，太垃圾了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般，旅游住宿，也就那样', '短评打分': 3}
{'短评内容': '一般般吧！', '短评打分': 4}
{'短评内容': '原来很好的一个酒店怎么变这样了', '短评打分': 3}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '性价比还不错了。', '短评打分': 4}
{'短评内容': '脏乱，住的最差酒店！地上头发与地毯合二为一，床上都有，霉味快让人窒息。结帐开发票让客人去隔壁水疗开，说是一家老板的。', '短评打分': 2}
{'短评内容': '设施太旧，房间卫生太差，服务不到位，楼内灯都不开，早餐太次。不会再去了！', '短评打分': 1}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '设备一般，服务一般，不够4星，3星也不够', '短评打分': 1}
{'短评内容': '老式酒店，主楼空间小，有点脏，房间里还有油烟味。副楼空间比主楼稍大，但有些设备不能正常使用，并且副楼靠近铁路，比较吵。', '短评打分': 1}
{'短评内容': '位置偏远，设施陈旧，服务差，不符合星级标准', '短评打分': 1}
{'短评内容': '跟介绍的有很大差别，房间配套设施很差尽！感觉跟县城的小宾馆差不多，不像正规的星级酒店！早餐很简单！\n\n就算是旅游季节，这价格也是太高了！', '短评打分': 1}
{'短评内容': '酒店房间很大，有点旧，毛巾发黄', '短评打分': 3}
{'短评内容': '空气好，酒店范围大，但装修比较陈旧了。早餐也一般，但这个地方不能要求太高', '短评打分': 5}
{'短评内容': '酒店比较安静，房间不错，就是餐饮方面有待改进 \n', '短评打分': 5}
{'短评内容': '酒店比较安静，房间不错，就是餐饮方面有待改进', '短评打分': 5}
{'短评内容': '太差，酒店住宿条件离星级标准差距太大，改进的地方太多', '短评打分': 1}
{'短评内容': '空调不热，环境还不错，价格也凑合，跟承德市里是没法比，但是在双滦区还算是最好的', '短评打分': 5}
{'短评内容': '位置还凑合但是酒店环境实在不好，房间有不干净设施也很陈旧，卫生间空间也比较小，早餐也不好，酒店绝对不够四星，服务也咋样人去了都找不到服务员喊了半天楼道也没一个人出来找了半天在一个小房间里就看到那些服务员都在一块聊天，价格也很蛮高和实际酒店情况一点都符合。', '短评打分': 1}
{'短评内容': '卫生方面很好，床单被罩以及卫生间打扫的都很干净，感觉挺好的，服务员素质也很高，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '酒店外观比较豪华，很有气派，里面硬件设施很齐全，很新，房间打扫的很干净，卫生条件还不错，服务员态度也很好，住着很放心', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员都很周到热情，而且也很有耐心，房间很大很宽敞，硬件设施很齐全，装修的比较大气，性价比还可以', '短评打分': 5}
{'短评内容': '酒店卫生方面做的很好，卫生间和卧室打扫的很干净，房间布置的很温馨，硬件设施齐全，住着还算舒服', '短评打分': 5}
{'短评内容': '十月中旬的承德最低温度2-3&#176;C左右，中央空调竟然不开，一床被子有点冷，要求加被子，酒店说没有，只有一床。', '短评打分': 1}
{'短评内容': '酒店位置离市区很远出行很不方便自己开车还行但是坐车去肯定不方便，酒店卫生设施也不好，我住的房间我感觉是太脏了，房间是挺大但是设施确实很差，酒店基本上客人很少根本就没有人住。服务上面还说的过去。', '短评打分': 3}
{'短评内容': '酒店的环境还行，位置是很好找交通挺方便，房间的卫生设施都还行，价格比较合适，', '短评打分': 5}
{'短评内容': '这家酒店印象还不错，服务上很贴心，卫生打扫很干净，这次住的挺满意的。', '短评打分': 5}
{'短评内容': '服务上很人性化，态度很热情，服务很周到，感觉挺贴心的。', '短评打分': 5}
{'短评内容': '卫生值得赞一下，房间很干净，床上用品也很干净。住的很放心。', '短评打分': 5}
{'短评内容': '位置很好不很偏要想去玩很不方便,房间里设施也是很简陋,卫生服务一般.', '短评打分': 3}
