{'短评内容': '服务很热情，房间挺暖和的……下次还过来住', '短评打分': 5}
{'短评内容': '一进门很有意境，冻了一路，有种家的感觉', '短评打分': 5}
{'短评内容': '房间很大，很暖和，前台服务很热情。', '短评打分': 5}
{'短评内容': '住了9天，挺好', '短评打分': 5}
{'短评内容': '很干净，早上出门酒店还有咖啡买，服务员都很热情', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 4}
{'短评内容': '不错哦，挺干净呢，孩子喜欢，房间也很大', '短评打分': 5}
{'短评内容': '干净整洁，设施齐全。已多次入住，今后继续关注。', '短评打分': 5}
{'短评内容': '东东不错，质量很好，物流神速，值得购买，五星好评！', '短评打分': 5}
{'短评内容': '我们住的房间跟图片有较大差异，没有图片显示的那么大。没有专用停车场，停在路边。', '短评打分': 3}
{'短评内容': '第一次住，很干净，地理位置也很好，前台服务态度也好。非常满意的一次居住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错挺干净', '短评打分': 5}
{'短评内容': '价格很公道，在市政府旁边，比较安全。', '短评打分': 5}
{'短评内容': '房间不错。但是房间的大灯我不知道是我没找到还是没有。。', '短评打分': 5}
{'短评内容': '位置不错，', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '离市中心蛮近的，市政府环境不错', '短评打分': 5}
{'短评内容': '这里的酒店卫生很好的，环境也是很好的。', '短评打分': 4}
{'短评内容': '纯骗子，那么贵，而且设施特别垃圾，连个牙刷都没有，被骗了，来旅游第一晚就失望了，cnm，早晚关门', '短评打分': 1}
{'短评内容': '一般，太一般了', '短评打分': 3}
{'短评内容': '还可以，可以住', '短评打分': 4}
{'短评内容': '不错、幻境很好。值得入住', '短评打分': 3}
{'短评内容': '去购物，去海滩都很近，酒店的卫生不错', '短评打分': 4}
{'短评内容': '卫生干净  服务也不错', '短评打分': 5}
{'短评内容': '酒店环境和周围环境相当好，尤其距刘公岛码头很近。', '短评打分': 5}
{'短评内容': '离市政府近，比较安静，房间比较舒适，比较新，服务尚可。', '短评打分': 5}
