{'短评内容': '还不错，其实距离火车站也不算是近了。', '短评打分': 4}
{'短评内容': '被子太硬了，其他还好', '短评打分': 5}
{'短评内容': '没有停车场', '短评打分': 5}
{'短评内容': '毛巾太旧', '短评打分': 1}
{'短评内容': '很好，价格便宜，在火车站西广场附近，交通便利！', '短评打分': 5}
{'短评内容': '还可以，不错，价格实惠，质量好，送货快，好评', '短评打分': 5}
{'短评内容': '还不错，离火车站比较近，比较干净利落服务态度很好周边吃的也比较多很方便。', '短评打分': 4}
{'短评内容': '房间整洁干净，住了几天都比较安静，房间阿姨打扫认真仔细，当天定的特价房，性价比很高，这个价位和周边酒店相比还是可以的', '短评打分': 5}
{'短评内容': '价格很公道，手机预定方便，位置特别好找，装修风格很棒，浴室的大淋浴洗澡很舒服，房间特别干净，WiFi特别好用，北被子盖在身上很舒服，最主要还是服务特别到位，一个人出来感觉很安全放心！干净卫生，热情周到，让人觉得非常舒心，得劲！10秒快速淋浴，星级床垫睡得可舒服，无线挺好，前台姑凉人都特好，给提供最优惠的价格，每次来那都住的爽啊，非常好的酒店，服务热情，办事效率高，卫生干净整洁，10秒快速淋浴，无线', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错啊，', '短评打分': 5}
{'短评内容': '啦啦啦', '短评打分': 5}
{'短评内容': '酒店位置好找，房间舒适干净，前台服务员服务态度好!', '短评打分': 5}
{'短评内容': '酒店前台服务员服务态度好，酒店位置好，房间干净!', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '住宿很温馨(✪▽✪)(✪▽✪)', '短评打分': 5}
{'短评内容': '一直住七天?总体来说过得去', '短评打分': 5}
{'短评内容': '房间很干净，也很舒适', '短评打分': 5}
{'短评内容': '还好，不错', '短评打分': 5}
{'短评内容': '房费适中，距离火车站很近，步行十五分钟。周边吃饭地方比较实惠；前台很利索干脆，携程定的也不用押金，三分钟办理入住；走廊干净，房间里也比较整洁；但是:整体设施稍显老旧，床单等物品微黄，没有暖气，wifi无密码但连接不上。', '短评打分': 4}
{'短评内容': '很不错哦，值得', '短评打分': 5}
{'短评内容': '整体还行，就是没暖气，空调用处不大', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还好吧，就是太偏僻了。', '短评打分': 4}
{'短评内容': '值得推荐 附近有很多小吃 吃的有两条街 我喜欢', '短评打分': 5}
{'短评内容': '卫生干净 服务很好 值得入住推荐', '短评打分': 5}
{'短评内容': '价格实惠 服务不错 卫生干净 很不错', '短评打分': 5}
{'短评内容': '值得入住 卫生很干净 服务很棒', '短评打分': 5}
{'短评内容': '值得推荐 非常实惠 卫生非常干净', '短评打分': 5}
{'短评内容': '酒店靠马路太近，太吵。无停车位。', '短评打分': 4}
