{'短评内容': '很旧，很老，价格很贵，不过处于市中心，地理位置还不算偏僻', '短评打分': 1}
{'短评内容': '环境安静，地方宽阔', '短评打分': 5}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '不算太好，但因为五一，所以不能太那个了。', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '房间很不好，服务差，设施不行，不值得。', '短评打分': 3}
{'短评内容': '这家店是我住过有史以来最差的酒店。前台没有人接待，房间设施很差。饮用水也没有。三楼夜总会吵的要死。10楼沙发还有流浪汉。退房也没人接待，差点赶不上火车。从没见过这种酒店，还三星级？我会去向宁波旅游局投诉的。如果有人去奉化请大家不要入住酒店。 也希望携程注意一下筛选酒店。前台都没人，开什么玩笑。图片是床里蹦出来的虫，恶心！', '短评打分': 2}
{'短评内容': '老酒店，只能这样了。', '短评打分': 4}
{'短评内容': '房间设施太旧了，卫生情况不太好！', '短评打分': 3}
{'短评内容': '酒位于奉化市中心，交通很方便，酒店旁边有夜排挡，生意还算好。酒店是年代较老，这从设施陈旧可以看出。服务员态度一般。', '短评打分': 4}
{'短评内容': '环境好，舒适。', '短评打分': 5}
{'短评内容': '对于老酒店来说这个还是不错的，现在的商务酒店也很贵的', '短评打分': 5}
{'短评内容': '房间干净、服务态度好。希望下次再住宿。', '短评打分': 3}
{'短评内容': '旁边挺热闹的，但是酒店比较旧！', '短评打分': 4}
{'短评内容': '老牌酒店，住住还可以', '短评打分': 5}
{'短评内容': '不错不错，房间干净整洁', '短评打分': 3}
{'短评内容': '酒店虽然有点老，但毕竟是标准三星的，房间蛮干净。推荐！', '短评打分': 5}
{'短评内容': '酒店位置不错，距离要去的工厂很近，设施和服务业都OK', '短评打分': 5}
{'短评内容': '酒店的设施虽然陈旧了点，但是服务很好，地理位置也很优越，性价比比较高', '短评打分': 3}
{'短评内容': '旁边在造银泰早上醒来有点吵。价格总体说比较实惠', '短评打分': 3}
{'短评内容': '总体上说该酒店的服务是不错的。满意，以后还会光顾。。', '短评打分': 3}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '酒店地段不错。就在市中心，还算干净，以后来奉化还会选择住这里', '短评打分': 5}
{'短评内容': ' 非常满意，性价比高，设施和服务都还行，唯一希望改进的就是墙壁的隔音效果。', '短评打分': 3}
{'短评内容': '6折真棒！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '这个酒店还行，这个价钱值得，交通方便，旁边就有家牛排店，也有快餐店，总之是在奉化的市中心了，不错，下次去还得住这里，', '短评打分': 5}
{'短评内容': '一般，在宁波230元比这要好的多,卫生不是很好，比较旧', '短评打分': 5}
{'短评内容': '环境依然相对干净整齐。', '短评打分': 3}
{'短评内容': '这个价格的酒店已经算很好了，而且在市中心，对面就有KFC和超市', '短评打分': 5}
{'短评内容': '酒店虽然比较酒了，但是还是有她独特的魅力。周围环境不错。', '短评打分': 5}
