{'短评内容': '酒店在古城内小巷内，离县衙及各个景点都不远,吃玩很方便，房间设施及卫生条件一般', '短评打分': 4}
{'短评内容': '位置可以', '短评打分': 5}
{'短评内容': '酒店位置好。', '短评打分': 5}
{'短评内容': '极差评！从没遇到过这样的店面！之前在网上看到这家店网上评价还不错，正巧爸妈想去山西旅游，就给他们在网上预定并且预付了（注意不是押金）这家客栈的三人间，携程上也说这308元的订单不能取消，由携程付给酒店。10月3日我爸妈到了平遥，当时老板还去迎接他们我还想说挺感动。哪知道旅游完回家了我父母告诉我，老板给我爸妈说网上预定的房间付的是押金，携程会退给我们，所以要我爸妈给她们全额房费308 100押金，总', '短评打分': 1}
{'短评内容': '老板热情好客', '短评打分': 4}
{'短评内容': '第一次去古城，感觉很好。', '短评打分': 5}
{'短评内容': '特别好的一次旅游  老板很热心', '短评打分': 5}
{'短评内容': '服务可以，环境撮和，也是土炕形式的，很多特色旅馆，应该找找', '短评打分': 5}
{'短评内容': '我一直都不明白为什么评论都要求十五字。。', '短评打分': 5}
{'短评内容': '老板人很好，但是真的卫生很差，太简陋', '短评打分': 3}
{'短评内容': '地理位置很好，离县衙很近，往各个景点去很方便。但是设施环境都有待提高，房间很小，卫生间的设施老旧，条件比较差。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '正常价格，临时订的，正常的条件。服务', '短评打分': 4}
