{'descr': '帮同事订的，据说还不错哟', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '施工，环境一般，卫生一般', 'star': 2}
{'descr': '地铁站附近', 'star': 5}
{'descr': '离地铁站近', 'star': 5}
{'descr': '地理位置比较便利，对面就是金桥国际，只是准备外墙装修，有点不太方便', 'star': 4}
{'descr': '垃圾中的战斗机，客房门都不能打开。', 'star': 2}
{'descr': '比较一般了', 'star': 3}
{'descr': '酒店服务真的很差，网上订好了，早上展会前早缴费，前台说不用，去展会后中午又找我确认，说好了晚上一定过去并且说已经给开好房间，真到了晚上过去居然没了，说没定上，大半夜十二点的，也真是服了这个酒店了，7天的订房政策和服务真的太差了！', 'star': 3}
{'descr': '前台有一位姑娘，气质修养辜负了还算漂亮的脸蛋，对客人的语气态度实在是有待改进，更不早说服务了。进入客房，小且不说，设施很简陋，连纸都没有，难以想象，估计是经营不善吧，总之以后再也不会入住了，选择那么多，入住需谨慎', 'star': 2}
{'descr': '2015年11月28日，本人通过携程网预定了7天连锁酒店（上海浦东金桥路地铁站店）2间双床房，并于当    天5点办理完入住手续，房号306、308。当本人和朋友离开酒店外出游玩时，该酒店前台致电，说明306    房需要维修，希望更换，本人本着理解万岁的原则，同意回来换房，前台表示需立即换房。当本人回到    酒店时，发现已经进行了换房，换的305只有1张床，而要进行维修的306已经有客人入住。', 'star': 1}
{'descr': '虽然房子老一些，但是屋内很干净，不错的', 'star': 5}
{'descr': '位置有点偏僻，关键一般，居然还有夹层的房间，感觉有点压抑', 'star': 4}
{'descr': '交通挺便利', 'star': 5}
