{'短评内容': '参见上篇点评，酒店评分最好的只能是马马虎虎的两个男前台了', '短评打分': 3}
{'短评内容': '酒店在居住区里面，比较难找，周边环境太接地气了!周边配套还行，内部卫生一般，房间没有矿泉水没有蚊香片没有吹风机没有……', '短评打分': 3}
{'短评内容': '一般中的一般', '短评打分': 3}
{'短评内容': '还不错，只是旧了些。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置有点远，但其他感觉还是不错，对得起这个价钱。自助游玩得很累，回到宾馆有热水等，感觉比较舒服。可以考虑这家人。', '短评打分': 4}
{'短评内容': '重新装修的房间，整体还是不错的，蛮干净的。大床房有个阳台。交通也算便利，离高速出口不远。不足是有ktv营业，所以会有点吵。', '短评打分': 5}
{'短评内容': '不是很好，环境优雅！', '短评打分': 2}
{'短评内容': '旅游旺季没地方住就住这里了，哎', '短评打分': 2}
{'短评内容': '不行，不推荐！下次再不考虑！', '短评打分': 3}
{'短评内容': '十十分满意', '短评打分': 3}
{'短评内容': '地点不错，在宝山南路边上，停车及进出城方便，对于自驾游的朋友比较合适，马路对面就是神州租车的门店。前台及服务员都还算规范，态度也好，只是酒店设施略显陈旧。', '短评打分': 5}
