{'短评内容': '住过很多酒店从来就没有见过这么差的  进去准备洗澡下水道堵住了告诉我凑合用  卫生极差  非常非常的差', '短评打分': 1}
{'短评内容': '下面都是饭店，环境非常差。', '短评打分': 2}
{'短评内容': '楼下是饭店，环境不太好。', '短评打分': 2}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '客房环境差的一逼吊糟的   刚一住进来下水道就是堵的  找他们工作人员工作人员随便应付  这种酒店还不如个小旅馆  价格还死贵  这也叫商务套间  赶紧倒闭吧', '短评打分': 1}
{'短评内容': '被携程坑了，直接去前台预定，价格比携程上便宜。 酒店位置还不错，就在机场大巴站对面，但设施真的有待提高，就是一般的旅馆，房间有点味道，而且浴巾和被单都破了。', '短评打分': 3}
{'短评内容': '不太满意', '短评打分': 2}
{'短评内容': '房间小，地毯估计很久没换，一股臭味，不建议大家入住！', '短评打分': 1}
{'短评内容': '挺不错的，在西湖边能有这样的房间设施！', '短评打分': 4}
{'短评内容': '可以哦', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '住的还不错，就是位置在巷子里', '短评打分': 4}
{'短评内容': '卫生条件什么的我就不说了，自己看图，开始给我开的房间，那墙和地毯真是没法儿看，枕头上有莫名的污点，还没有一次性拖鞋，打电话反映，态度不怎么样，给我换到了隔壁，然并卵，一推门厕所的臭气扑鼻而来，但实在懒得换，就将就了一晚上，别的我就不想多说了，真的不值200，还不如住七天，真的，或者多花点钱，爱干爽干净的慎入。', '短评打分': 2}
{'短评内容': '房间有点小  但到西湖  到机场很方便', '短评打分': 3}
{'短评内容': '很差，房间旧，环境差。', '短评打分': 3}
{'短评内容': '这是四星级的吗？？环境真不咋地！卫生间也忒小了点！房间还有异味！还特价198元有点不值！', '短评打分': 3}
