{'短评内容': '很好，服务好', '短评打分': 5}
{'短评内容': '还可以，不错的，前台服务很好', '短评打分': 5}
{'短评内容': '没有早餐，不能加床', '短评打分': 3}
{'短评内容': '环境很好，方便购物', '短评打分': 5}
{'短评内容': '适合孩子，酒店在青泥洼桥商圈，游玩购物都很方便。商场，小吃街，应有尽有。晚上还可以去附近酒吧小酌一杯。酒店干净卫生，服务周到，总之真的很好。', '短评打分': 5}
{'短评内容': '酒店格局还行，挺有个性，就是没有电梯，不方便', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店还凑合，快捷酒店大连本地的算不错了。', '短评打分': 4}
{'短评内容': '家里装修，无法洗澡。自己来开小时房洗个澡补个觉，被服务员看了好几眼。。。。。。自己开房有那么奇怪么', '短评打分': 5}
{'短评内容': '酒店位置很好，市中心，很方便出行，性价比很高，住了一晚之后又续住的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '下次继续这家！', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '不错，下次还来', '短评打分': 5}
{'短评内容': '不错，日月明都挺好。。这个店的水温有待加强，忽冷忽热的。。', '短评打分': 5}
