{'短评内容': '还行吧，位置挺好的，就在天一广场里面。', '短评打分': 4}
{'短评内容': '选快捷我首选锦州之星，因为它的标准化服务。这家位置算一般，价格还可以，标A、标B的双床房中都有一张较宽的床，可以睡两个人。', '短评打分': 5}
{'短评内容': '这家酒店住了好多次了，价格实惠，前台热情，打扫卫生的阿姨非常好，出差首选！', '短评打分': 5}
{'短评内容': '这家酒店住了好多次了，价格实惠，前台热情，打扫卫生的阿姨非常好，出差首选！', '短评打分': 5}
{'短评内容': '早餐挺好的，卫生细节有待改进，服务不错', '短评打分': 4}
{'短评内容': '性价比高，房间干净前台热情WIFI快，推荐入住！', '短评打分': 5}
{'短评内容': '非常好！前台热情，房间干净，性价比超高，平常出差都是首选锦江之星！', '短评打分': 5}
{'短评内容': '..................................................', '短评打分': 5}
{'短评内容': '..................................................', '短评打分': 5}
{'短评内容': '出差住这里,空调是富士通变频的,制热很给力,闹中取静的地方', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，不过马桶太小了', '短评打分': 4}
{'短评内容': '很OK啊 环境好 价格优！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '住的舒服，一如既往的舒服！', '短评打分': 5}
{'短评内容': '整体不错的，价格方面也挺实惠的', '短评打分': 5}
{'短评内容': '卫生环境特别好，酒店装修也很新，性价比比较高！', '短评打分': 5}
{'短评内容': '挺 好的', '短评打分': 5}
{'短评内容': '据说才开业不久，装修及卫生还是相当不错的，性价比很高，只是号称万达，实际上离万达还有半小时的步行时间。', '短评打分': 4}
{'短评内容': '据说才开业不久，装修及卫生还是相当不错的，性价比很高，只是号称万达，实际上离万达还有半小时的步行时间。', '短评打分': 4}
