{'短评内容': '早餐非常丰富，环境优雅', '短评打分': 5}
{'短评内容': '很不错，环境很好！安静', '短评打分': 5}
{'短评内容': '酒店设施太旧。', '短评打分': 3}
{'短评内容': '不错吧，就是早餐差了一些。', '短评打分': 5}
{'短评内容': '房间设施比较陈旧，早餐不是太好，交通很方便，出门就是公交车站，到三峡广场、解放碑和江北都很便利。周围主要是老居民区，比较破旧。', '短评打分': 3}
{'短评内容': '房间小，设施旧。周边没其它同档次酒店，没得选。', '短评打分': 4}
{'短评内容': '房间一般，设施旧，临街有点吵。', '短评打分': 4}
{'短评内容': '如果总，好 ，一般来形容酒店，我的回答是差！', '短评打分': 1}
{'短评内容': '本还算不错 门口有车站很方便 旁边有永辉超市 位置也临近三峡广场 购物吃饭都非常方便 只是设施比较陈旧 卫生也还行 不过服务是很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '垃圾，脏乱差。要不是为了方便，也不会在这住。', '短评打分': 1}
{'短评内容': '服务特别差特别差！', '短评打分': 2}
{'短评内容': '还是可以，推荐入住。', '短评打分': 3}
{'短评内容': '还可以，酒店有点旧，交通便利', '短评打分': 3}
{'短评内容': '还可以，交通部便利，价格适中', '短评打分': 3}
{'短评内容': '酒店不错，安静，卫生，最好的就是交通方便，有停车场，下次到重庆旅游一定还会入住！', '短评打分': 5}
{'短评内容': ' 房间潮味很重，怀疑椅子上有螨虫，身上咬了好几个包。建议做地毯清节。', '短评打分': 3}
{'短评内容': '  很好的环境，比锦江好。饭也不错，就是不能刷卡。', '短评打分': 3}
{'短评内容': '酒店大堂宽敞，房间干净，还有早餐。只是春节期间入住，服务人员的态度怠慢。', '短评打分': 5}
{'短评内容': '很是给力，环境不错，设备也到位，只是离三峡广场有些远', '短评打分': 5}
{'短评内容': '廖琼已入住，谢谢！', '短评打分': 3}
{'短评内容': '环境还可以，比较干净，下次还可选择该酒店', '短评打分': 5}
{'短评内容': '酒店环境、设施很好，还会继续去入住，并推荐好友入住。', '短评打分': 5}
{'短评内容': '该酒店位置较好，交通方便，服务比较到位，但设备设施较陈旧，性价比尚可。', '短评打分': 5}
{'短评内容': '环境不错，下次再住。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '性价比较高，很卫生，不比星级酒店差，位置不错，下次肯定继续入住\n', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': ' 我是去重大考托福的.宾馆离考场很近条件也不错', '短评打分': 3}
{'短评内容': '＋宾馆离重大较远，位置难找，这样的内饰显房价偏高，且里面听到很高分贝的汽车躁音。大院较安全。', '短评打分': 3}
{'短评内容': '很好，不过有个房间不知道怎么回事有虫子，后给换了已一间。服务、卫生都不错。', '短评打分': 5}
{'短评内容': '很好，服务、卫生都不错，以后来建议住宿。', '短评打分': 5}
{'短评内容': '酒店位于上坪坝步行街附近，位置挺方便的。附近交通也不错。', '短评打分': 5}
{'短评内容': '我去重庆一直入住八一，觉得这家酒店挺好的，软件硬件做的都很不错。', '短评打分': 5}
{'短评内容': '八一宾馆出行交通很方便，价格也比较合理。', '短评打分': 5}
{'短评内容': '卫生可以，停车比较方便，位置在市区方便，设施稍旧', '短评打分': 5}
{'短评内容': '酒店虽然是老宾馆，但是管理的很完善，员工态度都非常热情，氛围很不错。', '短评打分': 5}
{'短评内容': '酒店还可以，算是从轻老字号的酒店了，环境设施配置都比较全，就是稍显老旧了。', '短评打分': 5}
{'短评内容': '八一宾馆建成时间比较早了，设施配置有些偏旧。地理位置相当方便。', '短评打分': 5}
{'短评内容': '管理很规范的一家酒店，服务员态度热情，卫生干净舒适。', '短评打分': 5}
{'短评内容': '刚住进来，看看如何', '短评打分': 5}
{'短评内容': '卫生打扫的很好，做的很彻底，服务很到位，随叫随到态度热情。', '短评打分': 5}
{'短评内容': '可能因为这段时间老是下雨的原因，被子有点潮，房间内也有点霉味，其他都挺好的，性价比高', '短评打分': 5}
{'短评内容': '性价比还是比较高', '短评打分': 3}
{'短评内容': '还不错，性价比还是比较高的', '短评打分': 5}
