{'descr': '服务态度超级好，价格挺便宜的，交通方便', 'star': 5}
{'descr': '周围吃饭的地方少', 'star': 5}
{'descr': '服务热情，干净卫生。推荐入住。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很好更好的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧的赶紧', 'star': 5}
{'descr': '干净整洁，服务好', 'star': 5}
{'descr': '不错，干净舒适，比较满意', 'star': 5}
{'descr': '酒店在江边  定的江景房  但并看不见江', 'star': 3}
{'descr': '这个酒店不错', 'star': 5}
{'descr': '比店里的价要贵，房子给的还不好', 'star': 1}
{'descr': '好', 'star': 5}
{'descr': '环境一般，位置还可以。不怎么方便', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '周边吃饭不太好找，早歺也不好，只是离办事地方近一些', 'star': 4}
{'descr': '没有连锁店的样子', 'star': 2}
{'descr': '卫生很不错，但是好像离市中心算是比较远', 'star': 5}
{'descr': '还不错吧', 'star': 3}
{'descr': '环境好，卫生好，周围吃饭地方稍稍不方便。其他都好。', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '不错，很舒服的一个夜晚', 'star': 3}
{'descr': '不错不错，房间挺大的，而且很干净', 'star': 3}
{'descr': '这么多年来，不管你变成啥样！我都一直爱你，但不迷恋你！！！', 'star': 3}
{'descr': '挨着一条废弃的铁路，晚上吵得要命，条件也一般般。', 'star': 1}
{'descr': '隔音效果很差 半夜被楼道里的人吵醒好几次 听他们说话就跟在跟前似的 其他的很满意。', 'star': 1}
{'descr': '交通不便利，服务较差，枕套居然是脏的。。房间很小。。', 'star': 1}
{'descr': '还不错！住过好几次了，每次都住这里，北洋桥店的所有员工加油哦！', 'star': 5}
{'descr': '又一次入住！又一次满意退房！强烈推荐天津北洋桥店，住过很多格林豪泰，感觉这家还是不错的！', 'star': 5}
{'descr': '前台服务非常不错，楼上的服务员也很热情，下次来天津还会入住！', 'star': 5}
{'descr': '简洁干净 并且服务很热情 还会再来~\n可能因为地点不是很繁华价位也很便宜\n不错', 'star': 5}
{'descr': '很干净', 'star': 3}
{'descr': '房间不错，价钱小贵，服务很到位，就是早晨有点吵。', 'star': 5}
{'descr': '成功入住', 'star': 3}
{'descr': '非常不错！服务热情！房间清洁卫生！还开了早餐，虽然品种不是太多，但也非常的可口！下次来天津还会选择北洋桥店！', 'star': 5}
{'descr': '很好，环境及服务都很好，早餐刚刚开味道也还不错，交通比较便利。卫生及服务等各方面都比较满意，下次来天津还会选则这个酒店。', 'star': 5}
{'descr': '網速快,但無餐廳不方便!', 'star': 3}
{'descr': '和别的店一样隔音非常不好，而且房间没有无线网络，其他都不错。', 'star': 3}
{'descr': '隔音太差了，早上醒来隔壁在看电视，我听了一早上电视广播，除此外环境和卫生情况还不错', 'star': 1}
{'descr': '感觉很气愤，  早上  居然有服务员，不敲门 直接刷卡进来，  你说这证明什么，，，', 'star': 1}
{'descr': '地点不好的价钱，服务还是不错的。..................................................', 'star': 5}
