{'短评内容': '位置太偏了，下面就是网吧，卫生做的不行。', '短评打分': 2}
{'短评内容': '行把。。。。。。。。。太贵。。。。。。。不成正比', '短评打分': 5}
{'短评内容': '总体还不错，挺卫生吧，就是隔音不好', '短评打分': 5}
{'短评内容': '服务好，虽然还没有住但是感觉不错', '短评打分': 5}
{'短评内容': '价格很便宜', '短评打分': 3}
{'短评内容': '呃…不提供洗漱用品', '短评打分': 4}
{'短评内容': '还行吧，就是环境有点吵，房间有点小，但是服务态度太差，没有免费洗刷用品，卫生还挺好的，有人打扫，不是很满意。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，经济实惠', '短评打分': 5}
{'短评内容': '很好很省心', '短评打分': 1}
{'短评内容': '很好很省心', '短评打分': 5}
{'短评内容': '卫生间有积水，卫生看起来也不是很干净。', '短评打分': 4}
{'短评内容': '这个价格也就只能住这样的酒店了。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务还可以，在哪里住了3天，最大的感受是手机无线网联系不上，查个资料都非常难的，更重要点是晚上12点后非常的吵。进出人员也非常的复杂，洗衣服后挂的地方都没有，只能说是一班吧，价格和服务配套不成正比！', '短评打分': 4}
{'短评内容': '房间很差。', '短评打分': 3}
{'短评内容': '只能说很一般，床单有点脏 外面很吵，电视机也不给力', '短评打分': 1}
{'短评内容': '长沙飞宇大酒店停车有位置的话还是不错的,因为有保安.环境不错,交通也方便.', '短评打分': 5}
{'短评内容': '感觉一般，洗漱用品要钱，这点不满意', '短评打分': 3}
{'短评内容': '交通方便,房间设施尚可,对得起这个价格了.推荐', '短评打分': 5}
{'短评内容': '1、酒店在博雅眼科医院旁边，还是很好找得\n2、服务态度不错\n3、住的标准单间，房间虽小，但是还不错，东西也齐全，总得来说性价比不错。以后有机会还是会入住的。', '短评打分': 5}
{'短评内容': '很好，真是物美价廉，交通方便，安全舒适。', '短评打分': 5}
{'短评内容': '有点偏 找了半天才找到 不在大马路上 不过房间还可以 ', '短评打分': 5}
{'短评内容': '服务态度佳，卫生好，但是没有衣柜，不过，有两面大镜子', '短评打分': 5}
{'短评内容': '酒店还是一般般，整体感觉还是比较老，位置也不是很好找，服务态度和价格都还可以。就是酒店设施比较陈旧。', '短评打分': 1}
{'短评内容': '酒店价格实惠，设备也还可以。交通位置比较方便。就是房间太小了，而且前台不能刷卡。', '短评打分': 5}
{'短评内容': '房间干净卫生，环境不错，服务比较到位，下次还会考虑住的', '短评打分': 3}
{'短评内容': '服务态度好，价格合理，住宿条件还不错，出行比较方便', '短评打分': 5}
{'短评内容': '服务挺好，价格还行，房间环境挺不错的，住着还算比较舒服', '短评打分': 3}
{'短评内容': '冷…空调不好…热水不热…都感冒', '短评打分': 3}
{'短评内容': '价格可以，有点难找，电视台节目有点少，服务态度挺好，就是牙膏牙刷不免费...', '短评打分': 5}
{'短评内容': '酒店在巷子里，位置不太好找.周边环境也比较杂乱.住宿条件还不错，不过整体感觉一般.', '短评打分': 3}
{'短评内容': '还可以，干净卫生，价格不算太高吧！', '短评打分': 5}
{'短评内容': '房间干净卫生，缺点房间内无衣柜，停车不方便', '短评打分': 5}
{'短评内容': '房间干净，卫生。停车不方便。价格过高。有线电视信号不稳定', '短评打分': 3}
{'短评内容': '干净卫生房间小。停车不方便', '短评打分': 5}
