{'短评内容': '#ud83d#ude0a', '短评打分': 5}
{'短评内容': '#ud83d#ude0a', '短评打分': 5}
{'短评内容': '费用较高，不含早，洗手间设施教差…………………………………………………！………………………………！…', '短评打分': 4}
{'短评内容': '卫生很好，房间也舒服，出行方便，', '短评打分': 5}
{'短评内容': '最重要的是服务态度很好，房间很干净，布草是新的', '短评打分': 5}
{'短评内容': '酒店设施有点老旧，其他都还不错！服务态度，地理位置，都挺不错的，！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '还可以，一般吧', '短评打分': 5}
{'短评内容': '一般，可以住', '短评打分': 5}
{'短评内容': '酒店很不错、觉得有点热、还送来个冷风机…面积也很大…设施华丽…关键是便宜', '短评打分': 5}
{'短评内容': '地理位置方便', '短评打分': 5}
{'短评内容': '整体上感觉一般，热水不热，洗漱用品很次，牙刷基本没法用，酒店的地理位置还可以，环境也比较安静，但是没地方吃早点。', '短评打分': 3}
{'短评内容': '挺方便的 很舒适推荐', '短评打分': 5}
{'短评内容': '一样的', '短评打分': 5}
{'短评内容': '交通方便，房间叫舒服', '短评打分': 5}
{'短评内容': '酒店前台服务很好，有问必答。而且是用心回答。房间设施一般，但也不缺。我只住了一个晚上，所以无法点评卫生服务，但是感觉房间足够干净。', '短评打分': 4}
{'短评内容': ' 酒店环境不错，性价比很高，就是房间电源少，可能本人电子类产品多，下次去还得自己备个插座电源', '短评打分': 5}
{'短评内容': '不错的房间', '短评打分': 3}
{'短评内容': '房间还行，服务态度也不错，性价比还可以啦', '短评打分': 3}
{'短评内容': '不错，除了房间有点小，但一个人住可以了。位置还不错。就是呼市太难打出租了。', '短评打分': 3}
{'短评内容': '外面看的不咋地，但是内部设施可比星级酒店。前台服务很不错。', '短评打分': 3}
{'短评内容': '房间还不错，就是早餐小面包+泡面，没有餐厅。', '短评打分': 1}
{'短评内容': '酒店不错，第二次来了，这次前台告诉我网上预订的房间没有早点，虽然上次有。但实际上是每个预订的客人下午都会给送转天的早点，这点和实际不符。其他都还不错，客房服务很好，打算以后来呼市都定这了。', '短评打分': 5}
{'短评内容': ' 一如既往的好，很好很强大…', '短评打分': 3}
{'短评内容': '不推荐大家去··前两天去了··我订的是180的特价房没有空调·房间特别小·服务态度不怎么样 说送点水··吧台说自己下来拿· 停车极其不方便而且是地下一层停·保安不让进酒店的管理人员又不说·折腾半天·只有六个移动停车位越野车没有办法停·只能听轿车·是住宅楼把16-18楼改成了酒店``里店没有发票 说是下个礼拜来 一般住店的都不是本地人·下个礼拜为了拿发票在转成去呼和浩特吗？？？很不健全！！！ 所以请', '短评打分': 1}
{'短评内容': '酒店挺好的，新开的，环境很好，也很卫生。我到的时候没有经济间，又帮我免费升级房间了。服务员也很客气，就是刚开没有早点，但都会免费提供方便面和小面包。总体来说住的挺舒服的，下次来呼市我还会选择这儿', '短评打分': 5}
{'短评内容': '非常满意的一家商务人士出差入住的酒店。房间很大，而且设施很全，酒店为客人食宿考虑得非常周到。客房还有会客区，爽！', '短评打分': 5}
{'短评内容': '房间环境很好，浴室和窗户也很漂亮，房间设施也很不错的，但是唯一不好的是房间隔音不好', '短评打分': 5}
{'短评内容': '经济房有点小，灯光太暗。最重要电视用的是卫星电视，就20个台，好多都是港澳台的电视台。不过现在试营业，价格还可以的！', '短评打分': 1}
{'短评内容': '很不错的酒店。热水很好。', '短评打分': 3}
