{'短评内容': '房间和服务都挺好的', '短评打分': 5}
{'短评内容': '房间很大，有独立的会客空间，可以处理一些公务，有停车场，周边不远吃饭也比较方便。第一次去住世纪，感觉不错！', '短评打分': 5}
{'短评内容': '早餐很丰富，离市政府及万达广场很近', '短评打分': 4}
{'短评内容': '酒店还行，早餐有点简单了，在酒泉市政府对面，步行十分钟可到新开的万达广场，还算方便…………………………', '短评打分': 5}
{'短评内容': '有点旧有点偏', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店有点旧，但是房间很大', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设施陈旧了点，感觉像十几年前的宾馆', '短评打分': 4}
{'短评内容': '设备陈旧了点，其他还行到店交通', '短评打分': 4}
{'短评内容': '设施不错，性价比较高', '短评打分': 4}
{'短评内容': '条件好，服务周到。下次若有机会依然住这里。', '短评打分': 1}
{'短评内容': '感觉还行。', '短评打分': 4}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '酒店的位置挺好，服务也不错，就是设施陈旧了些，特别是没有地暖，靠空调加热取暖，不太舒服', '短评打分': 4}
{'短评内容': '有点老，洗澡水太小', '短评打分': 5}
{'短评内容': '不像挂牌4星级的,电视还是20年前的款式.淋浴龙头固定座都是坏的.感觉一般', '短评打分': 1}
{'短评内容': '地理位置不错，在广场附件！硬件和服务离四星差点，加强一下就完美了', '短评打分': 5}
{'短评内容': '条件不错很干净', '短评打分': 3}
{'短评内容': '三星水准', '短评打分': 3}
{'短评内容': '客房干净舒适，而且采光也不错，住着挺自在的，没有拘束感，印象不错.', '短评打分': 5}
{'短评内容': '酒店位置有点偏，距离繁华地段还是有点远的，购物不是很方便，室内环境都不错.', '短评打分': 5}
{'短评内容': '服务很热情周到，都会帮我们做一些力所能及的事情，比较周到热情.', '短评打分': 5}
{'短评内容': '酒店比较新，不过室内的配置设施略显陈旧，其它各方面还算不错.', '短评打分': 5}
{'短评内容': '新酒店，硬件设施还是不错的，而且配置也比较好，整体来讲还是可以的.', '短评打分': 5}
{'短评内容': '位置太偏僻，晚上很难打到车，服务人员的水平很一般。\n', '短评打分': 1}
{'短评内容': ' 房间很大很干净', '短评打分': 3}
{'短评内容': '房间比较大，干净，电话国内长途都可以随便打，服务态度好，就是早餐品种太少了点。', '短评打分': 5}
{'短评内容': '   世纪大酒店环境、条件都不错,服务很周到.', '短评打分': 5}
{'短评内容': '酒店环境在当地还算比较不错，但是我们那天去的时候可能有些硬件设施还是跟不上，位置是算比较好的，房间的卫生和服务还不错。价格的话在当地算是比较高了。', '短评打分': 5}
