{'短评内容': '挺好的，干净，卫生', '短评打分': 5}
{'短评内容': '酒店位置还可以，距离火车站不到10分钟。周围还有很多吃的东西。很满意。很好的一次住宿体验。大爱❤❤❤', '短评打分': 5}
{'短评内容': '很好下次还会订', '短评打分': 5}
{'短评内容': '离南昌站很近，超级方便，条件也不错，要赶火车的可以住这儿～', '短评打分': 5}
{'短评内容': '停车方便，位置也不错。', '短评打分': 5}
{'短评内容': '好好 速度好 块 非常好', '短评打分': 5}
{'短评内容': '不错很好很干净舒适', '短评打分': 5}
{'短评内容': '不错，挺好，有优惠', '短评打分': 5}
{'短评内容': '第一次在京东上预定酒店，非常方便，非常快就确认了。', '短评打分': 5}
{'短评内容': '还可以，环境不错，地方也容易找', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '个方面都挺好的', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 5}
{'短评内容': '还行 就是卫生间地太滑 而且没有提示说小心地滑', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '近南昌站，酒店中性价比一般般！服务员的态度还不錯', '短评打分': 4}
{'短评内容': '房间不大五脏俱全，很温馨。离火车站也不远交通很方便。', '短评打分': 4}
{'短评内容': '房间不大五脏俱全，很温馨。离火车站也不远交通很方便。', '短评打分': 4}
{'短评内容': '房间不大五脏俱全，很温馨。离火车站也不远交通很方便。', '短评打分': 4}
{'短评内容': '房间不大五脏俱全，很温馨。离火车站也不远交通很方便。', '短评打分': 4}
{'短评内容': '跟旁边的酒店还是没有竞争力。以后不来了。打车最痛苦。', '短评打分': 1}
{'短评内容': '酒店房间空气质量一般。酒店服务员态度挺好。', '短评打分': 5}
{'短评内容': '酒店房间空气质量一般。酒店服务员态度挺好。', '短评打分': 5}
{'短评内容': '酒店房间空气质量一般。酒店服务员态度挺好。', '短评打分': 5}
{'短评内容': '酒店房间空气质量一般。酒店服务员态度挺好。', '短评打分': 5}
{'短评内容': ' 餐饮部消费够一百却因为挂房帐不给返。我一个人吃饭啊。哪能吃的了那么多。', '短评打分': 3}
{'短评内容': ' 退房都好些天了，返现还未到帐。app端看不到返现细节，特意web登陆，也只能看到没个订单详情，但是其中并不包含每单应返现情况。', '短评打分': 3}
{'短评内容': '该酒店出行方便，房间装修一般，服务质量一般，环境一般。', '短评打分': 5}
{'短评内容': '房间较小 但是也很干净 整洁  离火车站较近 服务态度好', '短评打分': 5}
{'短评内容': '房间较大，干净整洁，离火车站较近 ，服务态度较好。', '短评打分': 5}
{'短评内容': ' 酒店只有苏打水卖。这点有点不好。其他还行。另外729空调完全无效果，要加氟了', '短评打分': 3}
{'短评内容': ' 酒店还可以订餐。口味还可以。不过偏辣。纸巾要收2块，还有送餐收5元服务费。这就有点不爽。一盒饭3块也小贵。', '短评打分': 3}
{'短评内容': '酒店房间内的空调可以更换了，由于机器老化，噪音很大，影响休息。', '短评打分': 5}
{'短评内容': '卫生条件差，每天都有人发美女名片，周边环境不好！服务态度值得肯定。', '短评打分': 1}
{'短评内容': '酒店食物很不错,房间也挺干净的', '短评打分': 3}
{'短评内容': '酒店不错，离火车站很近，对面就是饭是钢饭店，离八一广场打车就是8块钱，酒店内环境不错，就是我住的9楼得淋浴门关不紧，卫生间都是湿的', '短评打分': 5}
{'短评内容': '距离火车站近，有点吵，硬件不错。但是发现毛巾没洗干净。看在交通方便的理由上，推荐吧', '短评打分': 5}
{'短评内容': '酒店位置挺好出门很方便酒店挺干净住着还算舒服吧！不过卫生间有些小房间内有些味道希望多开窗通通风让客人感觉更舒服些。', '短评打分': 3}
{'短评内容': '感觉不错，有个小冰箱', '短评打分': 3}
{'短评内容': '新装修的酒店看起来变化不大，装修质量很差，电源插座都弹出来了，许多设备都比较陈旧，开始没有热水，服务员告诉我要先放水20～30分钟才会有，我试了一下，果真如此', '短评打分': 1}
{'短评内容': '地毯新换的墙壁好像也重新装饰了 干净整洁 服务不错 离火车站很近  出行方便 性价比高 记不清第几次入住了', '短评打分': 5}
{'短评内容': '交通便利 ， 楼下的老树餐厅 千万别点饭 难吃死了 吃点牛排还行 ', '短评打分': 5}
{'短评内容': '这个洒店入住环境真的很好 而且很方便 服务生的态度也还不错。比我想像中要好很多。在这个价位上真的很不错。浴室喷头什么的也都到位的很。洗漱用品也都很满意。细节也很好。距离附近值得去的地方都不远。距离火车站超近。到机场打车100块。推荐入住。', '短评打分': 5}
{'短评内容': '服务热情周到', '短评打分': 3}
{'短评内容': '已入住酒店，感觉不错！', '短评打分': 3}
{'短评内容': '房間設施太老舊了，前臺服務一般。', '短评打分': 3}
