{'短评内容': '空调冷的就没用', '短评打分': 4}
{'短评内容': '都还可以', '短评打分': 5}
{'短评内容': '就在火车站边上，就是服务太差！像是欠你钱一样', '短评打分': 3}
{'短评内容': '住在这里唯一的好处，距离上海火车站非常近，走个几十米就到了。酒店设施较其他的汉庭酒店陈旧，热水不错，办理入住时不需要押金！', '短评打分': 3}
{'短评内容': '离火车站近，附近还有吃的，十分方便！', '短评打分': 4}
{'短评内容': '各方面设施都很完善 远离闹市 很安静 休息的非常好 宾馆的餐饮部的食物太好吃了 来南昌我都是住828', '短评打分': 5}
{'短评内容': '汉庭是我喜欢的快捷酒店好！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '渣！WiFi不能连接，电话不能使用，下楼三次与前台交涉，派来一纯外行废话一吨，任何问题未能解决。最终给我调换房间，才上了网。次到不能再次，差到不能再差。大上海，一团糟！！！！！', '短评打分': 1}
{'短评内容': '还不错，女朋友去魔都出差，帮忙给订的', '短评打分': 5}
{'短评内容': '第二次订这家酒店，主要在火车站边上，吃东西的店也多，地铁1.3.4号线就在边上', '短评打分': 5}
{'短评内容': '不错，就在火车站边上，附近有地铁一号线，三号线，四号线，吃饭的地方也多', '短评打分': 5}
{'短评内容': '还可以很不错还可以很不错', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈会好好', '短评打分': 5}
{'短评内容': '不错干静舒适', '短评打分': 5}
{'短评内容': '一如既往好的品质和服务，地理位置十分方便，出门即是火车站，长途车站，地铁站，公交枢纽，厉害厉害，谢谢，出差还是会选择这里～', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '位置好，交通便利，周边购物方便，酒店设施好，酒店服务态度较好。 ', '短评打分': 5}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '一如既往好的品质和卖家，谢谢，会继续光顾～ ', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '没有梳子 电话不好打外线 其它还好', '短评打分': 4}
{'短评内容': '还可以吧，过得去，就是有的卫生问题要多加注意一下，工作人员的服务态度是挺不错的，房间什么的也不错，希望越来越好', '短评打分': 5}
{'短评内容': 'wifi真是……', '短评打分': 4}
{'短评内容': '整体较好，经济划算，房间空间也蛮大，就是空调是坏的，有些冷', '短评打分': 5}
{'短评内容': '赶火车住，很方便就在售票大厅旁边，吃饭也便利。', '短评打分': 5}
{'短评内容': '距离好车站很近，很方便。坐火车最佳选择,就是火车站附近的环境不太好，大家都懂得。', '短评打分': 5}
{'短评内容': '就在火车站的边上，没想到房间里还挺安静，隔音效果不错。地理位置很好，方便火车出行或者地铁出行。', '短评打分': 5}
{'短评内容': '现在感觉性价比没有之前那么高了，周边3星或4星目前的价格还是很有竞争优势的。', '短评打分': 1}
{'短评内容': '酒店位置很好，火车站东南出站口步行5分钟可到达。基础设施较好，但周围环境较吵，影响睡眠。', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，交通方便，但晚上很吵，影响休息。', '短评打分': 3}
{'短评内容': '离火车站很近，前台人员工作效率很高，就是在去用早餐时被告知已经吃过了，一头雾水，不过好在最后还是让我进去吃了，第二天没发生这样的情况', '短评打分': 5}
{'短评内容': '基本上出了车站就能找到，对坐了长时间火车的游客来说真的很方便。我们三个人住一个高级大床房，床很宽，躺三个人很轻松，房间很漂亮，设施也都比较新，前台服务很周到。只是在火车站附近，方便的同时，晚上可能没有那么安静。但总体来说，还是很不错的！值得推荐。', '短评打分': 5}
{'短评内容': '离车站非常近，交通很便利，环境也不错，很安静', '短评打分': 3}
{'短评内容': '位置不错，离火车站很近。\n\n房间装修差了点~', '短评打分': 5}
{'短评内容': '环境挺好，十分安静，卫生条件非常好。下次还会入住', '短评打分': 5}
{'短评内容': '还是比较方便\n就是靠路边比较吵，不知道有没有不吵的房间', '短评打分': 5}
{'短评内容': '很满意,距离火车站非常近,出入非常方便,而且房间内很贴心得留有不断电插座,便于充电,绝对好评', '短评打分': 3}
{'短评内容': '最大的特点是火车站就在眼前，其他条件比较一般。餐厅旁边养着一条狗，这有点不好。', '短评打分': 5}
{'短评内容': '上海火车站汉庭店：环境不错，早餐很好吃、而且营养丰富。下次出门，我会优先选择……', '短评打分': 3}
{'短评内容': '不错，前台很热情，房间挺干净的。', '短评打分': 3}
{'短评内容': '还不错，位置很好。地下吃的很多，下次还会预定这', '短评打分': 5}
{'短评内容': '地理位置非常好，坐地铁非常方便。。。去机场的5 号线也很近 。酒店的早餐很一般。。。房间很干净。。。 服务员很热情。。。。酒店的网络总是吊线。。。', '短评打分': 5}
{'短评内容': '前台态度实在太差，房间里有蟑螂，电视机是坏的。', '短评打分': 1}
{'短评内容': '多次入住，还是性价比比较高的酒店,离火车站近在咫尺。', '短评打分': 5}
{'短评内容': '环境不错，房间干净，住的高级大床，主要是离火车站真的很近啊', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '特别吵，非常吵。。吵得根本没办法睡觉。。火车站区域建议不要选择此酒店。', '短评打分': 1}
