{'短评内容': '整体还不错', '短评打分': 4}
{'短评内容': '超出预期，很棒! 入住时 前台 Zoey 热情耐心解答各种问题，主动提供各种信息。下次还带宝宝来!', '短评打分': 5}
{'短评内容': '酒店接待ZOEY很Nice，免费帮我们升级儿童房，房间有儿童洗漱用品，还有玩具设施，小孩很喜欢，酒店的开心农场很小，收费有点贵', '短评打分': 4}
{'短评内容': '环境蛮好', '短评打分': 5}
{'短评内容': '前台Maggie服务非常棒！', '短评打分': 5}
{'短评内容': '酒店大堂ELLA很nice，酒店景色不错，很适合亲子游', '短评打分': 5}
{'短评内容': '蛮好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店预定服务只有姓名，实际入住时碰到同名同姓，有点不便', '短评打分': 4}
{'短评内容': '好，京东的服务还是不错的！！！！', '短评打分': 5}
{'短评内容': '和朋友一起带娃游玩，其他体验都很棒，只是办入住时排将近一个小时的队感受真是超差的', '短评打分': 5}
{'短评内容': '房间装修有点旧了', '短评打分': 4}
{'短评内容': '五星标准还是够的，不过部分儿童游戏设施有点老化了，没有更新，早餐可以再丰富点', '短评打分': 5}
{'短评内容': '我觉得还是很好的，带小朋友来度假，设施都很好，服务也好，就是不要周末，周末人很多，周五的话很清净玩的也开心！', '短评打分': 5}
{'短评内容': '服务需要提高，不够主动，电话经常没人接听。设施好，房间设计有创意，喜欢的弧形风格，感觉很温馨。早餐还可以，品种比较多。', '短评打分': 4}
{'短评内容': '很漂亮的酒店', '短评打分': 5}
{'短评内容': '各方面都非常好', '短评打分': 5}
{'短评内容': '酒店环境不错，早饭选择也很多', '短评打分': 5}
{'短评内容': '前所未有的美好入住体验，晚上到达check in，可能满房，前台主动邀请免费升级总统套房，太开心啦～', '短评打分': 5}
{'短评内容': '上海郊区比较适合亲子旅行的酒店，周边玩得地方很多', '短评打分': 5}
{'短评内容': '带着孩子度周末，酒店不错', '短评打分': 5}
{'短评内容': '环境很好，空气清新，自助餐及服务这点非常满意。预订的是园景房，房间感觉不是非常大，干湿区排风并不好，加了一张大床和婴儿床，请看图吧。因为在佘山脚下如果没有私家车吃饭不是很方便。此行目的是冲着亲子度假去的，大礼包是个噱头，其实还不如shopping mall 的游乐场，但服务员态度很不错。', '短评打分': 5}
{'短评内容': '价格优惠，服务优良。', '短评打分': 5}
{'短评内容': ' 酒店很好,很干净很美', '短评打分': 3}
{'短评内容': '早就听说艾美是一个适合全家出行度假的酒店，这次乘着周末上海好天气入住果然不错，是个蛮适合小孩子玩的酒店，可以宅一天，周边玩的地方也很多，还送了月湖公园的门票。室外泳池池底有不少沙，如果能及时清理会更好。总而言之，下次还会选择入住。\n', '短评打分': 5}
{'短评内容': '环境不错！价格不菲！入住前台办理手续出了小插曲，前台告知预约被取消，经与预定方联系后才搞定，虚惊一场！', '短评打分': 5}
{'短评内容': '酒店环境很安静,风景优美,佘山就在眼前.早餐很不错,只是晚上的自助差了点,不能和金钱豹比啊.', '短评打分': 5}
{'短评内容': '很好的酒店，房间很大，很舒适，服务也很好。花园环境优美，泳池有室内和露天两个，条件一流，很满意！只是自助餐品种不多，稍稍有些遗憾。', '短评打分': 5}
{'短评内容': '很不错的家庭度假酒店。设施虽然不新，服务想的蛮周到的，送的月湖公园门票很适用。就是服务员太少，叫了要等半天才来。', '短评打分': 5}
{'短评内容': '酒店环境不错是个度假的好地方，房间也挺大的，美中不足的是就两个餐厅，吃的选择不多。', '短评打分': 3}
{'短评内容': '环境非常不错！房间很大！住得舒适！就是当天住的晚了。总体还不错！', '短评打分': 5}
{'短评内容': '这样的服务 还可以算五星级酒店 不知道 还有多少生命力 首先 到酒店门口 没有人帮忙拿行李 带老婆和孩子 居然给了 双床 然后打电话给前台 居然没人接 只好 自己 走到前台 处理 上个网还要4元一分钟 这样的酒店性价比太差了 以后肯定不会来的 ', '短评打分': 1}
{'短评内容': '环境真的非常不错！房间也很大！住得相当的舒适！晚上12点的时候肚子饿了点了一份意面，送来的相当及时就是做得不是特别好吃！', '短评打分': 5}
{'短评内容': '艾美旧了，和几年前比感觉差多了。VIEW还是很好的。送了雕塑公园的门票。\n早饭惯例还可以而已，服务还不错。\n客房服务员态度都很好，给我们加婴儿床，表现地也很爱心。\n和朋友一起入住，三点没房间，说有了电话通知。我们在沙滩上，直到四点他们自己问才直到有房间了。中间朋友的小朋友累了搭了个小帐篷在草坪上，保安多次以旅游局来检查为由来阻止，态度很恶劣。我们说ok，要不给房间要不我们自己去和旅游局投诉。他们最', '短评打分': 5}
{'短评内容': '五一假期，带着家人去艾美度假，因为以前住过，一直感觉艾美地处环境优美，风景秀丽，此次依然。但总体感觉艾美的餐饮选择及味道不配五星，与隔壁索菲特相比还是有差距的！唉！鱼和熊掌不能兼得哦！', '短评打分': 3}
{'短评内容': '酒店环境很好，空气清新，就是小长假人有点多，早餐人太多，服务人员不够，希望酒店这方面能有所改进，其他方面都不错。', '短评打分': 3}
{'短评内容': '酒店环境不错，而且还赠送月湖雕塑公园的门票2张，赞一个', '短评打分': 5}
{'短评内容': '酒店位置很好，清净优雅，房间很大，服务到位，就是装修有点旧了，早餐不太好吃！', '短评打分': 3}
{'短评内容': ' 热水速度还不够快', '短评打分': 3}
{'短评内容': '酒店各方面不错，但是我们同期有个会议，销售部的报价和服务方式都让人有点不舒服。', '短评打分': 3}
{'短评内容': '酒店环境不错，室内的游泳我女儿很喜欢，是家庭式度假的好地方。', '短评打分': 5}
{'短评内容': '硬件有点老了，软件一如既往的好，这个地方特别适合一帮投缘的朋友一起过几天猪的生活。', '短评打分': 5}
{'短评内容': '环境优雅，入住便捷，设施齐全，早饭很丰盛', '短评打分': 5}
