{'descr': '环境非常好，周围很便利。', 'star': 5}
{'descr': '双人房空间一般，但是还可以', 'star': 5}
{'descr': '预订迅速，地段好，信赖汉庭', 'star': 5}
{'descr': '位置好，服务好', 'star': 5}
{'descr': '哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '全是小卡片', 'star': 3}
{'descr': '环境很好，服务也很满意，就在古文化街上，非常方便！', 'star': 5}
{'descr': '环境很好，服务也很满意，就在古文化街上，非常方便！', 'star': 5}
{'descr': '挺好的，，不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '比华住银卡贵', 'star': 4}
{'descr': '整体很好，唯一不足的是网络信号不稳定。', 'star': 5}
{'descr': '干净整洁，出行方便', 'star': 5}
{'descr': '还可以吧。还是有点远。卫生不错。', 'star': 5}
{'descr': '就是停车要收费的。', 'star': 4}
{'descr': '第一次酒店预订，位置好出行方便卫生整洁！', 'star': 5}
{'descr': '出行方便，客服态度很好。屋内卫生也可以放心哦。', 'star': 5}
{'descr': '周边还是方便的，出门就是天津古文化街区。但就是客房区如迷宫，不过还好指示牌清楚。。。', 'star': 5}
{'descr': '总体来讲是不错的，虽然没有窗户但是网速是很给力的', 'star': 5}
{'descr': '环境非常好，下楼就是古文化街，出行很方便', 'star': 5}
{'descr': '就是其他房间有点吵，环境还不错，交通也挺方便', 'star': 5}
{'descr': '离景点和火车站很近，就是边上有人唱歌，晚上有点吵！', 'star': 3}
{'descr': '交通方便，房间干净', 'star': 3}
{'descr': '大床房间，\n隔音一般，\n房间很大，\n网速贼慢，\n', 'star': 5}
{'descr': '隔音很差，晚上隔壁房间传出的鼾声和清晨走廊的吵闹声非常清晰，空调开关的噪音很大，像是随时要短路一样，影响休息了。杯子没有刷干净，上面留有很深茶印。退房时不需要检查，这点比较方便。以后一定不会再去了，便宜不能图啊。', 'star': 1}
{'descr': '这家酒店住着很舒服，枕头和床都很好，卫生间的设施也很人性化，唯一不足的就是房间隔音太差了，晚上睡觉隔壁有点声音就听见，没有睡好', 'star': 5}
{'descr': '酒店靠近古文化街，地理位置很好，去五大道、滨江道、西开教堂、意式风情街都不算远，就算打的最贵也是十多元。房间挺大，干净、卫生，感觉还不错。', 'star': 5}
{'descr': '位置没的话，紧临古文化街，隔路观海河。干净，整洁，就是格局没看懂，洗手间占了房间的一半，所以貌似挤但不影响。', 'star': 5}
{'descr': '酒店位置就在有名的古文化街旁边，特别方便。周围还有很多景点只需要步行几分钟就能到达，特便利。极力推荐。', 'star': 5}
{'descr': '还可以 很干净 尤其是卫生间 就是隔音差了点 晚上有点冷', 'star': 5}
{'descr': '很方便，周围有几家大型商场，我入住时候到的比较早，给了我一个比较小的房间，我表示要调房后，10点多就把空出来的房间收拾好调给我了，缺点是寝具看起来漂洗的不是很白，总之还算满意', 'star': 5}
{'descr': '总体说，不错，性价比还好。尤其是对座火车到天津的朋友，特方便。周边也很好。', 'star': 5}
{'descr': '第一天晚上隔壁卡拉OK吵到3点多（从忘情水一直唱到把根留住···真TM能唱），一夜基本没睡睡！第二天晚上换了个房间（被告知是酒店最后一间空房），房间内酒气冲天，进去就想吐！好在酒店离古文化街很近，逛街、听相声方便。*换房时充电器、电池丢房间了 打扫卫生的能够及时送总台  表扬一下！！！', 'star': 1}
{'descr': '环境很好 也很干净  感觉挺不错的 下次还会再去住', 'star': 5}
{'descr': '这家酒店据老爹的说法是非常好，出乎想像地好，酒店好，处的环境也没得弹，说得我都想去看一下了，哈', 'star': 5}
{'descr': '地理位置很好，在古文化街。旁边就是海河，走到摩天轮和大悲禅寺也非常的近。离意大利风情街也不远，步行好到。\n酒店设施还是蛮新的，房间也很大。房间里很贴心的提供了潘婷等试用装，可以不用浴室里的洗发水了。\n缺点是走廊里油漆味比较重，感觉对身体有害。房间旁边有店家在装修，大半夜的也不停工，严重影响睡眠。', 'star': 5}
{'descr': '1、有很大的味道，夹杂着烟味；2.晚上隔壁卡拉OK吵至2、3点，怎么睡？3、被子似乎不是很干净。4、优点：在文化街，交通方便。', 'star': 1}
{'descr': '环境不错', 'star': 3}
{'descr': '非常满意，各项设施齐全，就是电视小了点。', 'star': 5}
{'descr': '位置很不错，晚上出来看夜景很好！而且住的条件也挺好的，楼后面就是古文化街，离意大利风情旅游区也只有10分钟走路路程~', 'star': 5}
{'descr': '刚刚装修，油漆味太浓，住不得', 'star': 3}
{'descr': '离玩的地方比较近，夜景不错，房间有点小，不过还不错', 'star': 5}
{'descr': '不错，挺干净的，地理位置还挺好', 'star': 3}
{'descr': '非常不错的酒店，我们旅游很累了，去哪很有家的味道，谢谢前台的帮助，值得去住', 'star': 5}
{'descr': '酒店很大气，房间很大，设备都很新。主要是地理位置好，就在古文化街旁边。', 'star': 5}
{'descr': '房间略小，毛巾看上去比较旧了。隔音效果一般，其他都还不错，还是比较喜欢汉庭的~', 'star': 5}
{'descr': '总体来说还行，开始住的那间比较吵，后来经过沟通换了一间安静的。', 'star': 5}
{'descr': '房间环境很好，设施很齐全！服务员也很热情！', 'star': 3}
{'descr': '旁边就是古文化街 靠近海河 不得不说地理位置 非常好，喜欢这里，夏天和女朋友的一路航行 在这里留下了非常珍贵的记忆', 'star': 5}
{'descr': '出行非常方便,内部设施也很干净.就是晚上睡觉时隔壁KTV的声音太大.', 'star': 5}
{'descr': '地段还不错，临近古文化街。游玩很方便，离哪里都不算远。设施还算全，平价之选。', 'star': 3}
{'descr': '房间干净，但隔音太差', 'star': 3}
{'descr': '感觉非常好啊!哈哈哈哈!价钱适中!!!', 'star': 3}
{'descr': '干净卫生，出行方便，喜欢天津这座城市，以后有机会还要去。。。。。。。。。。。。。。。。。。。。。。干净卫生，出行方便，喜欢天津这座城市，以后有机会还要去。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店外表还是不错的，我们入住的是427，楼上就是KTV，听了一晚的鬼叫。', 'star': 3}
{'descr': '地理位置很不错，门口就是古文化街，房间很大，卫生不错，下次还住这里', 'star': 5}
{'descr': '环境优雅，地理位置好，是个不错的酒店.值得推荐', 'star': 5}
{'descr': '古文化街店超好，地理位置去哪都方便，走着就能到天津之眼和望海楼还有新世界百货哦。地处古文化街，买东西吃饭都很方便~', 'star': 5}
{'descr': '地理位置很不错。就是到达的时候前台的服务员态度很不好。害的我生气（因为出租车没送到地儿）旁边就是海河，晚上风景不错', 'star': 5}
