{'短评内容': '没停车场', '短评打分': 3}
{'短评内容': '也是不咋的', '短评打分': 3}
{'短评内容': '房间有异味', '短评打分': 3}
{'短评内容': '环境还不错 房间很整洁 不错的选择 环境还不错 房间很整洁 不错的选择', '短评打分': 5}
{'短评内容': '还可以，昨天住的，188一晚的，特么居然wifi没有信号？！晚上9点到凌晨2点都还能清晰的听到ktv撕心裂肺的歌声，其他还好，没有电吹风，洗完澡不方便，空调有奇怪的声音，简直不敢用，今天用携程又定了118一晚的，房间还可以，些许嘈杂，wifi信号非常好，我运气好？', '短评打分': 4}
{'短评内容': '在这里住了两天，两天晚上都睡不着觉，隔壁的KTV半月两三点都还在唱。', '短评打分': 4}
{'短评内容': '不错，就是房间有点味道，其他都还好', '短评打分': 5}
{'短评内容': '还行，可以可以可以', '短评打分': 5}
{'短评内容': '网上订还是比较实惠，房间也还行，装修时间长了，就是小心玻璃那个桌子', '短评打分': 5}
{'短评内容': '可以可以可以可以可以', '短评打分': 5}
{'短评内容': '可以可以可以可以可以', '短评打分': 5}
{'短评内容': '速度还不错的宝贝', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不太好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错。。', '短评打分': 5}
{'短评内容': '很不错，而且网上预定很方便', '短评打分': 5}
{'短评内容': '房间干净卫生，隔音效果很好，服务态度满意。已经不是第一次光顾了', '短评打分': 5}
{'短评内容': '房间还可以，就是房间里有股难闻的异味', '短评打分': 4}
{'短评内容': '卫生间的洗脸池漏水，希望能够及时维修', '短评打分': 4}
{'短评内容': '连锁酒店都那样。。。隔壁KTV，两房之间隔音效果极差，不解释。。。', '短评打分': 2}
{'短评内容': '硬件很一般，旁边有个KTV，隔音效果很差。', '短评打分': 3}
