{'短评内容': '环境很好，服务也超棒的，', '短评打分': 5}
{'短评内容': '环境一般，房间设施比较老旧，前台美女服务态度非常棒', '短评打分': 5}
{'短评内容': '很好哟', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错&hellip;&hellip;挺好的，信赖京东&hellip;&hellip;卫生一般', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '卫生还行，设施比较老了，房间临街有点吵', '短评打分': 4}
{'短评内容': '从新装修了，不错。', '短评打分': 5}
{'短评内容': '一般。 晚上还停了电了。位置还算便利', '短评打分': 4}
{'短评内容': '一切还好，对得起这价格', '短评打分': 4}
{'短评内容': '酒店的位置挺好找，公交下车10分钟左右就可以找到旅馆；里面的设备挺好，网络不好，电视也不好看有雪花，但服务态度好，有机会可以去试下；', '短评打分': 5}
{'短评内容': '酒店设施陈旧，空调也差', '短评打分': 3}
{'短评内容': '很好……………………………………', '短评打分': 3}
{'短评内容': '很方便，很好！', '短评打分': 5}
{'短评内容': '酒店前台服务挺好，设施过于陈旧！', '短评打分': 4}
{'短评内容': '环境卫生还行！靠近马路有点吵！', '短评打分': 3}
{'短评内容': '服务好，周边环境不错，设施陈旧！', '短评打分': 4}
{'短评内容': '就是宾馆。。。不过好在比较近壹加壹。。比较热闹的位置。。服务态度也不错。。只是酒店好旧。。。', '短评打分': 1}
