{'短评内容': '房间不错 适合闺蜜一起住', '短评打分': 5}
{'短评内容': '环境不错，就是……公共卫生间有点脏……', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '除了比较难找其他都好。', '短评打分': 5}
{'短评内容': '環境優雅，價格合適，出行方便。', '短评打分': 5}
{'短评内容': '没有入住，提前好多天要求携程退房，携程说商家不给退，以后永远不会住这家店！！！', '短评打分': 1}
{'短评内容': '这家店是伴山老房子建造的，容易找，穿过龙山洞往左直走左手边有一段上坡的就是了，景观不错，房间类型很多，多种选择，看个人喜欢。。。由于本人当时去的时候是淡季，老板娘帮我换了一间一楼的单独大房。', '短评打分': 5}
{'短评内容': '超级美', '短评打分': 4}
{'短评内容': '老板娘人超好，就是地势爬坡上坎的很累，房间比较潮湿，老板介绍的旺角海鲜店一定不要去', '短评打分': 4}
{'短评内容': '环境还不错，老板服务热情，晚上很平静！', '短评打分': 4}
{'短评内容': '环境还不错，晚上挺清静的，老板免费升级为大床房！', '短评打分': 4}
{'短评内容': '挺安静的环境，淡季去人很少，有个阳台就我们在用，挺舒服的！！', '短评打分': 4}
{'短评内容': '酒店周边环境很好，晚上很安静。单人间有点小，但随便凑合一晚还是可以的。', '短评打分': 4}
{'短评内容': '还行吧，就是房间有点味道', '短评打分': 4}
{'短评内容': ' 环境比较偏僻，蚊子也很多', '短评打分': 3}
{'短评内容': '感觉还行，有点偏，蚊子挺多的，最好的晾衣服的地方足够大！', '短评打分': 5}
{'短评内容': '有点坑，空调不行，热水一下热一下冷的，房间比较闷！空间还可以！！', '短评打分': 3}
{'短评内容': '1、酒店太偏了，地理位置不好\n2、价格高的离谱，设施一般\n3、服务设施更是差的要命', '短评打分': 1}
{'短评内容': '环境不错，服务欠佳！WIFI实在是无法忍受，信号十分不稳定，时有时无，电视和镜子安装的位置过高，对于我们女性朋友而言十分痛苦，镜子照不到、电视看不到、网络上不到。入住的房间是个4人间，虽然我们是两人入住。房间空气不好，不知道是不是家具还是被子的原因，反正晚上把门窗紧闭着睡觉第二天就觉得闷得受不了，有一股很怪的味道，不过因为环境很好，只要一打开窗户新鲜的空气很快就进来也没什么。开始觉得没有洗手间的房', '短评打分': 5}
{'短评内容': '信用卡预订的199有退吗？', '短评打分': 3}
{'短评内容': '实在太吵，一晚上没睡着，隔音太差，外面人打麻将、起哄的声音听得一清二楚。', '短评打分': 1}
{'短评内容': '酒店不在繁华商业区，很清静，酒店隶属福廷酒店公司，不算大，但很温馨，前台服务员也很礼貌，服务也不错。我入住的加勒比海，房间不算大，但布置得还不错，唯一缺点是热水器是太阳能的，冬天入住洗澡动作得快哦，否则热水一会就没了。推荐！', '短评打分': 5}
{'短评内容': '1月24日入住的，住的是榻榻米，说实话，春节期间价格很贵，790一天，有点小贵。好的地方：我住的房间可以看到海，位置很高，有个摇椅不错，小院的环境非常不错。不好的地方：第一、空调非常非常不好，以至于冻了一晚上，基本上没怎么睡，冬天很冷，很潮，空调最高温度只到到21度，制热功能居然吹得都是冷风，据了解其它房间也有同感，睡得很痛苦！！；第二、酒店有浴缸，但是要用浴缸需要交10块钱买塑料套，非常非常不合', '短评打分': 1}
{'短评内容': '房间小巧而别致！很适合一个人！赞一个！', '短评打分': 3}
{'短评内容': '尽管旅店不是在繁华地段，但对于纯休闲的人来说是个很好的选择，风格迥异的房间，还有通过曲折的小路来到可以看到海的露台，放松心情，让自己在这私奔几天吧。', '短评打分': 5}
{'短评内容': '环境倒是不错，房间设计也挺好的，就是热水器水太小，而且一会就没热水了。', '短评打分': 1}
{'短评内容': '塔斯曼海房间是两层，上面是地铺。环境挺好，特别是前面的露台。可惜设计不行，没有私密性。', '短评打分': 5}
{'短评内容': '酒店比较小胆尚属精致，就是在岛上的位置比较难找。我们不认路，绕了个大圈才到，还提着行李。郁闷。另外是国庆期间的价格比平时贵了很多。', '短评打分': 5}
{'短评内容': '下次还去他家', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '环境还不错，但是地理位置比较偏僻，找了好半天…', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '这家酒店的位置不是很好找, 住这家店,得有点体力哦,因为爬的比较高,但在上面看景色还可以,房间大小和我在网上看到的相差很大,小很多,设施还可以,我门住的复合式房间有桑拿房,不过没用上, 我们去的时候是夏天,房间的价钱相对比较贵, ', '短评打分': 5}
{'短评内容': '环境不错，就是蚊虫多 ，不过在山上也难免啦', '短评打分': 5}
{'短评内容': '干净，舒适。家庭旅馆的感觉。就是隔音效果差了点，早上外面说话的声音听的一清二楚。不过总体来说还不错了', '短评打分': 5}
{'短评内容': '离海近，晨起散步很惬意，服务态度好，要求来接没二话，订的是马房免费升级到珊瑚房，大热天的，一进门，空调已经调好，感觉挺好的，还是有山庄的感觉，只是觉得少了点调调', '短评打分': 5}
{'短评内容': '环境不错，比较好找，店主比较热情，服务比较好，价位再低点就好了', '短评打分': 5}
{'短评内容': '环境很不错 值得推荐下 价格有些许偏高了 呵呵', '短评打分': 5}
{'短评内容': '房间很漂亮,就是空间很小.一栋楼隔了多个房间,房间的隔音效果不理想.其他还行.', '短评打分': 3}
{'短评内容': '一般般吧，所有东西都很一般，环境和布置没有摘片中看起来好，卫生条件也一般，床上用品有些发黄......总之我觉得对不起价格......', '短评打分': 1}
{'短评内容': '很好，很安静。环境不错', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '离海边挺近，空气很好，环境也挺安静，室内卫生也不错，晚上休息的挺舒适。', '短评打分': 3}
{'短评内容': '酒店还不错，很优雅很干净，住在这整个人都很放松。', '短评打分': 5}
{'短评内容': '家庭式的旅馆，住着还算舒适，服务上很好，如果能提供早餐就更好了。', '短评打分': 3}
{'短评内容': '环境很好，离海边挺近的，服务上随叫随到，服务的也挺周到。', '短评打分': 3}
{'短评内容': '服务很好，房间装修很创意，就是单人房的卫生间和床之间是透明的，窗帘挂起来，也是很透明的。不过感觉还是很不错。', '短评打分': 5}
{'短评内容': '今天刚住进来，地点有点偏，不过很安静，还没有吃早餐，不知道怎么样？', '短评打分': 5}
{'短评内容': '酒店还不错，周围环境一般，价格有点高！如果下次去应该还会去那家店。', '短评打分': 5}
{'短评内容': '地方远了点，其他还可以地方远了点，其他还可以地方远了点，其他还可以地方远了点，其他还可以', '短评打分': 5}
{'短评内容': '在国庆黄金周鼓浪屿上性价比较高的酒店了\r\n除了有点偏  其他都还好', '短评打分': 5}
{'短评内容': '离码头很远很远   岛很破   不喜欢', '短评打分': 5}
