{'短评内容': '卫生很一般，服务也不好。叫了半天服务员也不来！', '短评打分': 1}
{'短评内容': '装修有点久了，壁纸有脱落的地方，感觉有点贵，地方不太好找，但是因为开着车出行还算方便。', '短评打分': 5}
{'短评内容': '还可以，位置价格等还算不错，饭菜有待改善', '短评打分': 5}
{'短评内容': '酒店价格还可以，位置也不错；但饭菜质量有待改善，周边环境有点脏', '短评打分': 5}
{'短评内容': '两个房间都不能上网，有点遗憾，其他都还好啦', '短评打分': 3}
{'短评内容': '我当时订的是大床房，但这家酒店的大床房是用两个床拼在一起的，不舒服，有点被骗的感觉', '短评打分': 1}
{'短评内容': '好.', '短评打分': 3}
{'短评内容': '就是老榉林园,楼上条件还行，换了个大床房到楼下就破的不成样子，结账价格还给搞错了，管理不行。收拾房间把破床单都丢在我房门口，也没人管。', '短评打分': 1}
{'短评内容': '1、上不了网2、没有凉水或热水洗澡或水很小3、打电话到总台投诉时服务态度不好说是旅游宾馆就是这样4服务反映比较慢。总之不适合大家云住。强烈要求网友不要去入住！！！', '短评打分': 1}
{'短评内容': '酒店服务不错，离步行街很近购物方便，离海边很近！值得推荐', '短评打分': 5}
{'短评内容': '不错的酒店  性价比可以  在青岛算不错的三星了', '短评打分': 5}
{'短评内容': '总体环境还行，周边小吃也很多', '短评打分': 3}
{'短评内容': '被子脏，卫生差，早餐差，千万不要住。房间温度还低，空调不行。', '短评打分': 1}
{'短评内容': '酒店其他都不错,就是早餐简单了点,希望能够改进.', '短评打分': 5}
{'短评内容': '住宿条件一般', '短评打分': 3}
{'短评内容': '卫生比较干净，就是大床房是两个单人床垫拼在一起的。', '短评打分': 5}
{'短评内容': '酒店不错 在市中心 到海边也就15分钟的车程 前台服务不错  房间经济实惠 推荐一下', '短评打分': 5}
{'短评内容': '  房间挺大挺舒服的，就是早餐太素了。', '短评打分': 5}
{'短评内容': '位置也还行就是打车不是太好打，房间的装修卫生都还可以，价格的话因为当时是青岛啤酒节所以比平常稍微高一些不过还是可以理解。', '短评打分': 5}
{'短评内容': '酒店很旧，早餐太差', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '前台服务很好，房间也挺干净，这边是老城区，但是很安静！并且能看到电视塔，值得推荐，下次还会来！！', '短评打分': 5}
{'短评内容': '首先酒店位置偏不好找.而且知名度很低.我问了好多人才找到这家酒店的.只入住了一晚第二天就走了，室内硬件条件很一般.', '短评打分': 1}
{'短评内容': '酒店不错，价格比较便宜，性价比高，离闹市区很近，买东西特别方便，值得推荐，下次肯定来！', '短评打分': 5}
{'短评内容': '在旅游旺季入住时，性价比还算ok，推荐度一般', '短评打分': 5}
{'短评内容': '周围环境不是很好，因为办事地方离酒店较近所以才选择住', '短评打分': 1}
{'短评内容': '应该是我住过的比较差的宾馆了，尽管是三星的，还没有住经济连锁舒服。房间的空调噪音太大，一晚上醒了4，5次，第二天参加国考不得不哈欠连连；自助早餐超级烂，提我都不想提了；卫生间设备明显老化，水龙头应该是我使用过‘美标’产品中最难用的一次了；梳妆台上没有肥皂盒，别的宾馆都是用小碟子，虽然不起眼，但是很实用；卫生间的一次性洗浴用品上连宾馆的名字都没有，显然是外面市场批发过来的；尤其不能容忍的是电视信号，', '短评打分': 3}
{'短评内容': '应该是我住过的比较差的宾馆了，尽管是三星的，还没有住经济连锁舒服。房间的空调噪音太大，一晚上醒了4，5次，第二天参加国考不得不哈欠连连；自助早餐超级烂，提我都不想提了；卫生间设备明显老化，水龙头应该是我使用过‘美标’产品中最难用的一次了；梳妆台上没有肥皂盒，别的宾馆都是用小碟子，虽然不起眼，但是很实用；卫生间的一次性洗浴用品上连宾馆的名字都没有，显然是外面市场批发过来的；尤其不能容忍的是电视信号，', '短评打分': 1}
{'短评内容': '老宾馆改建的，周边比较差，吃东西购物不方便。唯一的优点，是绿色宾馆，没有骚扰电话。', '短评打分': 1}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '酒店的早餐很差,而且房间里的卫生间的马桶也不干净,周围环境也比较乱,不是很舒适.', '短评打分': 1}
{'短评内容': '住了两晚的普通标间，不是很称心。入住后进入房间发现有很大的异味（厕所的下水道的味道），然后找到前台要求换房间，换房之后第二个房间有一些装修的味道，但是不是很严重。晚上睡觉时窗外有嗡嗡的噪音，感觉像是中央空调的室外机，但是向窗外看并没有发现什么。电视节目很少，40多个频道有一半是“雪花”，2个床有一个床的床垫中间竟然都凹下去了，躺在上面发出很大声响。客房的灯光不好，顶灯6个灯只有1个能亮，酒店至于这', '短评打分': 1}
