{'短评内容': '老星级酒店，较旧，二号楼蚊子多不值。', '短评打分': 2}
{'短评内容': '装修老旧，但设施齐全', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '差评，服务太差了', '短评打分': 1}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '酒店设施有点老，但住着安静', '短评打分': 5}
{'短评内容': '除了发霉的味道，其他都好！', '短评打分': 5}
{'短评内容': '一直住那里，觉得相当不错', '短评打分': 5}
{'短评内容': '地理位置很好，2栋楼里面设施老旧味道大，但环境非常好', '短评打分': 4}
{'短评内容': '地理位置不错，老牌酒店，里面房间设施陈旧，进去整栋走廊和房间冷的像进入冬寒天，气味陈腐，去前台要求提高温度说没办法，只好自己慢慢去适应......下次不会订那里了', '短评打分': 4}
{'短评内容': '酒店设施老了点', '短评打分': 5}
{'短评内容': '千万不要住，我进房间就退房了，超级差，没法住', '短评打分': 1}
{'短评内容': '不知道酒店和携程是怎么沟通的。入住两间房的钱酒店都收了，携程这边又说查不到入住记录。给客户增添麻烦，真的好吗？', '短评打分': 3}
{'短评内容': '酒店设施不错，服务员态度很好，就是早餐味道一般', '短评打分': 5}
{'短评内容': '环境不错 ，干净卫生，位置不错，早点很好，空调很好', '短评打分': 5}
{'短评内容': '外面环境一般，但是房间是新装修的，很不错~这个价格来说很值得~推荐 推荐', '短评打分': 5}
{'短评内容': '非常好的酒店，环境很舒适，卫生也很好，非常安静，服务很好，早餐非常好。值得入住，以后出差到南宁还住这。', '短评打分': 5}
{'短评内容': '闹中取静，环境不错，酒店老了点，但总的服务等都不错。价格也不算高。', '短评打分': 5}
{'短评内容': '酒店不错，位置也便利，特别是餐厅挺有档次，推荐！不过门市价格和网上订价差距较大，建议网上预订！', '短评打分': 5}
{'短评内容': '明园饭店的总体设施很不错，性价比也很高。硬件条件和软件条件都无可挑剔，交通很便利，附近也有商场。', '短评打分': 5}
{'短评内容': '<南宁明园饭店>为庭院式饭店，距离市中心（朝阳路）较近，房间大小适中且干净，早餐品种多，很好。', '短评打分': 5}
{'短评内容': '常住明园，一如既往地合适，主要看重其院内环境优美，停车方便，周边交通设施便利。只是遗憾，年底会议太多，1号楼没房间了，给安排在2号楼了。本人更喜欢住1号楼。', '短评打分': 5}
{'短评内容': '性价比很高，推荐！', '短评打分': 3}
{'短评内容': '市中心，环境不错，旁边是公园。吃饭、交通都很方便。', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '很好的酒店，服务人员彬彬有礼，我们住的是标B，房间很安静，设施不新，但庄重大方。早餐品种不多，但精致可口。', '短评打分': 5}
{'短评内容': '不错，老牌子，有游泳池。离火车站近。标准间只送单早餐不好。', '短评打分': 5}
{'短评内容': '在南宁一直选择住明园，交通还不错，环境也挺好。', '短评打分': 5}
{'短评内容': '三星的服务标准（发霉的房间，晚上到得很晚服务员连路都懒得指认一下）', '短评打分': 1}
{'短评内容': '东西挺陈旧了，位置也一般。临时住住而已。价格不算贵。早餐品种还算丰富。', '短评打分': 1}
{'短评内容': '还不错，就设施老了点', '短评打分': 3}
{'短评内容': '地理位置很好，园林式环境很好，停车也方便，免费的游戏池更是孩子所爱，不足之处就是床比较小，如果带孩子同睡，有些局促。\n总之，性价比不错，值得入住。', '短评打分': 5}
{'短评内容': '虽为四星饭店，但条件很一般，不如凤凰等宾馆', '短评打分': 1}
{'短评内容': '环境优雅。就是服务员包括拎包的都有点冷漠，可能是平时接待领导多了，对一般民众“不削一顾”吧！', '短评打分': 5}
{'短评内容': '虽然装修旧些，但胜在价格便宜，性价比较高。中式早餐有点简单', '短评打分': 5}
{'短评内容': '位置不错，花园式酒店，服务也不错，价钱合理', '短评打分': 5}
{'短评内容': '服务不够人性化，上网要钱，也没有大床房选择…', '短评打分': 3}
{'短评内容': '环境有点特色，但潮湿，网速超慢，上了一晚上都没打开几个网页，价格不低', '短评打分': 1}
