{'短评内容': '这个价位也算不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度非常好，环境卫生也还好，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好噢', '短评打分': 5}
{'短评内容': '还行，每次到十堰都是这家', '短评打分': 4}
{'短评内容': '住的还是比较舒服，虽然刚翻新了，卫生间设备还是有待加强', '短评打分': 4}
{'短评内容': '很不错，刚好在目的地附近，就在火车站周边，门口就是公交站台，周边吃饭购物都方便，下次还会继续选择！！', '短评打分': 4}
{'短评内容': '都还不错吧', '短评打分': 4}
{'短评内容': '隔马路太近，太吵。卫生环境也不是太好，服务不错。价钱比较合理。', '短评打分': 2}
{'短评内容': '环境好，设备也好，不错', '短评打分': 5}
{'短评内容': '挺好的，交通方便，就是有点吵', '短评打分': 3}
{'短评内容': '酒店的前台，服务意识太差了，问什么都不知道，比如该酒店在武当山11号，我问前台我在7号，请问怎么走，酒店的前台就说不知道知道怎么走之类的，好不容易找到了该酒店，我身上的现金不够，先押金100元，先把行李放进去，然后出去取钱，再补上钱款，酒店的前台，很干脆的说么不可以，，，是不是叫做？？看人低，当时是晚上9点多，明确表示：该酒店如果今后倒闭，肯定一大部分责任在前台，老板你和前台有什么私人恩怨吗？这年', '短评打分': 3}
{'短评内容': '第一次住环境蛮好，又不是很贵', '短评打分': 3}
{'短评内容': '位置有点偏  价格还可以以！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '性价比不错，值得一住。', '短评打分': 3}
