{'短评内容': '酒店还行 就是被子是破的   毛巾是破的', '短评打分': 5}
{'短评内容': ' 酒店还好啦，很安静', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '总体还行，就是正好赶上楼上装修，电钻烦死了都', '短评打分': 5}
{'短评内容': '酒店工作人员服务态度好，但枕套被单比较脏，被单还打补丁有污染痕迹未清除。', '短评打分': 3}
{'短评内容': '还是一如既往的好啊，已经是第N次住这家店了，又大又干净，态度又好。真的很不错，强烈推荐。', '短评打分': 3}
{'短评内容': '酒店不错，交通方便，地理位置优越！还会再光顾的……', '短评打分': 5}
{'短评内容': '酒店很新，设置比较不错，另外电视是IPTV的，可以看不少电影', '短评打分': 5}
{'短评内容': '今天很给力啊！！房间超级大。很舒服！就是靠着主干道比较吵', '短评打分': 5}
{'短评内容': '不多说 今天在连锁酒店里面始终都是最给力的！', '短评打分': 5}
{'短评内容': '空间太小了，很拥挤。。空气很闷的、 \n\n如果是一个人能接受的话， 就哈可以咯。热水其他方面都可以的、\n\n隔音效果不好。', '短评打分': 1}
{'短评内容': '房间很大很干净，浴室环境也很好，就是离街道很近略微有点吵。总之是很对得起房间价格，会再来。', '短评打分': 5}
{'短评内容': '房间很大，很干净，电视很给力，住下来很晚，走的也很匆忙，确实不错，下次到衡阳还住这家店', '短评打分': 5}
{'短评内容': '干净 卫生 设施比较新 舒适 很不错的一家酒店', '短评打分': 5}
{'短评内容': '已经入住，但这里都不能预约支付，还要每天去刷卡。前台有个叫彭春芳的态度恶劣。还有房间有投诉电话根本就打不了。', '短评打分': 3}
{'短评内容': '酒店很好,很新很干净,房间很大!', '短评打分': 3}
{'短评内容': '有点不方便，到市区太远，打的不方便。公交车也不方便', '短评打分': 5}
{'短评内容': '大床房靠马路吵 房间简约 漂亮 不错 下载网速很快', '短评打分': 3}
{'短评内容': '挺不错的，房间很大很宽敞，这一点要赞一个，如果中央空调给点力就更好了', '短评打分': 5}
{'短评内容': '假如要去客运中心转车还是比较方便的。算中规中矩。无大问题也说不出很特别。', '短评打分': 5}
{'短评内容': '酒店比较新，虽然房间很迷你，但床很大很舒服，不错', '短评打分': 5}
{'短评内容': '酒店很好，位置还可以，很新，但是有点贵！', '短评打分': 5}
{'短评内容': '看的出是新开的酒店，外部装饰有些还不完善，不过客房质量不错，该有的都有，而且都是新的。', '短评打分': 5}
{'短评内容': '价格适中，服务也不错，遗憾的是迷你房的窗给人感觉很不安全，隔音效果不好，有宽带却没有电脑桌，不知道电脑要放哪里好。', '短评打分': 5}
{'短评内容': '住的迷你房，装修不错，浴室空间很大，设计比较合理，有一个通走廊的窗户，不是直接面对走廊，是有个通风井的，美中不足就是隔音有点不好，而且不太通风，房间比较热，总体还是不错的', '短评打分': 5}
{'短评内容': '条件还可以，但无早餐供应，希望商家能够进行改进。', '短评打分': 5}
{'短评内容': '快捷酒店这样子的还可以，设备也比较新！\n在107国道旁边，怕吵的最好住不靠街这边就好了。', '短评打分': 5}
{'短评内容': '条件还可以，但没有早餐供应，要找地方吃饭，比较麻烦，建议改进。', '短评打分': 5}
{'短评内容': '酒店是新开的 楼层高 房间宽敞 不错哦！', '短评打分': 5}
