{'短评内容': '老酒店了，方便工作地点，', '短评打分': 3}
{'短评内容': '看着三星的酒店想着比连锁要好吧。。看评论说有点旧，但总会干净能用吧。。。结果，里面设施真的非常旧了！淋浴不好用不出水没法洗澡，马桶按扭不好用冲不了厕所，烧水壶全是绣没法烧水，空调摇控器没电，换好打开，空调总是呯呯的响了一晚上。。。住过最差的酒店，三星怎么来的？？', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间还不错，性价比高，在青岛能住到这个价格的三星酒店也是不容易了，就是周边设施差了些，买点东西不是太容易。', '短评打分': 5}
{'短评内容': '床很大，三个大人一个宝宝也能住下，性价比很高，离亲戚家很近，价格又非常合适，下次来应该还会定这个酒店。', '短评打分': 5}
{'短评内容': '一直在这里买东西，放心！', '短评打分': 5}
{'短评内容': '干净整洁，不错，下次还来。', '短评打分': 5}
{'短评内容': '问前台学校怎么走，居然给说成了另一所学校，也是醉了，幸亏不是第二天考试，酒店没有空调遥控器真是让我恼火，那个暖气热死人，屋里闷死了，晚上起来打开窗户才能睡，特别特别闷，额，电视频道也是无语，就那几个台，还那么不清晰，幸亏还有免费的wifi，。可以玩手机………优点，就是有网，距离学校考点近，至于酒店本身的服务态度，卫生……还是顾客自己体验吧…………', '短评打分': 1}
{'短评内容': '酒店服务态度很差，问去栈桥坐几路车，爱理不理的那女的，说话还那么硬，问一句说完就不理人了，就算是经济酒店，前台服务态度也不能这么差吧，毕竟客人是外地而来，而且酒店没有空调遥控器，打前台电话询问，被挂断了，估计是故意收起来了，怕浪费电，热水洗澡的毛衣也很脏……哎，考试期间酒店定完了，考点附近没得选……自己选的酒店含泪也要住下去！', '短评打分': 1}
{'短评内容': '都还不错啊', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错，挺干净的，周围交通便利，有许多餐厅。', '短评打分': 5}
{'短评内容': '水不热 空调有点老 还好比较便宜', '短评打分': 3}
{'短评内容': 'H环境挺好，设施也不错，价格还可以', '短评打分': 5}
{'短评内容': '服务还好', '短评打分': 5}
{'短评内容': '脚裂小口浴巾粘点血丝也要扣钱，现在哪个酒店还这样，手洗一下就干净了，早上还有事去做，发票也开不出来，咋不多为客人想想', '短评打分': 2}
{'短评内容': '很一般的酒店！最重要的是不守信用，我明明订的是大床房，可是却给我留了标间！郁闷！', '短评打分': 3}
{'短评内容': '非常安静，很舒服，虽然下着雨，但是感觉不错', '短评打分': 5}
{'短评内容': '非常的旧的酒店，毛巾，拖鞋什么的都很陈旧。服务员打扫卫生，地面都不会给打扫，用过的毛巾好像只是重新给叠了一下。', '短评打分': 1}
{'短评内容': '有蚊子,不是很好!!!!!!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '环境不好，房间有味道，屋里的东西都很旧，外面很吵，很乱', '短评打分': 3}
{'短评内容': '酒店硬件设施很一般，感觉不像3星的酒店。', '短评打分': 1}
{'短评内容': '酒店的硬件设施一般，感觉不出来像3星的酒店', '短评打分': 1}
{'短评内容': '服务很好，非常热情周到，设备稍显陈旧', '短评打分': 3}
{'短评内容': '房间卫生还可以，设备有点老化，周边环境不好', '短评打分': 1}
{'短评内容': '酒店还是很老整体也就一般，卫生还可以，酒店的位置不是太方便出行打车不是很方便坐公交车还行，价格的话还是有些高当时我去的时候也是遇到青岛啤酒节可能价格也是跟啤酒节有点关系。', '短评打分': 1}
{'短评内容': '酒店，还行，就是远了一点，，但是交通很方便', '短评打分': 3}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '服务好,设施有些陈旧,位置有些偏', '短评打分': 1}
{'短评内容': '出行还挺方便的距离车站比较近，不过条件挺一般的.硬件和卫生方面.', '短评打分': 5}
{'短评内容': '酒店设施方面有些陈旧，空调，电视机都陈旧了，早餐也很一般了，都没什么吃的，太简单了，免费的也就凑合了，服务态度都还不错，办事挺热情挺主动地，位置一般，周边交通不是很便利。如果在周边办事的可以住。其他的不建议住。', '短评打分': 5}
{'短评内容': '还不错 服务 设施都可以 有一点偏', '短评打分': 3}
{'短评内容': '基本上还可以  设施一般 服务还过得去 ', '短评打分': 1}
{'短评内容': '位置有点偏远，不太方便，卫生和服务都不错，餐厅菜很好吃，就是晚上有莫名电话骚扰。', '短评打分': 5}
{'短评内容': '和招待所差异不大。', '短评打分': 1}
