{'短评内容': '感觉不错，下面浴室免费', '短评打分': 5}
{'短评内容': '不错，去宝应一直住他家。', '短评打分': 5}
{'短评内容': '停车很方便，早餐是自助餐形式，一般般了，不过酒店交通进出方便，性价比挺高的，入住后感觉比较满意。', '短评打分': 5}
{'短评内容': '不错，就是在装修，有点味道', '短评打分': 4}
{'短评内容': '不错的选择，老旧点', '短评打分': 5}
{'短评内容': '不错的选择，老旧点', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '房间较大。比较舒适', '短评打分': 4}
{'短评内容': '位置还可以，入住还不错，性价比还可以', '短评打分': 5}
{'短评内容': '各方面条件还行，交通便利', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '很不错的房间', '短评打分': 5}
{'短评内容': '还行吧。主要周围感觉环境还不错。酒店的墙上有很多字体。看着省得慌！希望改进吧。', '短评打分': 4}
{'短评内容': '老牌酒店，对得起三星级，免费桑拿由于没时间没去', '短评打分': 5}
{'短评内容': '非常有味道的酒店，满意，一切0k，值得推荐！', '短评打分': 5}
{'短评内容': '感觉没以前好了……', '短评打分': 4}
{'短评内容': '非常好的住宿，下次出差还会来这边的。', '短评打分': 5}
