{'descr': '还可以还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '特别好特别特别好', 'star': 5}
{'descr': '位置黄金，紧邻地铁，环境好，服务好', 'star': 5}
{'descr': '因为装修 环境不好', 'star': 3}
{'descr': '非常好', 'star': 5}
{'descr': '可能是因为装修，整个酒店卫生非常差，到处都是沙子和水管，理解是理解，但是做服务的这让人怎么住，房间装修和设施也非常老旧，一股子发霉和水垢混合的味道，半夜能把鼻子刺醒的程度，本来要换隔壁的锦江之星，妹子嫌弃麻烦就作罢了，但是我想给个差评是真真不过分的～', 'star': 1}
{'descr': '酒店很好', 'star': 5}
{'descr': '太差了房间贼小，电视还是老式的。', 'star': 5}
{'descr': '很不错的地方，下次有机会再去', 'star': 5}
{'descr': '无线网是真卡', 'star': 3}
{'descr': '退款很迅速。', 'star': 5}
{'descr': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', 'star': 5}
{'descr': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', 'star': 5}
{'descr': '房间小、电器设备陈旧。', 'star': 2}
{'descr': '太差了，门还坏了，设施最差，以后真的不想再去了！房间除了空间一无是处！', 'star': 2}
{'descr': '非常一般的酒店，不推荐入住', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '如其他住客所说的一样，设施是陈旧了，不过还是比较干净的，而且双床房感觉比较宽敞了，服务态度还可以，而且不需要押金，整个处理流程都很快捷方便，比较符合快捷酒店的性质。有几点建议，第一，供暖问题，感觉有点冷啊，洗的袜子一个晚上并没有干，还是吹风机强行吹干的，第二天住在中央大街，就很热，看来供暖问题有待解决。第二，这应该怎么说，其实隔音来讲的话，一般，不过好在大部分住客都比较安静，还可以的，不过当天晚上', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '比较方便', 'star': 4}
{'descr': '比上次住的感觉好，服务不错。房间还可以。交通方便', 'star': 5}
