{'短评内容': '房间视线很好。卫生间有点问题。', '短评打分': 4}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '温泉正宗，虽然池子不多。', '短评打分': 4}
{'短评内容': '空气清新，环境优美。早餐也比较丰富，', '短评打分': 5}
{'短评内容': '第二次入住酒店了，上次住的很舒服，各方面都很不错，房间面积大舒适，阳台，浴缸，都超级棒，但是这次我要给一个大大的差评，晚上去睡觉的时候还没觉得什么，睡到半夜我就被虫子咬了四五个包，我起初以为是蚊子，入住特意把被子盖好，结果不到一个小时我的腿上都是又多了好几个包，我起来一直喷花露水，早晨七点多我就受不了了，起来找，掀开被子一看里面都好几个小虫子，我老公也被咬了好几个，但是比起我差太远了，如果大家不想', '短评打分': 3}
{'短评内容': '去的晚了，只剩下了一楼的房间，有些霉味，周边环境是不错的。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间还不错，就是大峡谷风景不能下去看，有点遗憾。', '短评打分': 5}
{'短评内容': '环境很好，酒店设施有点旧了，服务也一般', '短评打分': 4}
{'短评内容': '前台工作人员态度太差了 很不爽', '短评打分': 4}
{'短评内容': '不错 比普通房好', '短评打分': 4}
{'短评内容': '携程上便宜不少，那里的酒店设施实在是不敢恭维，不过独此一家也没有办法', '短评打分': 5}
{'短评内容': '来了好多次了，温泉很好', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '给客人订的，服务挺好的，客人东西落下了很着急回去找不停打电话去问也没有不耐烦。', '短评打分': 5}
{'短评内容': '服务态度好，饭菜也好，环境也好，推荐！如果可以订到低点价位的房间，感觉就更好了', '短评打分': 5}
{'短评内容': '住的安静，酒店在山上，就是温泉还要另收费，安次数收取，只有三四个露天泡温泉的池。', '短评打分': 3}
{'短评内容': '订的是别墅式标准间，在1幢，最靠近温泉。\n墙壁油漆都脱落，能明显看出装修的陈旧。房间大小合适，带露台。电源插座太少，吹风机和雨伞、被子倒是一应俱全。\n房间没网络，这是最大的缺点！泡温泉还要额外支付88元/位，适合多人出游。\n', '短评打分': 5}
{'短评内容': '环境非常好，房间设施陈旧了一些，泡温泉的地方设施也比较差！', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 3}
{'短评内容': '预订过程十分开心，合作十分愉快！酒店服务很到位，设施很齐全，环境很舒适，整体很满意！', '短评打分': 3}
{'短评内容': '住的是老装修的房间，已经有十年以上了，房间超级大，不过设施就陈旧了，阳台很舒服。不过节日期间680元的价格的确贵，平时价就好多了。\n酒店位置不错，但是风格太普通了，给人的感觉就是国营的度假村，没有什么特殊的情调，如果在小品、装修上有进一步的提升的话，会更好。', '短评打分': 5}
{'短评内容': '挺好的，就是周边可玩的地方不多，交通不方便', '短评打分': 5}
{'短评内容': '蚊子 飞虫比较多 空气不错 阳台希望入住前都要清洗一遍 风景很好', '短评打分': 5}
{'短评内容': '在几个温泉中交通比较方便 但希望增加一些度假需求的设施 和儿童的游乐场所 这样更能吸引家庭度假的需求 或许可以增加过夜的天数', '短评打分': 5}
{'短评内容': '周边景观很不错 就是房间陈旧了点 晚上飞虫蛮多的 早餐很丰富', '短评打分': 5}
{'短评内容': '山上的别墅房,室外的环境很好,可室内就不一样了:服务员按我的要求给了最后一间新装修房,可一进房间,我晕!一股下水道的味道扑鼻而来,第二天下雨,本想再住一天,可那股下水道的味道实在受不了,无奈,选择了离开.除了室外环境好外,设施等其他均一般,泡氡泉的木桶很好,但不免费提供一次性木桶塑料套就不好了.', '短评打分': 5}
{'短评内容': '房间环镜不错，房间也比较干净。早餐也非常丰富，至少给我感觉对的起这个价格。但有办理入住的时候，前台的反映似乎有点慢，我说了三遍要CHECK IN。过了几分钟，居然还问我，你有什么事情？希望酒店加强这方面的管理，必竟这是给客人的第一印象。', '短评打分': 5}
{'短评内容': '我们是晚上7点半的时候才到达酒店的。不是自架车去的所以比较麻烦。到了宾馆后感觉好舒服。环境很不错。我们预定的是最一般的标准间，房间好大！每个房间都有阳台。很舒服。别墅式的，也很干净。就是温泉的水放了半天才开始烫。而且那时候还是晚上了呢！总之不错。早餐也很不错！', '短评打分': 5}
{'短评内容': '环境真的不错，群山环绕，全部都是别墅的套间，感觉到了世外桃源。而且房间里就可以泡温泉。', '短评打分': 5}
{'短评内容': '环境不错，房间有点旧，早餐还行，服务好，希望加以改进', '短评打分': 5}
{'短评内容': '  整体还不错。环境好，前台素质也很好。在室内就能洗氡泉浴。夜里空调声响很大希望以后能改进。', '短评打分': 3}
{'短评内容': '不错  就是浴缸小了点不能两个人一起泡', '短评打分': 3}
{'短评内容': '餐饮价格实惠，味道鲜美，自助早餐也挺不错的。大年三十入住，这样的价格，挺满意。酒店管理也挺好，客服反应迅速。封闭式的环境，安保个个人高马大，让人住着挺放心。', '短评打分': 5}
{'短评内容': '适合自驾的朋友入住，去景区有些山程。但酒店地势较高，于丛山峻岭间，视野 辽阔，空气清新，让人心旷神怡。\n我们订了四个豪华标间，竟有二个空调不暖，检测后说是因为房大，而空调较旧匹数不够，让人失望。但客服解决及时，调来两台暖风机，看在服务态度诚恳，便也作罢。建议改善设施，让顾客的钱花得价有所值。\n', '短评打分': 5}
{'短评内容': '    空间很大，大到使你无法想象，治安也相当不错，24小时保安巡逻，早餐很丰盛。', '短评打分': 5}
{'短评内容': ' 环境不错挺干净的', '短评打分': 3}
