{'短评内容': '停车方便，也适合带孩子', '短评打分': 5}
{'短评内容': '一般，酒店位置还可以', '短评打分': 4}
{'短评内容': '住的单人间，性价比还可以，宾馆在东岳大道，交通比较方便，电视有点小，拖鞋不是一次性的，怕有脚气，没穿', '短评打分': 4}
{'短评内容': '没有早餐，不能加床，！整体感觉还行！没有吹风机！服务还可以！环境还算干净！', '短评打分': 4}
{'短评内容': '差劲的不能不能的，198元，连30都不值', '短评打分': 5}
{'短评内容': '驴友的不二选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '性价比比较好，住过很多次了，值得推荐', '短评打分': 4}
{'短评内容': '环境挺好，服务也很周到', '短评打分': 5}
{'短评内容': '方便，周边交通方便。', '短评打分': 4}
{'短评内容': '不错 但无线网信号不是很好', '短评打分': 5}
{'短评内容': '很好 很喜欢 一切都棒的感觉', '短评打分': 3}
{'短评内容': '房间比较小，价格有点高，旅游城市，尤其旺季，也可以理解。房间空调吹出来的味道很难闻，希望改进。', '短评打分': 5}
{'短评内容': '先说酒店的客房，入住4012房间，床铺很大，160CM宽，舒适度非常好，我出门住酒店第一要求就是床铺的舒适度。只是房间内空间不是很大。卫生间配套设施及洗刷用品不错，但是有点轻微的发霉的异味，建议酒店尽快处理一下。\n交通位置很好，出门也挺方便。\n总体来说，还不错，以后去泰安还会继续入住。', '短评打分': 5}
{'短评内容': '环境还可以，不像火车站附近那么乱，就是房间有点小，不太隔音。', '短评打分': 5}
{'短评内容': '房间小 设施差 费用高 性价比不高。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店气味不好，有一股下水道的味道，下次不会再住了', '短评打分': 1}
{'短评内容': '位置还可以，房间味道太重了，不开窗睡不着觉，确实需要改进。', '短评打分': 1}
{'短评内容': '房间设施水龙头什么都感觉脏兮兮的都不好用，服务态度一般般卫生也不是很好，位置还不错，价格也很贵。', '短评打分': 3}
{'短评内容': '酒店早餐不好，由于靠街边，晚上很吵，服务一般，价格有点贵', '短评打分': 3}
{'短评内容': '房间稍小', '短评打分': 5}
{'短评内容': '酒店卫生一般，价格与设施不成正比，不推荐下次入住', '短评打分': 5}
{'短评内容': '房间配置硬件设施都还不错，服务人员很热情。', '短评打分': 5}
{'短评内容': '这个房间太小了，住的压抑', '短评打分': 1}
{'短评内容': '酒店位置好，位于市中心。公交四通八达，卫生也不错。价格合理。希望提供免费早餐。服务也好。最好提供山东旅游介绍\r\n', '短评打分': 3}
{'短评内容': '酒店地处泰安市中心附近，附近公交四通八达。酒店卫生情况很好。服务很好。希望酒店早餐免费，能提供山东旅游图', '短评打分': 3}
{'短评内容': '位于泰安市中心附近，距离各景点路程适中。卫生情况还可以，早餐最好免费。酒店服务员服务很好。希望能提供泰安附近的旅游图\r\n', '短评打分': 5}
{'短评内容': '酒店住宿条件还可以，周边餐馆比较多，吃饭还是比较方便的。', '短评打分': 5}
{'短评内容': '位置有点偏，不过离天外村很近，房间不算大，不过还算挺干净，性价比不错', '短评打分': 5}
{'短评内容': '可能是家老酒店，设施很陈旧，房间里很干净，服务也不错，价格有些偏高，其他都很好。', '短评打分': 5}
{'短评内容': '一般般了，卫生不好！', '短评打分': 1}
{'短评内容': '还行啦', '短评打分': 1}
{'短评内容': '酒店的位置很好，挺方便的，硬件条件和人员的服务都是比较不错的，肯定是值得推荐的。', '短评打分': 3}
{'短评内容': '第一次到泰安来，入住本酒店，地理位置很好，步行十分钟就到了山脚下。酒店的服务很好，前台的美女们给我介绍了很多泰安的景点和特色。房间的采光很好，床上用品很干净，让人很放心。下次来泰安，还会入住此家酒店。强力推荐', '短评打分': 5}
{'短评内容': '很失望，下次肯定不会入住', '短评打分': 1}
