{'短评内容': '很好,很方便', '短评打分': 5}
{'短评内容': '还不错哦，都说不错，那就是还行，早餐说是很丰盛，地理位置比较方便，进出都方便，总体感觉还是可以的，服务也还好的。', '短评打分': 4}
{'短评内容': '爸妈住的 晚饭也在东台国际比较方便 德润也靠着', '短评打分': 4}
{'短评内容': '酒店性价比高，自助餐便宜。空调不错，出门去火车站汽车站也方便，对面就有卖土特产的陈皮酒，海产品都不错。', '短评打分': 5}
{'短评内容': '大冷天暖空调不开，与四星级洒店不符！', '短评打分': 5}
{'短评内容': '还不错的，就是单价有点高', '短评打分': 4}
{'短评内容': '很好,价格也合适', '短评打分': 5}
{'短评内容': '价格比其他网站便宜，很实惠', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '不错的！很好', '短评打分': 5}
{'短评内容': '还不错，位置很好', '短评打分': 5}
{'短评内容': '不错干净方便', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间内有按摩椅，但是属于收费项目', '短评打分': 5}
{'短评内容': '不错的酒店，比较上档次，…………！！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好', '短评打分': 4}
{'短评内容': '还是不错的，东台的四星酒店，值得推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置很好，房间大也蛮干净，早餐品种不多但也多得去。', '短评打分': 5}
{'短评内容': '住过很多次，感觉不错。每次来都住这！貌似东台没有比这家更好的了！', '短评打分': 5}
{'短评内容': '暖气很足，环境不错。就是电视频道太少，我住717，有点吵。', '短评打分': 5}
{'短评内容': '隔音差，服务理念差！', '短评打分': 3}
{'短评内容': '很舒适的酒店', '短评打分': 3}
{'短评内容': '第二次住了，在东台市中心周围娱乐场所都有。推荐\n', '短评打分': 5}
{'短评内容': '在当地算是比较豪华了 硬件配置可以算得上5星级了 按照当地水平来说价格有点高', '短评打分': 5}
{'短评内容': '南通目前最高档的酒店，人员素质一流，服务好，设施先进！', '短评打分': 3}
{'短评内容': '硬件很好，服务有待提高。', '短评打分': 3}
{'短评内容': '还可以就是空调风机的声音实在是太吵了吃不消啊只要开动就忽忽的叫白天还好晚上睡觉的时候让别人怎么睡？是不是买了便宜的风机啊和酒店的装修不相称', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '总体来说比较干净但是细节方面不行，卫生间的瓷砖上居然还留着一根很长的女人头发不知道怎么粘的住哦，空调不知道怎么设计的要么达到设置温度风机停转房间比较闷，要么风机运行噪音超大。房间偏小而且没电脑对不起这房价', '短评打分': 5}
{'短评内容': '酒店不错，就是价格偏高了。谁叫没有好的其他选折呢！', '短评打分': 5}
{'短评内容': '房间干净整洁，通风采光都很好，住着很舒服，酒店位置也不错，出行交通也挺便利的。', '短评打分': 5}
{'短评内容': '环境很好，服务很好，感觉很温馨很舒适，下次还会光顾。', '短评打分': 5}
{'短评内容': '非常不错的酒店，就是价格有点稍贵。\n早餐非常丰富。', '短评打分': 5}
{'短评内容': '中式与欧式结合形式，挺漂亮的，卫生打扫的也很好，住的挺舒适。', '短评打分': 5}
{'短评内容': '价格不是很贵，硬件设施很齐全，服务态度很好，住的挺舒心。', '短评打分': 5}
{'短评内容': '环境很好，温馨舒适，服务也很周到，下次还会光顾的。', '短评打分': 5}
{'短评内容': '设施很不错，中式欧式都有，服务卫生都很到位，环境也很好，是个休闲度假的好去处。', '短评打分': 5}
{'短评内容': '酒店装修的很漂亮，各方面都很好，住的很舒适。', '短评打分': 5}
