{'descr': '还不错。光线很好。也很舒适。服务态度也不错。', 'star': 5}
{'descr': '130的房间也就这个样    等房间等了半个小时', 'star': 5}
{'descr': '环境差', 'star': 3}
{'descr': '环境不错     交通方便     房间挺舒适', 'star': 5}
{'descr': '酒店整体适合与价格相比比较匹配,但是部分细节需进一步处理,床垫过硬,睡觉不舒服,电视节目太少,洗澡水温度不够,冷天则慎重选择,最重要的就是服务员工作极不负责任,特别是客房和晚班前台.该酒店管理层严重有问题,整体环境卫生情况不错.', 'star': 5}
{'descr': '我对这家宾馆的环境还比较满意，但是对宾馆服务不是很满意，入住时没有房间，原来是宾馆服务员忘记登记了，等了接近三个小时才有房间，而且房间的卫生还没有打扫，入住后发现房间的暖气是坏的，郁闷。最后当然都解决了，还是推荐给朋友们，可能是我运气差，要记得入住时前确认好房间就可以了。', 'star': 1}
{'descr': '还可以，经常住这边，希望能增加早餐。房间宽敞有电脑。', 'star': 5}
{'descr': '酒店价格比较实惠，适合出差人员，但是问题也相对突出，客房服务速度慢，洗澡水温太低，冷天建议慎重考虑，电视节目非常少，整体很一般。', 'star': 3}
{'descr': '住了几次，房间还可以，宽敞，配有电脑，就是没餐厅，麻烦点。', 'star': 5}
{'descr': '整体环境不错，房间里的电脑有音箱就更好啦！', 'star': 3}
{'descr': '环境施设都很好，干净卫生，服务也很热情，只是吃饭不方便，能开设自己的餐厅最好啦。', 'star': 5}
{'descr': '性价比挺高，就是周围吃饭的地方太少', 'star': 3}
{'descr': '酒店非常整洁，服务态度很好，很满意！', 'star': 3}
{'descr': '房间挺大，但是屋里的灰尘太大，而且窗户还没有锁，感觉很不安全', 'star': 3}
{'descr': '除了房间大外，没有什么值得推荐的。下水道不通；房间电脑椅子五个腿坏了两个，让服务员换，直到退房也没有理；电脑上网线太短，不能连接在我自己的电脑上；阳面房间太吵，周围可能是KTV。', 'star': 1}
{'descr': '对的起这个价钱了！就是不送早餐~标间奇大！带电脑！', 'star': 5}
{'descr': '第二次入住了，，感觉依然不错  宽敞的房间  很舒适 异地他乡 在这还是很温馨的  \n睡个好觉。。。房间内有电脑 有食品  足不出户 享受很多 下次还住\n', 'star': 5}
{'descr': '卫生条件不错，房间大，但是有点傻，不够温馨。房间有电脑很方便。建议发送地址信息时注明门牌号码，或者详细地址。', 'star': 5}
{'descr': '感觉还可以，服务不错，挺干净，就是没有早餐。', 'star': 5}
{'descr': '贵士酒店房间跟图片一模一样的，去内蒙古的途中，来回都入住这家酒店。热水很好，前台人也还行。入住率还蛮高的，而且价位确实很便宜哟，支持哈。', 'star': 5}
{'descr': '不错 服务态度很好 房间设施很齐全 就是唯一一点是十二点退房\n一般的都为两点的呀  有电脑 有无线网络  很商务 下次还住它', 'star': 5}
{'descr': '前台接待人员很热情，主动带到房间，还帮助拿行李，真的不错。豪华大床房的落地大窗很赞，窗外风光也不错，房间有电脑，自己不用带笔记本就能上网，真的很不错。下次有机会还会再住。', 'star': 5}
