{'短评内容': '住的比较舒服', '短评打分': 5}
{'短评内容': '这个价位的酒店就算还可以', '短评打分': 5}
{'短评内容': '每次到廊坊入住的酒店，很感觉不错，早餐丰富。', '短评打分': 3}
{'短评内容': '酒店工作人员服务不错，早餐不错。酒店年数长了，设施设备有些老旧了。不过酒店正准备改造中，相信改造后更好！', '短评打分': 5}
{'短评内容': '不怎么好', '短评打分': 2}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '前台的美女很好，棒棒哒！客房服务很及时，有问题都及时解决了。满意！', '短评打分': 5}
{'短评内容': '無早餐都沒有事前通知', '短评打分': 3}
{'短评内容': '环境不错，只是大厅有些冷，屋子里刚开开暖风时还是有些冷，开半小时后还可以。被子等都很干净。', '短评打分': 5}
{'短评内容': '每次到廊坊入住的酒店', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '酒店周边有超市、商场，吃饭也很方便。交通还算便利，离高铁不到1公里。房间设施有些陈旧，整體來講還算OK，早餐也還不錯。酒店周边有超市、商场，吃饭也很方便。房间设施有些陈旧，尤其是卫生间居然没有淋浴房，洗澡水溅的到处都是。', '短评打分': 5}
{'短评内容': '酒店周边有超市、商场，吃饭也很方便。房间设施有些陈旧，尤其是卫生间居然没有淋浴房，洗澡水溅的到处都是。酒店周边有超市、商场，吃饭也很方便。交通还算便利，离高铁不到1公里。房间设施有些陈旧，整體來講還算OK，早餐也還不錯。', '短评打分': 5}
{'短评内容': '酒店还是一如既往的好，不过，在5楼住的话能听到3楼KTV的声音', '短评打分': 5}
{'短评内容': '酒店一如既往的不错。我住的那个房间第一天淋浴水流很小，第二早上告诉前台后，立即就给修理了。', '短评打分': 5}
{'短评内容': '这酒店客房一般，性价比不行。 那KTV就是个杀猪的地方。该怎么办自己看着办啊', '短评打分': 1}
{'短评内容': '毛巾有气味，房间内没有食品销售，三星标准都达不到。', '短评打分': 3}
{'短评内容': '早餐不错..在廊坊是不错的酒店舒服干净.', '短评打分': 5}
{'短评内容': '酒店环境太差，毛巾一股怪味道，卫生间的换气扇声音大的像拖拉机，餐厅的菜也怪怪的', '短评打分': 3}
{'短评内容': '服务比较差，感觉一般，不会再住，位置也有点偏了', '短评打分': 1}
{'短评内容': '非常差的酒店，网路断了，一个晚上也修不好，也不告知，，早餐非常的差，通知服务员咖啡有问题。。爱理不理的。。不会再去住了', '短评打分': 1}
{'短评内容': '早餐有很大进步。客房服务在之前的点评里已经讲过了，不再重复了', '短评打分': 5}
{'短评内容': '早餐和以前相比有很大改进了，每天都会有部分新菜式更新，种类也比以前多了。但是客房服务好像比以前差了点，入住第一天感冒发烧，想要加床被子居然没有，这么大的酒店被子没有多余准备替换的么？幸亏同事做出牺牲把她的被子给我了，可怜我同事一晚盖着衣服睡觉了', '短评打分': 5}
