{'短评内容': '房间设施有点旧', '短评打分': 4}
{'短评内容': '带家人省医院就医，住这里是最近也是最方便的，酒店虽然说设施老了点，但价位也便宜，安全性不错，房间够大，吃饭买东西都方便！性价比可以！', '短评打分': 4}
{'短评内容': '房间WI-Fi信号不好，服务员说网上订的房间都是边角，就是信号不好。以后不敢网上订房间了，其它还尚可。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '屋子特别大', '短评打分': 5}
{'短评内容': '宾馆还行，设施老了，周边吃东西方便', '短评打分': 5}
{'短评内容': '酒店位置很好，周围有大润发，吃的地方也很多，性价比很高', '短评打分': 4}
{'短评内容': '住的环境还可以', '短评打分': 5}
{'短评内容': 'Wifi不好用，其他还好', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '非常非常非常非常非常方便', '短评打分': 3}
{'短评内容': '挺好，不错，下回还住这里', '短评打分': 3}
{'短评内容': '好好不错，下回还住，，，，', '短评打分': 3}
{'短评内容': '房间挺大，地理位置挺好，吃住行方便。', '短评打分': 4}
{'短评内容': '交通便利，闹市区，生活需求方便。推荐', '短评打分': 4}
