{'descr': '很不错环境卫生都很好', 'star': 5}
{'descr': '前台工作人员服务态度超好，因为你们给予的帮助我下次还会选择入住。', 'star': 5}
{'descr': '前台工作人员服务周到，给人很温馨的感觉，在此谢谢你们的帮助。', 'star': 5}
{'descr': '经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热', 'star': 5}
{'descr': '经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热', 'star': 5}
{'descr': '经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热情，房间也打扫得很干净，住得放心。重要的是WIFI给力，热水安逸，设施设备很好。经常住这家店，感觉很不错。酒店前台服务热', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '。。。。。。。。。。。', 'star': 5}
{'descr': '饿了特勒特头', 'star': 5}
{'descr': '还不错哦噢噢噢', 'star': 5}
{'descr': '房间还好吧，杨公桥转的比较迷糊', 'star': 5}
{'descr': '还好吧，到重庆不要找方向感', 'star': 5}
{'descr': '太讲究啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦', 'star': 5}
{'descr': '图来看看旅途兔兔V5寄回来咯空间', 'star': 5}
{'descr': '嗯哼', 'star': 5}
{'descr': '服务态度很好，房间也干净，一次还会来住', 'star': 5}
{'descr': '服务态度很好。位置也不错', 'star': 4}
{'descr': '服务态度很好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '交通很便利，老板也很热情~', 'star': 5}
{'descr': '非常不错值得推荐，一直在住七天还是可以的', 'star': 3}
{'descr': '不错很好，一直在住七天还是可以的', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '位置很方便，下了公交车走三分钟就到。 房间也很干净，设施也比较现代，有USB插孔方便充电，40多寸的液晶电视。就是晚上关了卫生间的抽气扇依然有噪音，不知道为什么。', 'star': 5}
{'descr': '中规中矩，性价比较高，也比较干净，交通比较方便，连锁酒店就是比一般的小店店要好，不随便涨价', 'star': 4}
