{'短评内容': '干净卫生，离机场近，接送服务！', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '环境不错还要光临', '短评打分': 5}
{'短评内容': '有生住宿以来最郁闷的一次客房预订，办完入住手续，到房间一看要求退房，总台说不可以，可是条件实在不能住，只有结账走人，哈哈开个房间半个小时不到就付账走人，自己都觉得好笑。下楼了解情况得知酒店周边拆迁，老板过完年就不干了，酒店的设施环境老板也不再维护了，那还能住吗？唉！错误的选择，大家看看我在房间拍的照片吧！', '短评打分': 2}
{'短评内容': '京东的服务真心令人满意', '短评打分': 5}
{'短评内容': '距离机场近，其他一般', '短评打分': 3}
{'短评内容': '服务很周到，接机师傅很热情，酒店环境不错，离机场很近，到后小妹给我升级成套间，简直是惊喜，里外两间，面积都很大！交待小妹5:40喊我起床，果然履行了，不错，房间也很干净整洁！好评！', '短评打分': 5}
{'短评内容': '酒店的地理位置靠近新郑机场是比较好的一家酒店，价格还算公道，酒店提供的早餐品种也挺多，干净也卫生，最关键的还有免费接送机服务。我给点个赞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '只是离机场近一些，不然酒店本身环境不好。', '短评打分': 3}
{'短评内容': '接送服务很方便。', '短评打分': 4}
{'短评内容': '很不错的酒店，干净卫生，虽距离机场很近，但并没有太大的噪音，尤其是提供接送机服务，很方便。值得推荐。    ', '短评打分': 5}
{'短评内容': '很不错的酒店，干净卫生，虽距离机场很近，但并没有太大的噪音，尤其是提供接送机服务，很方便。值得推荐。    ', '短评打分': 5}
{'短评内容': '很适合出差居住，设备新，干净卫生！', '短评打分': 4}
{'短评内容': '离机场近，有专车接机。卫生一般。服务态度好。', '短评打分': 4}
{'短评内容': '酒店环境不错，出差每次都入住，非常安静舒适', '短评打分': 5}
