{'短评内容': '房间很吵，卫生间有一股味道很难闻，交通还是很方便的。', '短评打分': 2}
{'短评内容': '设施还行。', '短评打分': 4}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '早餐不错，位置方便', '短评打分': 4}
{'短评内容': '不错房间很不错', '短评打分': 5}
{'短评内容': '房间挺大的，设施齐全，下次还会考虑入住', '短评打分': 5}
{'短评内容': '一般吧，跟别的四星级比起来算差的', '短评打分': 5}
{'短评内容': '房间订单到现在还没到，帮我退了，谢谢', '短评打分': 5}
{'短评内容': '还可以，房间越来越小', '短评打分': 5}
{'短评内容': '这次没有入住', '短评打分': 5}
{'短评内容': '还可以，就是房型越来越小，没有前几次住的大，还有就是里面只有洗发露没有护发素，也没有洗面奶，这次入住擦鞋的也没有', '短评打分': 5}
{'短评内容': '干净卫生，不给刷卡', '短评打分': 5}
{'短评内容': '性价比高，值得推荐，不错', '短评打分': 4}
{'短评内容': '老顾客了，没什么说的，希望早餐更好些。', '短评打分': 5}
{'短评内容': '朋友都说还好。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '朋友说还可以', '短评打分': 4}
{'短评内容': '不错下次再介绍朋友来住住！', '短评打分': 5}
