{'短评内容': '比较好，真的还可以', '短评打分': 5}
{'短评内容': '离南湖公园很近，还有老唐山摄影基地，公交站就在附近很方便', '短评打分': 5}
{'短评内容': '位置不错，在南湖公园对面，位于美食街中，有电影院。淋浴水太小，建议更换花洒。', '短评打分': 5}
{'短评内容': '滚滚滚古古怪怪', '短评打分': 5}
{'短评内容': '服务很好，第二次入住了，周边环境也很好，对面就是世博园，骑行20分钟到唐山百货大楼，周边吃饭有鸿宴饭庄。', '短评打分': 4}
{'短评内容': '如家酒店最大的特点就是房间小', '短评打分': 4}
{'短评内容': '还不错，一直出行住的如家，之前都是飞猪订的，才发现京东也可以，还能白条！', '短评打分': 5}
{'短评内容': '服务态度很好，早餐大姐特别热情，周边环境很好，不过吃饭不太方便，房间内卫生还可以，设施一般不过性价比已经很高了！', '短评打分': 5}
{'短评内容': '我去唐山少，不过酒店附近好像都是别墅唉，难道这里是唐山的富人区？附近还有个影视基地。酒店挺干净，设备完好，屋里很暖和。服务也不错，看得出管理者对服务人员的培训很到位。希望酒店再接再厉。', '短评打分': 5}
{'短评内容': '距离南湖公园很近，环境不错，周围有一堆饭馆吃饭也方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间隔音效果不行，被子太薄。住完感觉很一般！', '短评打分': 4}
{'短评内容': '总体还行，房间有点小，位置有点偏，总体来说还行吧', '短评打分': 5}
{'短评内容': '感觉还行吧，房间位置有点偏僻，隔着商场比较远，公园没开，没地方玩', '短评打分': 5}
{'短评内容': '附近吃饭比较远', '短评打分': 5}
{'短评内容': '出差住一下还行 设施比较简陋', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
