{'短评内容': '挺好，又经济实惠，住了几次，出差的首选', '短评打分': 5}
{'短评内容': '还可以的，不错', '短评打分': 4}
{'短评内容': '如果有早餐提共就更加好了', '短评打分': 5}
{'短评内容': '酒店地理位置超棒', '短评打分': 5}
{'短评内容': '交通方便，服务态度好，周边热闹，床大，卫生干净。', '短评打分': 5}
{'短评内容': '到房间太累，倒头就睡了。到晚上醒来发现。房间角落的墙面因为漏水而导致变得皱巴巴。床上有一块不知名的白色加黄色的污渍，瞬间觉得恶心。炒鸡不爽，马上打电话叫人来换，阿姨倒是很快拿着床单过来换了，估计是老员工，阿姨各种道歉各种解释，维护自己的酒店和品牌，看在老阿姨这么卖力解释，就算了。这种价位的也不要要求太高吧', '短评打分': 4}
{'短评内容': '除了没有洗衣服务之外，其他的都很ok', '短评打分': 5}
{'短评内容': '服务很好，环境还行', '短评打分': 5}
{'短评内容': '666666666666666', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '就在家附近，还不错，第一次入住升级了大床房，第二天没有升级。下次多多优惠就好', '短评打分': 1}
{'短评内容': '卫生干净、交通便利、服务态度好', '短评打分': 5}
{'短评内容': '从广州南做公交五站三十分钟就能到，大石站下车走两分钟就到酒店了，酒店去动物真的很近，打的不到十分钟，从酒店附近吃的什么都有很方便，离地铁口我不觉得远，酒店门有公交车可以到达。酒店房间有窗很喜欢，床也够大，房间有配牙具，厕所有配风筒。总之非常好，家人满意。', '短评打分': 5}
{'短评内容': '第一次住七天，价格实惠，房间里的设备比较齐全。卫生也比较干净，房间还有配送的牙刷，服务态度好。退房快，省时间。', '短评打分': 5}
{'短评内容': '从广州南站到酒店打的也就三十多块钱，大约15分钟左右就到酒店门口，这边七天比较多，还好来的时候特地给酒店问了下位置---华贵商贸城隔壁的七天酒店，酒店隔壁还有个千足鞋城，逛街，吃饭都比较方便。房间卫生比较干净，wifi也挺快的。', '短评打分': 5}
{'短评内容': '位置还算好找，七天酒店服务水准一直不错，卫生干净，服务态度挺不错，价格优惠，家人都挺满意的，离长隆野生动物园北门打车很近的。', '短评打分': 5}
{'短评内容': '電梯壞掉。。。走了7樓，差點暈倒。。。。。', '短评打分': 3}
{'短评内容': '环境好，够卫生！以后还要住。', '短评打分': 5}
{'短评内容': '安静干净，服务态度耐心热情！', '短评打分': 5}
{'短评内容': '隔音差点，其他都ok', '短评打分': 5}
{'短评内容': '还可以，到公园距离也不远，', '短评打分': 4}
{'短评内容': '有热水，有空调，有电视，都还可以，就是订的是两天为啥每二天出去玩了回来开不了门，还要去解下锁才可以', '短评打分': 4}
