{'短评内容': '早餐不错，位置号，很干净，价格合理，停车场比较大出游都挺好的！还会再次选择！             ', '短评打分': 5}
{'短评内容': '酒店的名字是临江上品公寓，但订酒店的时候名字对不上，有点混淆，其他还好', '短评打分': 5}
{'短评内容': '广州展会期间，我们住的是江景房，价格上涨浮动挺大的，住了三天，刚好赶上广州暴雨天气，出行麻烦，打车不方便，但从窗外看下雨，风景还是不错的', '短评打分': 4}
{'短评内容': '酒店整体环境不错，临江夜景很美，内部设备齐全，有洗衣机、微波炉、电磁炉、冰箱等，但是洗衣机功能受限，从酒店到光亚展打车非常难。', '短评打分': 4}
{'短评内容': '真的还不错', '短评打分': 5}
{'短评内容': '还可以。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '满房了，希望以后有机会体验', '短评打分': 5}
{'短评内容': '很不错啊。来了经常住这里。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的江邊風景很漂亮，但是酒店設施蠻舊的，服務也沒有很好。尤其是早餐部分，明明說7~9點。但是8點多就不在出菜了，蠻差勁的', '短评打分': 3}
{'短评内容': '特别好、刚刚开始还害怕和图片不一样、后来一看特别好，不错，而且的确是海景房', '短评打分': 5}
{'短评内容': '换可以', '短评打分': 5}
{'短评内容': '整体环境不错，就是标准间在电梯口太吵闹，标间床是另加的有点小。', '短评打分': 5}
{'短评内容': ' 服务环境设备都不错 可惜最致命的一点是 出去国际会展中心那边要绕一大圈 地理位置有点头疼 希望能修条路...', '短评打分': 5}
{'短评内容': '一般还行!', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '信价比很高的酒店', '短评打分': 5}
{'短评内容': '住宿发票寄出太慢。', '短评打分': 4}
{'短评内容': '真心不错，夜景也挺好，住的也舒服', '短评打分': 5}
